amenities,bathroom,bedroom,furnishing,location,parking,price,property_name,property_type,sale_rent,size,url
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",05,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 2.08 Cr.,KHL Bhushorgo,Apartment/Flats,Sale, 2197 sqft ,https://www.bdhousing.com/details/245257/4-beds-apartment-flats-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Electronic security,Pool,Gymnasium,Fire Protection",,,,"Mirpur 10 , Dhaka",,Call for price,Mirpur Shopping World,Showroom/Shop/Restaurant,Sale, 150 sqft ,https://www.bdhousing.com/details/243261/300-sqft-under-construction-showroom-shop-restaurant-for-sale-at-mirpur-10
"Mosque/Prayer Room,WASA connection,Self Water supply,Gas Connection,Cylinder Gas,Electricity,Guest Parking",06,06,"
                Unfurnished        ","Mohammadpur , Dhaka",Parking 20,Call for price,A 10 Storey Tall Studio-Apartment Building,Independent House,Sale, 6753 sqft ,https://www.bdhousing.com/details/245183/sale-in-residential-mohammadpur
"Security,Lift,WASA connection,Gas Connection,Electricity,Generator,Telephone line,Inter com,Wi-Fi connectivity,Satellite or cable TV,Servent Toilet",03,03,"
                Furnished        ","Mohammadpur , Dhaka",Parking 1,Call for price,Emporium Belly,Apartment/Flats,Sale, 1250 sqft ,https://www.bdhousing.com/details/244456/1250-sqft-3-beds-ready-apartment-flats-for-sale-at-mohammadpur
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,04,"
                Unfurnished        ","Dhanmondi , Dhaka",Parking 2,Call for price,premium apartment,Apartment/Flats,Sale, 3200 sqft ,https://www.bdhousing.com/details/243663/3200-sqft-4-beds-ready-apartment-flats-for-sale-at-dhanmondi
"Security,Lift,WASA connection,Self Water supply,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Semi-Furnished        ","Basabo , Dhaka",Parking 1,Call for price,Madina Ashroy,Apartment/Flats,Sale, 1345 sqft ,https://www.bdhousing.com/details/245146/1345-sqft-3-beds-almost-ready-apartment-flats-for-sale-at-basabo
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet",04,04,"
                Furnished        ","Pallabi , Dhaka",Parking 1,Call for price,Hyperion Chayaneer.,Apartment/Flats,Sale, 2000 sqft ,https://www.bdhousing.com/details/242856/2000-sqft-4-beds-under-construction-apartment-flats-for-sale-at-pallabi
"Mosque,Play Ground,Security,Lakes,School,College,Universities,Hospital,Bazaar,Water Supply,Banks",,,,"Bashundhara R/A , Dhaka",,78.00 Lac,Land,Residential Plot,Sale, 5 Katha ,https://www.bdhousing.com/details/245165/5-katha-ready-residential-plot-for-sale-at-bashundhara-r-a
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,,"Eskaton , Dhaka",Parking 1,Call for price,Navana Satter Garden,Apartment/Flats,Sale, 1912 sqft ,https://www.bdhousing.com/details/233109/1912-sqft-3-beds-under-construction-flats-for-sale-at-eskaton
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Shewrapara , Dhaka",,75.00 Lac,Mohazan Properties Ltd,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/245657/3-katha-used-residential-plot-for-sale-at-shewrapara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",01,01,,"Dhanmondi , Dhaka",,Call for price,famas 3,Apartment/Flats,Sale, 6660 sqft ,https://www.bdhousing.com/details/245587/6660-sqft-1-bed-under-construction-apartment-flats-for-sale-at-dhanmondi
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",06,06,"
                Unfurnished        ","Mohammadpur , Dhaka",Parking 2,BDT 1.02 Cr.,Reon Aroma House,Apartment/Flats,Sale, 2310 sqft ,https://www.bdhousing.com/details/244931/2310-sqft-6-beds-under-construction-apartment-flats-for-sale-at-mohammadpur
"Security,WASA connection,Gas Connection,Electricity,CCTV,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Garden,Guest Parking,Servent Toilet",02,03,"
                Semi-Furnished        ","Rupnagar , Dhaka",Parking 1,Call for price,"1200 sqft, 3 Beds Flats for Sale Mirpur (6th floor-No lift)",Apartment/Flats,Sale, 1200 sqft ,https://www.bdhousing.com/details/245331/600-sqft-2-beds-ready-apartment-flats-for-sale-at-rupnagar
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Furnished        ","Pirerbag , Dhaka",No Parking,BDT 67.00 Lac,Mohazan Properties Ltd,Apartment/Flats,Sale, 1300 sqft ,https://www.bdhousing.com/details/245660/1300-sqft-3-beds-ready-apartment-flats-sale-pirerbag
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Shewrapara , Dhaka",,75.00 Lac,Mohazan Properties Ltd,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/245758/ready-residential-plot-sale-shewrapara
"Security,Lift,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Inter com,CCTV",04,03,"
                Unfurnished        ","Banani , Dhaka",Parking 1,BDT 2.95 Cr.,Nam Village-212-2755,Apartment/Flats,Sale, 2755 sqft ,https://www.bdhousing.com/details/245547/2755-sqft-3-beds-ready-apartment-flats-for-sale-at-banani
"Mosque/Prayer Room,Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Wi-Fi connectivity,Satellite or cable TV,Garden",03,03,,"Aftab Nagar , Dhaka",Parking 1,Call for price,Nawar Snow Drop,Apartment/Flats,Sale, 1320 sqft ,https://www.bdhousing.com/details/243619/1320-sqft-3-beds-under-construction-apartment-flats-for-sale-at-aftab-nagar
"Security,Lift,Fire exit,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Guest Parking,Servent Room,Servent Toilet,Fire Protection",06,06,,"Mohammadpur , Dhaka",,Call for price,Apartment for sale by owner at Mohammadpur.,Apartment/Flats,Sale, 4900 sqft ,https://www.bdhousing.com/details/243664/4900-sqft-6-beds-used-apartment-flats-for-sale-at-mohammadpur
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Satellite or cable TV,Garden,Servent Room,Servent Toilet",03,03,,"Bashundhara R/A , Dhaka",Parking 3,Call for price,Spring,Apartment/Flats,Sale, 1695 sqft ,https://www.bdhousing.com/details/243194/1695-sqft-3-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,Garden,Solar panels",03,03,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,Call for price,Nawar Fair View,Apartment/Flats,Sale, 1600 sqft ,https://www.bdhousing.com/details/244821/1600-sqft-3-beds-apartment-flats-sale-bashundhara
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Basila , Dhaka",,15.00 Lac,Modhu City 3,Residential Plot,Sale, 5 Katha ,https://www.bdhousing.com/details/244937/5-katha-upcoming-residential-plot-sale-basila
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Toilet",03,03,"
                Unfurnished        ","Ashkona , Dhaka",Parking 1,BDT 90.35 Lac,JBS NAZ GARDEN,Apartment/Flats,Sale, 1390 sqft ,https://www.bdhousing.com/details/242504/1370-sqft-3-beds-flats-for-sale-at-ashkona
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Furnished        ","Pirerbag , Dhaka",Parking 1,BDT 74.80 Lac,Mohazan Properties Ltd,Apartment/Flats,Sale, 1300 sqft ,https://www.bdhousing.com/details/245763/ready-apartment-flats-sale-pirerbag
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Satellite or cable TV,Garden,Solar panels,Guest Parking,Servent Toilet",03,03,"
                Unfurnished        ","Aftab Nagar , Dhaka",Parking 1,Call for price,NPL Snow drop,Apartment/Flats,Sale, 1175 sqft ,https://www.bdhousing.com/details/243100/1320-sqft-3-beds-under-construction-apartment-flats-for-sale-at-aftab-nagar
,05,04,"
                Unfurnished        ","Savar , Dhaka",Parking 1,Call for price,GREENWOOD Raindrops,Apartment/Flats,Sale, 2700 sqft ,https://www.bdhousing.com/details/245610/2700-sqft-4-beds-apartment-flats-sale-savar
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Garden,Servent Room,Servent Toilet",06,06,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 2,Call for price,Lake wood Moonlight,Duplex Home,Sale, 3400 sqft ,https://www.bdhousing.com/details/245278/3390-sqft-6-beds-duplex-home-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Furnished        ","Keraniganj , Dhaka",Parking 20,BDT 38.88 Lac,Omi - 2,Apartment/Flats,Sale, 1250 sqft ,https://www.bdhousing.com/details/243721/%E0%A6%AB-%E0%A6%B2-%E0%A6%AF-%E0%A6%9F-%E0%A6%89%E0%A6%A0-%E0%A6%93-%E0%A6%95-%E0%A6%B8-%E0%A6%A4-%E0%A6%9A-%E0%A6%B2-%E0%A6%A4-%E0%A6%AA-%E0%A6%B0%E0%A6%AC-%E0%A6%A8
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Generator,Telephone line,Inter com,Satellite or cable TV,Electronic security,Garden,Servent Room,Servent Toilet",04,03,"
                Unfurnished        ","Aftab Nagar , Dhaka",Parking 1,Call for price,NPL La Mamtaj,Apartment/Flats,Sale, 2100 sqft ,https://www.bdhousing.com/details/245279/2100-sqft-3-beds-apartment-flats-sale-bashundhara
"Lift,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet",06,06,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 2,Call for price,Moonlight,Duplex Home,Sale, 3400 sqft ,https://www.bdhousing.com/details/245322/3400-sqft-6-beds-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Solar panels,Guest Parking",02,02,,"Banasree , Dhaka",,BDT 41.25 Lac,750 sft flat,Apartment/Flats,Sale, 750 sqft ,https://www.bdhousing.com/details/244750/750-sqft-2-beds-used-apartment-flats-sale-banasree
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Servent Room,Servent Toilet",04,04,"
                Unfurnished        ","Uttara , Dhaka",Parking 1,Call for price,Anwar Landmark Akashlina,Apartment/Flats,Sale, 2110 sqft ,https://www.bdhousing.com/details/245692/2110-sqft-4-beds-under-construction-apartment-flats-for-sale-at-uttara
,,,,"Bashundhara R/A , Dhaka",,Call for price,RELIANCE SHOPNA CHURA,Apartment/Flats,Sale, 1550 sqft ,https://www.bdhousing.com/details/239796/1550-sqft-3-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
        N/A","Dhour , Dhaka",Parking 1,Call for price,A.T. HEIGHTS,Apartment/Flats,Sale, 1287 sqft ,https://www.bdhousing.com/details/245519/1287-sqft-3-beds-under-construction-apartment-flats-for-sale-at-uttara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,05,"
                Semi-Furnished        ","Gulshan 02 , Dhaka",Parking 1,Call for price,Navana Sun Drops,Apartment/Flats,Sale, 3861 sqft ,https://www.bdhousing.com/details/230623/3861-sqft-5-beds-under-construction-flat-for-sale-at-gulshan
"Security,Lift,Fire exit,WASA connection,Self Water supply,Electricity,Generator,Telephone line,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Guest Parking,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Mohammadpur , Dhaka",Parking 1,BDT 99.75 Lac,Homes 24,Apartment/Flats,Sale, 1750 sqft ,https://www.bdhousing.com/details/243757/1750-sqft-ready-apartment-flats-sale-mohammadpur
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,Call for price,Conspert Imperial,Land Sharing Flat,Sale, 1550 sqft ,https://www.bdhousing.com/details/245653/land-share-sale-bashundhara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Solar panels,Servent Room,Servent Toilet,Fire Protection",04,03,"
                Furnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 1.56 Cr.,Apon Nibash,Apartment/Flats,Sale, 2075 sqft ,https://www.bdhousing.com/details/245782/3-beds-ready-apartment-flats-sale-bashundhara-
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,03,"
                Furnished        ","Mirpur 10 , Dhaka",Parking 1,BDT 1.43 Cr.,Mohazan properties Ltd,Apartment/Flats,Sale, 1920 sqft ,https://www.bdhousing.com/details/245640/1920-sft-ready-flat-mirpur-6
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Generator,Telephone line,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Servent Toilet",04,03,"
                Semi-Furnished        ","Bashundhara R/A , Dhaka",Parking 1,Call for price,Lakewood Spring,Apartment/Flats,Sale, 1700 sqft ,https://www.bdhousing.com/details/245390/almost-ready-apartment-flats-sale-bashundhara
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,Satellite or cable TV,Garden",03,03,"
                Unfurnished        ","Aftab Nagar , Dhaka",Parking 1,Call for price,Nawar Snow Drop,Apartment/Flats,Sale, 1175 sqft ,https://www.bdhousing.com/details/242223/1320-sqft-3-beds-under-construction-flats-for-sale-at-aftab-nagar
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",05,05,"
                Furnished        ","Adabor , Dhaka",Parking 2,Call for price,LUCKY ROWSHAN,Duplex Home,Sale, 2872 sqft ,https://www.bdhousing.com/details/243203/1438-sqft-3-beds-under-construction-apartment-flats-sale-adabor
"Lift,WASA connection,Self Water supply,Electricity,Generator",03,03,"
                Unfurnished        ","Mirpur 14 , Dhaka",Parking 1,BDT 0,Nil Kuthi,Apartment/Flats,Sale, 900 sqft ,https://www.bdhousing.com/details/244536/900-sqft-3-beds-ready-apartment-flats-sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Furnished        ","Rupnagar , Dhaka",No Parking,BDT 59.24 Lac,Mohazan properties Ltd,Apartment/Flats,Sale, 1080 sqft ,https://www.bdhousing.com/details/245648/1080-sqft-3-beds-ready-apartment-sale-rupnagar
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Dakshin khan , Dhaka",Parking 1,Call for price,Almost ready flat at East Azompur,Apartment/Flats,Sale, 1450 sqft ,https://www.bdhousing.com/details/245781/3-beds-almost-ready-apartment-flats-sale-dakshin-khan
"Security,Lift,Fire exit,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Satellite or cable TV,Garden,Solar panels,Fire Protection",03,03,"
                Semi-Furnished        ","Lalmatia , Dhaka",Parking 1,Call for price,Luxurious Apartment,Apartment/Flats,Sale, 1850 sqft ,https://www.bdhousing.com/details/245573/1850-sqft-3-beds-ready-apartment-flats-sale-lalmatia
"Security,Lift,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,CCTV,Wi-Fi connectivity,Satellite or cable TV,Servent Room,Servent Toilet,Fire Protection",04,03,"
                Unfurnished        ","Moghbazar , Dhaka",Parking 1,BDT 1.00 Cr.,attalika shiham,Apartment/Flats,Sale, 1475 sqft ,https://www.bdhousing.com/details/244654/1475-sqft-3-beds-used-apartment-flats-sale-moghbazar
,,,,"Bashundhara R/A , Dhaka",,Call for price,"South Facing Land@Bashundhara, Block-L & M.",Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/245336/3-katha-ready-residential-plot-sale-bashundhara
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Generator,Telephone line,Inter com,Garden,Guest Parking,Servent Room,Servent Toilet",04,04,"
                Unfurnished        ","Dakshin khan , Dhaka",Parking 1,Call for price,আত্মবিশ্বাসী- ৭১,Apartment/Flats,Sale, 1787 sqft ,https://www.bdhousing.com/details/245776/apartment-flats-sale-dakshin-khan
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Gymnasium,Garden,Solar panels,Guest Parking,Fire Protection",03,03,"
                Unfurnished        ","Agargaon , Dhaka",Parking 1,Call for price,Runner Story House,Apartment/Flats,Sale, 1357 sqft ,https://www.bdhousing.com/details/231100/1357-1475-sqft-3-beds-ongoing-flats-for-sale-at-agargaon
"Security,Lift,Fire exit,WASA connection,Gas Connection,Electricity,Generator,Inter com,Security Alarm System",,,,"Cornelhat , Chittagong",,BDT 20000,Building name-khulshi neer,Apartment/Flats,Rent,"
        1530 sqft 
    ",https://www.bdhousing.com/details/244014/3-beds-apartment-flats-rent-cornelhat
,,,,"Nasirbad , Chittagong",,BDT 38000,চট্টগ্রাম শপিং কমপ্লেক্সের দোকান ভাড়াI Shopping Complex Shop Rent,Showroom/Shop/Restaurant,Rent,"
        230 sqft 
    ",https://www.bdhousing.com/details/244270/showroom-shop-restaurant%20rent-nasirbad
,,,,"Gazipur Sadar , Gazipur",,BDT 80000,Iconic Villa,Showroom/Shop/Restaurant,Rent,"
        3400 sqft 
    ",https://www.bdhousing.com/details/243792/3400-sqft-departmental-shop-showroom-office-restaurant-rent-gazipur-sadar
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Inter com,CCTV,Wi-Fi connectivity",03,03,"
                Furnished        ","Keraniganj , Dhaka",Parking 1,BDT 24.00 Lac,Podder Nibash,Apartment/Flats,Sale, 1200 sqft ,https://www.bdhousing.com/details/244472/1200-sqft-3-beds-upcoming-apartment-flats-sale-keraniganj
"Mosque/Prayer Room,Security,WASA connection,Self Water supply,Gas Connection,Electricity,CCTV,Wi-Fi connectivity",,,,"test , Chittagong",,BDT 300000,Mehdibagh Road,Independent House,Rent,"
        12000 sqft 
    ",https://www.bdhousing.com/details/243929/12000-sqft-6-beds-independent-house-rent-test
"Fire exit,Electricity,Guest Parking",,,,"Gazipur Sadar , Gazipur",,BDT 65000,"Commercial building for rent | 8,000sqft Gazipur",Industrial Space,Rent,"
        8000 sqft 
    ",https://www.bdhousing.com/details/244737/8000-sqft-office-space-rent-gazipur-sadar
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Gazipur Sadar , Gazipur",,Call for price,Pine city,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/243668/3-katha-under-development-residential-plot-for-sale-at-gazipur-sadar
,,,,"Tongi , Gazipur",,8.28 Lac,No Name,Commercial Plot,Sale, 139 Katha ,https://www.bdhousing.com/details/244161/139-katha-commercial-plot-sale-tongi
"Mosque/Prayer Room,Security,Lift,Gas Connection,Cylinder Gas,Generator,CCTV,Garden",,,,"Agrabad , Chittagong",,BDT 154000,"Aziz Court , Agrabad",Office Space,Rent,"
        2800 sqft 
    ",https://www.bdhousing.com/details/244527/2800-sqft-office-space-rent-agrabad
,,,,"Nasirbad , Chittagong",,BDT 220000,Idris Holdings Limited,Showroom/Shop/Restaurant,Rent,"
        2000 sqft 
    ",https://www.bdhousing.com/details/245320/2000-sqft-showroom-shop-restaurant-rent-nasirbad
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Gazipur Sadar , Gazipur",,7,Pine city,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/243677/3-katha-under-development-residential-plot-for-sale-at-gazipur-sadar
"Security,Lift,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Inter com,CCTV,Servent Toilet",03,03,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 1.25 Cr.,Amicus Bliss Dale-219-1570,Apartment/Flats,Sale, 1570 sqft ,https://www.bdhousing.com/details/245722/1570-sqft-3-beds-ready-apartment-sale-bashundhara
"Gas,Water Supply",,,,"Gazipur Sadar , Gazipur",,Call for price,47 Katha Land in Gazipur,Commercial Plot,Sale, 47 Katha ,https://www.bdhousing.com/details/245268/47-katha-ready-commercial-plot-sale-gazipur-sadar
,,,,"Shahporan  , Sylhet",,4.00 Lac,Shohid Cornel M.R Housing,Residential Plot,Sale, 10 Katha ,https://www.bdhousing.com/details/245227/10-katha-ready-residential-plot-sale-bateshwar
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Gazipur Sadar , Gazipur",,12.00 Lac,Land Sale,Residential Plot,Sale, 51 Katha ,https://www.bdhousing.com/details/244716/51-katha-ready-residential-plot-sale-gazipur-sadar
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Fire Protection",,,,"Gulshan 02 , Dhaka",,BDT 825000,Commercial space for rent.,Showroom/Shop/Restaurant,Rent,"
        3300 sqft 
    ",https://www.bdhousing.com/details/244668/3300-sqft-showroom-shop-restaurant-rent-gulshan-02
"Mosque,Play Ground,School,Bazaar",,,,"Gazipur Sadar , Gazipur",,10.00 Lac,এখনই বসবাসের উপযোগী ৩ কাঠা উচু জমি। সামনেই ১০ ফিট রাস্তা। নিসকন্টক।,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/245804/3-katha-ready-residential-plot-for-sale-at-gazipur-sadar
