amenities,bathroom,bedroom,furnishing,location,parking,price,property_name,property_type,sale_rent,size,url
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 1.18 Cr.,Fortress South Park,Land Sharing Flat,Sale, 2250 sqft ,https://www.bdhousing.com/details/245162/bashundhara-m-block-2250-sft
"Security,Lift,WASA connection,Gas Connection,Electricity,Telephone line,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Servent Room",04,04,"
                Furnished        ","Ibrahimpur , Dhaka",Parking 1,Call for price,LUCKY,Apartment/Flats,Sale, 1680 sqft ,https://www.bdhousing.com/details/244546/1645-sqft-4-beds-under-construction-apartment-flats-for-sale-at-ibrahimpur
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Inter com,CCTV,Servent Room,Servent Toilet",04,04,"
        N/A","Dhanmondi , Dhaka",Parking 1,BDT 4.60 Cr.,Suvastu koninika-221-2651,Apartment/Flats,Sale, 2651 sqft ,https://www.bdhousing.com/details/245786/2651-sqft-4-beds-ready-apartment-for-sale-at-dhanmondi
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Diyabari , Dhaka",Parking 1,BDT 1.05 Cr.,JBS Ranhill Garden@Diabari,Apartment/Flats,Sale, 1400 sqft ,https://www.bdhousing.com/details/244639/1390-sqft-3-beds-apartment-flats-sale-uttara
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Uttara , Dhaka",Parking 1,BDT 1.71 Cr.,"South Facing Apartment @ Uttara, Sector 04",Apartment/Flats,Sale, 1890 sqft ,https://www.bdhousing.com/details/243553/1890-sqft-3-beds-under-construction-apartment-flats-for-sale-at-uttara
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Fire Protection",03,03,"
                Unfurnished        ","Rupnagar , Dhaka",Parking 1,Call for price,Daulat Noorjahan Heritage.,Apartment/Flats,Sale, 1300 sqft ,https://www.bdhousing.com/details/243275/1299-sqft-3-beds-under-construction-apartment-flats-for-sale-at-mirpur-2
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",03,03,"
        N/A","Bashundhara R/A , Dhaka",Parking 1,Call for price,Reliance Hassin Villa,Apartment/Flats,Sale, 1600 sqft ,https://www.bdhousing.com/details/245103/1600-sqft-3-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Servent Room",05,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,Call for price,KHL Amena Palace,Apartment/Flats,Sale, 2190 sqft ,https://www.bdhousing.com/details/245255/4-beds-apartment-flats-sale-bashundhara
"Security,Lift,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Electronic security,Servent Room,Servent Toilet,Fire Protection",04,03,"
                Unfurnished        ","Gulshan 02 , Dhaka",Parking 1,Call for price,Whistling Woods,Apartment/Flats,Sale, 2200 sqft ,https://www.bdhousing.com/details/245784/2200-sqft-3-beds-ready-apartment-flats-sale-gulshan-02
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Keraniganj , Dhaka",,1.40 Lac,Modhucity,Residential Plot,Sale, 5 Katha ,https://www.bdhousing.com/details/244776/5-katha-upcoming-residential-plot-sale-keraniganj
"Security,Lift,Fire exit,WASA connection,Self Water supply,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Electronic security,Servent Room,Servent Toilet,Fire Protection",03,03,"
                Unfurnished        ","Basabo , Dhaka",Parking 1,Call for price,Evening Lights,Apartment/Flats,Sale, 1125 sqft ,https://www.bdhousing.com/details/245431/apartment-flats-sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",04,04,"
                Unfurnished        ","Bashundhara R/A , Dhaka",Parking 1,BDT 1.51 Cr.,Fortress Neptune,Land Sharing Flat,Sale, 2450 sqft ,https://www.bdhousing.com/details/245210/4-beds-land-sharing-flat-sale-bashundhara
,03,03,"
                Semi-Furnished        ","Savar , Dhaka",Parking 1,Call for price,Greenwood Edge-99,Apartment/Flats,Sale, 1375 sqft ,https://www.bdhousing.com/details/244572/1375-sqft-3-beds-almost-ready-apartment-flats-for-sale-at-savar
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services",,,,"Savar , Dhaka",,9.50 Lac,Krishibid Valley,Residential Plot,Sale, 5 Katha ,https://www.bdhousing.com/details/244943/5-katha-residential-plot-sale-savar
"Security,Lift,Fire exit,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Solar panels,Servent Toilet",05,05,"
                Semi-Furnished        ","Banani , Dhaka",Parking 2,BDT 4.15 Cr.,Benita Bari-217-3322,Apartment/Flats,Sale, 3322 sqft ,https://www.bdhousing.com/details/245590/3322-sqft-5-beds-ready-duplex-apartment-for-sale-at-banani
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",,,,"Bashundhara R/A , Dhaka",,BDT 1.24 Cr.,Fortress South Park,Land Sharing Flat,Sale, 2250 sqft ,https://www.bdhousing.com/details/245223/2250-sqft-luxury-flat-land-sharing-sale-bashundhara
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Electricity,Generator,Telephone line,Solar panels,Servent Room,Servent Toilet",03,03,"
                Semi-Furnished        ","Agargaon , Dhaka",Parking 1,Call for price,Bastu Shaily Tower,Apartment/Flats,Sale, 1420 sqft ,https://www.bdhousing.com/details/243716/upcoming-apartment-flats-sale-agargaon
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",,,,"Shewrapara , Dhaka",,75.00 Lac,Mohazan Properties Ltd,Residential Plot,Sale, 3 Katha ,https://www.bdhousing.com/details/245759/3-katha-ready-residential-plot-sale-shewrapara
