area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,locality,id,expendable_amenity_count,unclassify_amenity_count
500.0,Apartment,Commercial,1.0,2.0,30000.0,Rent,Nikunja,pbazaar-845,0,0
1100.0,Apartment,Commercial,4.0,3.0,40000.0,Rent,Nikunja,pbazaar-846,0,0
1000.0,Apartment,Commercial,1.0,2.0,25000.0,Rent,Badda,pbazaar-860,0,0
237.0,Apartment,Commercial,1.0,1.0,14000.0,Rent,DOHS Baridhara,pbazaar-863,0,0
1300.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,DOHS Baridhara,pbazaar-864,0,0
1300.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,DOHS Baridhara,pbazaar-865,0,0
250.0,Apartment,Commercial,1.0,1.0,6000.0,Rent,DOHS Baridhara,pbazaar-866,0,0
800.0,Apartment,Commercial,1.0,3.0,25000.0,Rent,Uttara West,pbazaar-867,0,0
1455.0,Apartment,Commercial,3.0,3.0,38000.0,Rent,Uttara West,pbazaar-868,0,0
1500.0,Apartment,Commercial,2.0,2.0,30000.0,Rent,DOHS Mohakhali,pbazaar-870,0,0
1400.0,Apartment,Commercial,2.0,4.0,50000.0,Rent,Rampura,pbazaar-871,0,0
700.0,Apartment,Commercial,1.0,1.0,30000.0,Rent,Rampura,pbazaar-872,0,0
500.0,Apartment,Commercial,1.0,1.0,18000.0,Rent,DOHS Mohakhali,pbazaar-873,0,0
600.0,Apartment,Commercial,1.0,2.0,24000.0,Rent,Dhanmondi,pbazaar-887,0,0
1000.0,Apartment,Commercial,2.0,2.0,25000.0,Rent,Dhanmondi,pbazaar-888,0,0
800.0,Apartment,Commercial,2.0,2.0,15000.0,Rent,Banashree,pbazaar-891,0,0
1100.0,Apartment,Commercial,3.0,3.0,19000.0,Rent,Banashree,pbazaar-892,0,0
1600.0,Apartment,Commercial,2.0,3.0,40000.0,Rent,DOHS Baridhara,pbazaar-896,0,0
1350.0,Apartment,Commercial,4.0,3.0,35000.0,Rent,DOHS Baridhara,pbazaar-897,0,0
1500.0,Apartment,Commercial,3.0,4.0,40000.0,Rent,Uttara West,pbazaar-910,0,0
2100.0,Apartment,Commercial,3.0,3.0,50000.0,Rent,Baridhara,pbazaar-911,0,0
300.0,Apartment,Commercial,1.0,2.0,18000.0,Rent,DOHS Baridhara,pbazaar-917,0,0
1500.0,Apartment,Commercial,3.0,3.0,50000.0,Rent,Banani,pbazaar-918,0,0
1150.0,Apartment,Commercial,2.0,3.0,36000.0,Rent,Mohammadpur ,pbazaar-919,0,0
1665.0,Apartment,Commercial,4.0,3.0,35000.0,Rent,Uttara West,pbazaar-921,0,0
2049.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,Niketan,pbazaar-924,0,0
2200.0,Apartment,Commercial,3.0,3.0,50000.0,Rent,DOHS Mirpur,pbazaar-927,0,0
2280.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,DOHS Mirpur,pbazaar-930,0,0
2150.0,Apartment,Commercial,4.0,4.0,32000.0,Rent,DOHS Mirpur,pbazaar-932,0,0
2300.0,Apartment,Commercial,4.0,4.0,50000.0,Rent,DOHS Mirpur,pbazaar-933,0,0
1500.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,Niketan,pbazaar-946,0,0
700.0,Apartment,Commercial,2.0,2.0,30000.0,Rent,DOHS Mohakhali,pbazaar-948,0,0
1850.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,Niketan,pbazaar-949,0,0
1500.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,Niketan,pbazaar-950,0,0
1500.0,Apartment,Commercial,3.0,3.0,37000.0,Rent,Nikunja,pbazaar-951,0,0
1350.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,Niketan,pbazaar-970,0,0
1450.0,Apartment,Commercial,2.0,2.0,40000.0,Rent,DOHS Baridhara,pbazaar-971,0,0
1700.0,Apartment,Commercial,3.0,3.0,50000.0,Rent,DOHS Baridhara,pbazaar-972,0,0
2000.0,Apartment,Commercial,3.0,3.0,50000.0,Rent,DOHS Baridhara,pbazaar-973,0,0
100.0,Apartment,Commercial,1.0,1.0,15000.0,Rent,DOHS Baridhara,pbazaar-974,0,0
1200.0,Apartment,Commercial,2.0,3.0,17500.0,Rent,Badda,pbazaar-976,0,0
1650.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,DOHS Baridhara,pbazaar-978,0,0
1300.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,Uttara West,pbazaar-989,0,0
1500.0,Apartment,Commercial,2.0,1.0,40000.0,Rent,Uttara West,pbazaar-990,0,0
700.0,Apartment,Commercial,2.0,2.0,21000.0,Rent,Mohakhali,pbazaar-1006,0,0
1500.0,Apartment,Commercial,2.0,2.0,30000.0,Rent,Nikunja,pbazaar-1008,0,0
1000.0,Apartment,Commercial,1.0,1.0,22000.0,Rent,Nikunja,pbazaar-1009,0,0
1350.0,Apartment,Commercial,1.0,1.0,35000.0,Rent,Adabor,pbazaar-1010,0,0
1250.0,Apartment,Commercial,2.0,1.0,35000.0,Rent,DOHS Mohakhali,pbazaar-1011,0,0
2300.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,Dhanmondi,pbazaar-1015,0,0
1580.0,Apartment,Commercial,3.0,3.0,3600.0,Rent,Uttara East,pbazaar-1016,0,0
650.0,Apartment,Commercial,1.0,1.0,15000.0,Rent,Mirpur,pbazaar-1031,0,0
1300.0,Apartment,Commercial,4.0,3.0,23000.0,Rent,Uttara West,pbazaar-1032,0,0
1000.0,Apartment,Commercial,2.0,3.0,19000.0,Rent,Badda,pbazaar-1033,0,0
1000.0,Apartment,Commercial,1.0,2.0,50000.0,Rent,Banani,pbazaar-1035,0,0
400.0,Apartment,Commercial,1.0,2.0,18000.0,Rent,Uttara West,pbazaar-1036,0,0
1200.0,Apartment,Commercial,3.0,3.0,25000.0,Rent,Uttara West,pbazaar-1064,0,0
400.0,Apartment,Commercial,1.0,2.0,22000.0,Rent,Paltan,pbazaar-1091,0,0
1600.0,Apartment,Commercial,3.0,3.0,45000.0,Rent,DOHS Baridhara,pbazaar-1092,0,0
1200.0,Apartment,Commercial,3.0,3.0,35000.0,Rent,Shyamoli,pbazaar-1094,0,0
700.0,Apartment,Commercial,1.0,3.0,25000.0,Rent,Shyamoli,pbazaar-1095,0,0
400.0,Apartment,Commercial,1.0,1.0,11000.0,Rent,DOHS Baridhara,pbazaar-1096,0,0
150.0,Apartment,Commercial,1.0,1.0,10000.0,Rent,Uttara West,pbazaar-1098,0,0
700.0,Apartment,Commercial,1.0,2.0,20000.0,Rent,Tejgaon,pbazaar-1099,0,0
1700.0,Apartment,Commercial,2.0,3.0,50000.0,Rent,Lalmatia,pbazaar-1100,0,0
1350.0,Apartment,Commercial,2.0,4.0,52000.0,Rent,Banglamotor,pbazaar-1102,0,0
750.0,Apartment,Commercial,2.0,3.0,15000.0,Rent,Nikunja,pbazaar-1111,0,0
1500.0,Apartment,Commercial,3.0,3.0,30000.0,Rent,Nikunja,pbazaar-1112,0,0
400.0,Apartment,Commercial,1.0,1.0,8000.0,Rent,Nikunja,pbazaar-1113,0,0
1200.0,Apartment,Commercial,3.0,3.0,25000.0,Rent,Nikunja,pbazaar-1114,0,0
1000.0,Apartment,Commercial,2.0,2.0,27000.0,Rent,Nikunja,pbazaar-1115,0,0
800.0,Apartment,Commercial,1.0,2.0,20000.0,Rent,Nikunja,pbazaar-1116,0,0
1400.0,Apartment,Commercial,2.0,3.0,25000.0,Rent,Nikunja,pbazaar-1120,0,0
800.0,Apartment,Commercial,1.0,2.0,16500.0,Rent,New Market,pbazaar-1133,0,0
1250.0,Apartment,Commercial,3.0,3.0,40000.0,Rent,DOHS Mirpur,pbazaar-1135,0,0
