title,num_bed,num_bath,area,amenities,location,building_type,purpose,price_in_BDT,details,listing_url
2300SQFT UNFURNISHED APARTMENT @GULSHAN, 3 bd, 3 ba, 2300 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 190000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Advance Deposit:  380000,",http://www.rentalhomebd.com/properties/2300sqft-unfurnished-apartment-at-gulshan/459
A semi-furnished apartment is now up for rent @Gulshan area, 4 bd, 4 ba, 3400 sqft,"Intercom,Fire Alarm,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 170000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  9500,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-is-now-up-for-rent-at-gulshan-area/457
A fully furnished apartment is up for rent @ Gulshan, 3 bd, 3 ba, 2000 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties/a-fully-furnished-apartment-is-up-for-rent-at-gulshan/460
Furnished apartment up for rent @Gulshan, 3 bd, 3 ba, 2200 sqft,,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 170000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties/furnished-apartment-up-for-rent-at-gulshan/461
2888 SQFT furnished apartment @Gulshan, 4 bd, 4 ba, 2888 sqft,"Intercom,Fire Alarm,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 160000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  12000,,Advance Deposit:  320000,",http://www.rentalhomebd.com/properties/2888-sqft-furnished-apartment-at-gulshan/462
A furnished apartment of 23000 SQFT @Gulshan, 3 bd, 3 ba, 2300 sqft,"Intercom,Fire Alarm,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  7000,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties/a-furnished-apartment-of-23000-sqft-at-gulshan/464
Furnished apartment up for rent @Gulshan, 3 bd, 3 ba, 2400 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  2400,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties/furnished-apartment-up-for-rent-at-gulshan/463
Finely Furnished Apartment is now up for rent @Gulshan, 3 bd, 3 ba, 2000 sqft,"Intercom,Electricity,Safety Grill,Internet,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties/finely-furnished-apartment-is-now-up-for-rent-at-gulshan/465
AN UNFURNISHED APARTMENT OF 1500 SQFT @GULSHAN, 3 bd, 3 ba, 1500 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 115000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  230000,",http://www.rentalhomebd.com/properties/an-unfurnished-apartment-of-1500-sqft-at-gulshan/466
Unfurnished apartment @Gulshan, 3 bd, 3 ba, 2500 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  7000,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties/unfurnished-apartment-at-gulshan/467
A 2120 SQFT APARTMENT IS UP FOR RENT @GULSHAN, 3 bd, 3 ba, 2120 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 180000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  7,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  11000,,Advance Deposit:  340000,",http://www.rentalhomebd.com/properties/a-2120-sqft-apartment-is-up-for-rent-at-gulshan/468
A furnished apartment of 2200SQFT @Gulshan area, 3 bd, 3 ba, 2200 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 115000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  9000,,Advance Deposit:  230000,",http://www.rentalhomebd.com/properties/a-furnished-apartment-of-2200sqft-at-gulshan-area/469
OFFICE SPACE UP FOR RENT @mipur, 0 bd, 0 ba, 6000 sqft,"Intercom,Electricity,Elevator,Security Guard,CCTV,WASA","Mirpur, Mirpur, Dhaka",Office space,Rent, 1290000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,",http://www.rentalhomebd.com/properties/office-space-up-for-rent-at-mipur/437
Commercial space up for rent @Mirpur, 0 bd, 0 ba, 1650 sqft,"Intercom,Electricity,Elevator,Security Guard,CCTV,WASA","Mirpur, Mirpur, Dhaka",Office space,Rent, 140250/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,",http://www.rentalhomebd.com/properties/commercial-space-up-for-rent-at-mirpur/438
