area,attach_bathrooms,bedrooms,common_bathrooms,floor,floor_type,location,price_per_sft
1500,2,3,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","5,333.33৳"
550,2,1,Space,Ground,,"Banashree, Dhaka, Bangladesh","3,500.00৳"
1200,3,3,1,7th,Tiled,"Dhanmondi, Dhaka, Bangladesh","6,666.00৳"
2,3,3,1,5th,Tiled,"Badda, Dhaka, Bangladesh",Negotiable
1194,3,3,1,9th,3,"Wari, Dhaka, Bangladesh","8,500.00৳"
820,1,2,1,6th,Tiled,"Wari, Dhaka, Bangladesh","6,000.00৳"
1481,2,3,1,8th,Tiled,"Wari, Dhaka, Bangladesh","10,130.00৳"
1700,2,3,1,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh","5,295.00৳"
1500,2,3,1,2nd,Tiled,"Badda, Dhaka, Bangladesh","4,500.00৳"
1180,2,3,1,7th,Tiled,"Badda, Dhaka, Bangladesh","6,600.00৳"
1620,3,3,1,1st,Tiled,"Badda, Dhaka, Bangladesh","7,000.00৳"
2150,3,3,Space,4th,Tiled,"DOHS Mirpur, Dhaka, Bangladesh","8,000.00৳"
1270,2,3,1,2nd,3,"Rampura, Dhaka, Bangladesh","5,100.00৳"
1250,2,3,1,5th,Tiled,"Mirpur, Dhaka, Bangladesh","3,600.00৳"
2250,3,4,1,9th,Tiled,"Badda, Dhaka, Bangladesh","5,500.00৳"
1244,2,3,1,2nd,Tiled,"Badda, Dhaka, Bangladesh","5,000.00৳"
650,1,2,1,2nd,,"Mirpur, Dhaka, Bangladesh","3,450.00৳"
1050,1,3,1,2nd,Tiled,"Mohammadpur , Dhaka, Bangladesh","3,800.00৳"
1388,2,3,1,3rd,Tiled,"Badda, Dhaka, Bangladesh",Negotiable
2000,1,2,1,7th,Tiled,"Mohammadpur , Dhaka, Bangladesh","3,500.00৳"
1175,2,3,1,2nd,Tiled,"Badda, Dhaka, Bangladesh","5,500.00৳"
2500,3,3,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","7,000.00৳"
1000,1,3,1,2nd,Mosaic,"Banashree, Dhaka, Bangladesh","55,00,000.00৳"
1100,2,3,1,5th,Tiled,"Mirpur, Dhaka, Bangladesh","4,400.00৳"
1125,2,3,1,6th,Tiled,"Banashree, Dhaka, Bangladesh","4,500.00৳"
1250,2,3,1,10th,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,000.00৳"
1150,2,3,1,2nd,Tiled,"Banashree, Dhaka, Bangladesh","4,500.00৳"
950,1,2,1,1st,,"Dhanmondi, Dhaka, Bangladesh","7,600.00৳"
1060,2,3,Space,4th,1,"Rampura, Dhaka, Bangladesh","65,00,000.00৳"
1125,2,3,1,1st,Tiled,"Banashree, Dhaka, Bangladesh","5,000.00৳"
1020,1,3,1,6th,Tiled,"Banashree, Dhaka, Bangladesh","4,000.00৳"
2100,3,4,1,2nd,Tiled,"Dhanmondi, Dhaka, Bangladesh","4,500.00৳"
1356,2,3,1,5th,Tiled,"Gulshan 1, Dhaka, Bangladesh","4,975.00৳"
1250,3,3,1,2nd,Tiled,"Cantonment, Dhaka, Bangladesh","6,400.00৳"
1274,2,3,1,3rd,1,"Banashree, Dhaka, Bangladesh","5,500.00৳"
1385,3,3,1,10th,Tiled,"Banashree, Dhaka, Bangladesh","5,800.00৳"
2000,4,4,Space,2nd,1,"Banashree, Dhaka, Bangladesh","6,000.00৳"
1460,2,3,Space,9th,,"Bashundhara RA, Dhaka, Bangladesh","9,500.00৳"
1511,3,3,1,7th,Tiled,"Banashree, Dhaka, Bangladesh","6,288.00৳"
2200,4,5,1,8th,4,"Banashree, Dhaka, Bangladesh",Negotiable
1290,3,3,Space,5th,1,"Cantonment, Dhaka, Bangladesh","4,200.00৳"
1450,2,3,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","4,400.00৳"
1125,1,3,1,4th,,"Moghbazar, Dhaka, Bangladesh","24,000.00৳"
1272,2,3,1,5th,2,"Adabor, Dhaka, Bangladesh","4,300.00৳"
1150,2,3,Space,5th,1,"Banashree, Dhaka, Bangladesh","4,500.00৳"
600,1,2,1,5th,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,700.00৳"
720,2,2,1,2nd,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,444.00৳"
1500,2,3,1,3rd,Tiled,"Banashree, Dhaka, Bangladesh",Negotiable
1100,1,2,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","5,909.00৳"
1365,3,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","4,800.00৳"
1175,2,3,1,9th,Tiled,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
1100,2,3,1,2nd,Tiled,"Mohammadpur , Dhaka, Bangladesh","3,000.00৳"
965,1,2,1,2nd,Tiled,"Mohammadpur , Dhaka, Bangladesh","60,00,000.00৳"
1200,3,3,1,3rd,Tiled,"Banashree, Dhaka, Bangladesh","65,00,000.00৳"
1475,2,3,1,9th,4,"Khilgaon, Dhaka, Bangladesh","4,200.00৳"
1330,2,3,1,7th,Tiled,"Cantonment, Dhaka, Bangladesh","40,000.00৳"
1150,2,3,1,2nd,Tiled,"Banashree, Dhaka, Bangladesh","4,600.00৳"
1350,3,3,1,3rd,Tiled,"Cantonment, Dhaka, Bangladesh","5,000.00৳"
2440,4,4,1,7th,Tiled,"Cantonment, Dhaka, Bangladesh","7,500.00৳"
1200,2,3,1,6th,Tiled,"Rampura, Dhaka, Bangladesh",Negotiable
1310,3,4,1,8th,Tiled,"Cantonment, Dhaka, Bangladesh","7,500.00৳"
1540,3,4,Space,10th,1,"Cantonment, Dhaka, Bangladesh","6,000.00৳"
1618,2,3,1,5th,Tiled,"Cantonment, Dhaka, Bangladesh","4,600.00৳"
1300,3,3,Space,7th,1,"Cantonment, Dhaka, Bangladesh","4,800.00৳"
1172,2,3,1,3rd,Tiled,"Rampura, Dhaka, Bangladesh","4,700.00৳"
2700,5,5,Space,1st,1,"Banashree, Dhaka, Bangladesh",Negotiable
1200,2,3,1,8th,1,"Rampura, Dhaka, Bangladesh","66,00,000.00৳"
1359,2,3,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","5,800.00৳"
3500,3,4,1,1st,4,"Gulshan 2, Dhaka, Bangladesh","20,000.00৳"
3000,5,5,1,2nd,1,"Gulshan 2, Dhaka, Bangladesh","8,00,00,000.00৳"
1350,2,3,1,3rd,Tiled,"Uttara West, Dhaka, Bangladesh","5,930.00৳"
1727,4,4,1,9th,4,"Banani, Dhaka, Bangladesh","12,200.00৳"
3500,5,4,1,5th,4,"Gulshan 1, Dhaka, Bangladesh","23,000.00৳"
960,2,3,1,3rd,Tiled,"Cantonment, Dhaka, Bangladesh","3,500.00৳"
1010,1,3,1,3rd,Tiled,"Uttara West, Dhaka, Bangladesh","2,500.00৳"
2,2,3,1,3rd,1,"Dhanmondi, Dhaka, Bangladesh","8,300.00৳"
3000,5,6,1,3rd,1,"Gulshan 1, Dhaka, Bangladesh","13,500.00৳"
1005,1,2,1,6th,Tiled,"Uttara West, Dhaka, Bangladesh","3,700.00৳"
1080,1,3,1,9th,Tiled,"Daskhinkhan, Dhaka, Bangladesh","50,00,000.00৳"
855,1,2,1,3rd,Tiled,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
1100,2,3,1,5th,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1160,2,3,1,7th,Tiled,"Mirpur, Dhaka, Bangladesh","4,500.00৳"
750,1,2,1,6th,Tiled,"Mirpur, Dhaka, Bangladesh","4,700.00৳"
1150,2,3,1,6th,Tiled,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
3800,4,4,1,4th,2,"Gulshan 2, Dhaka, Bangladesh","20,000.00৳"
1400,2,3,1,2nd,Tiled,"Uttara West, Dhaka, Bangladesh","5,500.00৳"
900,2,3,Space,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","20,000.00৳"
1400,2,3,1,1st,Tiled,"DOHS Mirpur, Dhaka, Bangladesh","7,857.00৳"
1476,2,3,1,8th,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1200,2,3,1,3rd,Tiled,"DOHS Mirpur, Dhaka, Bangladesh","6,000.00৳"
4650,4,4,Space,4th,2,"Gulshan 1, Dhaka, Bangladesh","16,600.00৳"
1370,2,3,1,3rd,Tiled,"Uttara West, Dhaka, Bangladesh","3,500.00৳"
1050,1,3,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","5,500.00৳"
1000,2,3,1,1st,Mosaic,"Tongi, Dhaka, Bangladesh","3,600.00৳"
1135,2,3,1,10th,Tiled,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
11,1,2,1,1st,2,"Mohammadpur , Dhaka, Bangladesh","8,500.00৳"
1060,2,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1100,2,3,1,7th,Tiled,"Pallabi , Dhaka, Bangladesh","3,200.00৳"
1045,2,3,1,3rd,Tiled,"Pallabi , Dhaka, Bangladesh","65,00,000.00৳"
1362,2,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
850,1,2,1,6th,Tiled,"Kalabagan, Dhaka, Bangladesh","5,300.00৳"
750,1,2,1,6th,Tiled,"Mohammadpur , Dhaka, Bangladesh","3,100.00৳"
960,2,3,1,3rd,Tiled,"Mohammadpur , Dhaka, Bangladesh","4,200.00৳"
1250,2,3,1,1st,Tiled,"Daskhinkhan, Dhaka, Bangladesh","4,200.00৳"
1600,3,4,1,9th,2,"Bashundhara RA, Dhaka, Bangladesh",Negotiable
1180,3,3,Space,6th,,"Tejgaon, Dhaka, Bangladesh","5,510.00৳"
1600,2,3,2,3rd,4,"Banashree, Dhaka, Bangladesh","5,625.00৳"
1167,2,3,1,8th,Tiled,"Moghbazar, Dhaka, Bangladesh","5,400.00৳"
1210,1,3,1,5th,Tiled,"Banashree, Dhaka, Bangladesh","4,200.00৳"
1172,2,3,1,5th,Tiled,"Daskhinkhan, Dhaka, Bangladesh","4,500.00৳"
1760,2,4,Space,10th,,"Khilgaon, Dhaka, Bangladesh","8,000.00৳"
1310,3,2,1,7th,Tiled,"Banashree, Dhaka, Bangladesh","5,000.00৳"
1025,2,3,1,8th,Tiled,"Kalabagan, Dhaka, Bangladesh","97,00,000.00৳"
1873,3,4,1,5th,Tiled,"Kalabagan, Dhaka, Bangladesh","8,000.00৳"
1450,2,3,1,2nd,Tiled,"Khilgaon, Dhaka, Bangladesh","7,586.00৳"
1400,2,3,1,7th,Tiled,"Rampura, Dhaka, Bangladesh","5,700.00৳"
1080,2,2,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","80,00,000.00৳"
1352,2,3,1,5th,Tiled,"Adabor, Dhaka, Bangladesh","6,656.80৳"
1400,2,3,1,4th,Tiled,"Baridhara, Dhaka, Bangladesh","9,643.00৳"
1450,3,3,1,6th,3,"Bashundhara RA, Dhaka, Bangladesh","1,00,00,000.00৳"
1650,2,3,1,4th,Tiled,"Baridhara, Dhaka, Bangladesh","7,500.00৳"
1050,2,3,Room,7th,,"Uttara East, Dhaka, Bangladesh","5,000.00৳"
1245,2,3,1,8th,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1486,2,3,1,6th,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,500.00৳"
900,2,2,Space,3rd,,"Banashree, Dhaka, Bangladesh","5,000.00৳"
1080,2,2,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","80,00,000.00৳"
900,1,2,1,6th,Tiled,"Banashree, Dhaka, Bangladesh","5,000.00৳"
1510,3,3,Space,5th,1,"Bashundhara RA, Dhaka, Bangladesh","7,420.00৳"
1320,2,3,1,8th,Tiled,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1550,2,3,1,5th,Tiled,"Banashree, Dhaka, Bangladesh","4,500.00৳"
1550,2,4,2,4th,Tiled,"Mirpur, Dhaka, Bangladesh","4,505.00৳"
1175,2,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","5,110.00৳"
1750,2,4,1,1st,2,"Bashundhara RA, Dhaka, Bangladesh","7,430.00৳"
1400,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","4,300.00৳"
1350,2,3,1,2nd,Tiled,"Rampura, Dhaka, Bangladesh","5,500.00৳"
1150,2,3,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","4,900.00৳"
1683,2,3,1,6th,Tiled,"Rampura, Dhaka, Bangladesh","99,00,000.00৳"
1040,2,3,1,1st,2,"DOHS Mirpur, Dhaka, Bangladesh","70,00,000.00৳"
1500,2,3,1,8th,Tiled,"Rampura, Dhaka, Bangladesh","6,200.00৳"
1350,2,3,1,9th,Tiled,"Mirpur, Dhaka, Bangladesh","5,335.00৳"
1337,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","5,783.00৳"
600,1,2,Space,5th,,"Wari, Dhaka, Bangladesh","3,000.00৳"
1300,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","56,00,000.00৳"
1147,2,3,1,7th,Tiled,"Badda, Dhaka, Bangladesh","4,000.00৳"
1300,1,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","5,200.00৳"
1150,2,3,1,4th,Tiled,"Kakrail, Dhaka, Bangladesh","7,900.00৳"
3685,4,4,1,3rd,2,"Baridhara, Dhaka, Bangladesh","28,000.00৳"
1492,2,3,1,6th,Tiled,"Badda, Dhaka, Bangladesh","6,200.00৳"
2300,3,4,1,5th,Tiled,"Adabor, Dhaka, Bangladesh","6,000.00৳"
1125,2,3,1,2nd,Tiled,"Wari, Dhaka, Bangladesh","6,000.00৳"
1226,2,3,1,5th,Tiled,"Wari, Dhaka, Bangladesh","6,500.00৳"
1070,1,2,1,8th,Tiled,"Malibagh, Dhaka, Bangladesh","3,300.00৳"
1935,2,3,1,10th,Tiled,"Chattogram City, Chattogram, Bangladesh","6,718.35৳"
1400,2,3,1,5th,Tiled,"Savar, Dhaka, Bangladesh","2,286.00৳"
1100,1,3,1,5th,Tiled,"Malibagh, Dhaka, Bangladesh","2,700.00৳"
5365,4,4,Space,7th,,"Gulshan 2, Dhaka, Bangladesh","19,575.00৳"
1450,2,3,1,9th,Tiled,"Rampura, Dhaka, Bangladesh","4,800.00৳"
1100,3,3,Space,4th,1,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
1690,3,3,Space,1st,1,"Dhanmondi, Dhaka, Bangladesh","5,950.00৳"
1100,1,3,1,6th,Tiled,"Banashree, Dhaka, Bangladesh","5,700.00৳"
1350,2,3,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh","1,01,25,000.00৳"
1167,2,3,1,8th,Tiled,"Moghbazar, Dhaka, Bangladesh","5,400.00৳"
3362,3,4,1,4th,3,"Dhanmondi, Dhaka, Bangladesh","18,800.00৳"
1150,2,3,1,8th,Tiled,"Badda, Dhaka, Bangladesh","4,800.00৳"
1250,2,3,1,2nd,Tiled,"Savar, Dhaka, Bangladesh","40,00,000.00৳"
1600,3,3,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,500.00৳"
1596,2,4,1,10th,2,"Malibagh, Dhaka, Bangladesh","7,000.00৳"
1365,3,3,1,10th,1,"Sylhet City, Sylhet, Bangladesh","3,300.00৳"
1300,2,4,2,1st,Tiled,"Rupnagar, Dhaka, Bangladesh",Negotiable
1390,2,3,1,11th,Tiled,"Malibagh, Dhaka, Bangladesh","7,000.00৳"
1600,3,3,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,500.00৳"
1350,2,3,1,7th,Tiled,"Badda, Dhaka, Bangladesh","6,000.00৳"
1300,1,3,1,4th, Other,"Demra, Dhaka, Bangladesh","2,300.00৳"
1650,3,4,1,9th,Tiled,"Badda, Dhaka, Bangladesh","6,000.00৳"
1575,2,3,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,500.00৳"
1767,3,3,1,2nd,1,"Gulshan 1, Dhaka, Bangladesh","10,000.00৳"
1510,2,3,1,4th,Tiled,"Uttara West, Dhaka, Bangladesh","8,300.00৳"
850,1,2,1,Ground, Other,"Turag, Dhaka, Bangladesh","4,000.00৳"
3500,3,3,1,5th,3,"Gulshan 2, Dhaka, Bangladesh","22,800.00৳"
2467,2,3,1,5th,1,"Vatara , Dhaka, Bangladesh","5,000.00৳"
1100,2,2,Space,6th,,"Sher E Bangla Nagar , Dhaka, Bangladesh","6,000.00৳"
1050,1,3,1,10th,Tiled,"Mohammadpur , Dhaka, Bangladesh","42,00,000.00৳"
1650,3,3,1,8th,Tiled,"Banashree, Dhaka, Bangladesh",Negotiable
3685,3,4,1,4th,Tiled,"Baridhara, Dhaka, Bangladesh","10,00,00,000.00৳"
900,2,2,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","6,200.00৳"
1600,3,3,1,6th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","7,200.00৳"
1650,3,3,1,8th,Tiled,"Banashree, Dhaka, Bangladesh",Negotiable
1100,1,3,1,5th,Tiled,"Kalabagan, Dhaka, Bangladesh",Negotiable
1700,3,3,1,6th,3,"Bashundhara RA, Dhaka, Bangladesh","6,500.00৳"
1760,4,3,1,5th,3,"Dhanmondi, Dhaka, Bangladesh","12,500.00৳"
1824,2,3,1,10th,2,"Shahjahanpur, Dhaka, Bangladesh","9,870.00৳"
1913,3,4,1,3rd,3,"Savar, Dhaka, Bangladesh","3,659.00৳"
800,1,2,1,4th,Tiled,"Mohammadpur , Dhaka, Bangladesh","5,000.00৳"
1230,2,3,1,2nd,3,"Mohammadpur , Dhaka, Bangladesh","3,500.00৳"
1047,1,2,1,2nd,Tiled,"Banashree, Dhaka, Bangladesh","5,300.00৳"
1070,1,3,1,1st,Tiled,"Banashree, Dhaka, Bangladesh","4,680.00৳"
1150,1,3,1,3rd,Tiled,"Mirpur, Dhaka, Bangladesh","4,174.00৳"
1500,3,3,Space,4th,1,"Sher E Bangla Nagar , Dhaka, Bangladesh",Negotiable
1640,2,3,1,7th,Tiled,"Kalabagan, Dhaka, Bangladesh","5,800.00৳"
2190,2,5,Space,7th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","6,000.00৳"
1230,2,3,1,5th,3,"Mohammadpur , Dhaka, Bangladesh","3,500.00৳"
1450,2,3,1,2nd,,"Chattogram City, Chattogram, Bangladesh",Negotiable
1600,2,3,1,3rd,Tiled,"Adabor, Dhaka, Bangladesh","85,00,000.00৳"
1,2,4,1,9th,2,"Bashundhara RA, Dhaka, Bangladesh","14,00,00,000.00৳"
550,1,2,1,5th,,"Cumilla City, Cumilla, Bangladesh","3,990.00৳"
1340,2,3,1,8th,Tiled,"Chattogram City, Chattogram, Bangladesh","4,850.00৳"
1100,1,3,1,5th,Tiled,"Banashree, Dhaka, Bangladesh","6,364.00৳"
900,1,2,1,3rd,Tiled,"Kafrul, Dhaka, Bangladesh","4,200.00৳"
1410,2,3,1,1st,Marble,"Chattogram City, Chattogram, Bangladesh","8,000.00৳"
1900,2,3,1,5th,2,"Baridhara, Dhaka, Bangladesh","7,500.00৳"
1700,2,3,1,7th,2,"Mirpur, Dhaka, Bangladesh","6,000.00৳"
1371,2,3,1,8th,Tiled,"Dhanmondi, Dhaka, Bangladesh","6,500.00৳"
1275,2,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","65,00,000.00৳"
1200,2,3,1,7th,3,"Mirpur, Dhaka, Bangladesh","5,000.00৳"
1100,2,3,1,1st,1,"Savar, Dhaka, Bangladesh","2,000.00৳"
1350,2,3,1,6th,Tiled,"Rampura, Dhaka, Bangladesh","4,800.00৳"
1020,1,3,1,Ground,Tiled,"Mirpur, Dhaka, Bangladesh","45,00,000.00৳"
4700,4,5,1,10th,4,"Dhanmondi, Dhaka, Bangladesh","10,00,00,000.00৳"
1500,2,3,Space,2nd,Tiled,"Bashundhara RA, Dhaka, Bangladesh",Negotiable
1100,2,3,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","4,000.00৳"
2204,3,3,1,11th,4,"New Market, Dhaka, Bangladesh","5,800.00৳"
2250,2,3,1,5th,Tiled,"Dhanmondi, Dhaka, Bangladesh","14,000.00৳"
1250,1,3,1,5th,Tiled,"Chattogram City, Chattogram, Bangladesh",Negotiable
750,1,2,1,2nd,Tiled,"Kalabagan, Dhaka, Bangladesh","35,00,000.00৳"
2965,3,3,Space,5th,1,"Gulshan 1, Dhaka, Bangladesh","4,00,00,000.00৳"
950,1,2,1,4th,Tiled,"Mirpur, Dhaka, Bangladesh","4,000.00৳"
1692,3,3,1,2nd,3,"Mohammadpur , Dhaka, Bangladesh","6,700.00৳"
1400,2,3,1,1st,Tiled,"Kalabagan, Dhaka, Bangladesh","1,10,00,000.00৳"
1250,2,3,1,1st,Tiled,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
1150,2,3,Space,8th,,"Mirpur, Dhaka, Bangladesh","5,500.00৳"
2094,3,3,1,4th,3,"Mohammadpur , Dhaka, Bangladesh","7,000.00৳"
1750,2,3,1,2nd,2,"Banani, Dhaka, Bangladesh","10,500.00৳"
850,1,2,1,2nd,Tiled,"Daskhinkhan, Dhaka, Bangladesh","5,000.00৳"
880,1,2,1,7th,Tiled,"Mirpur, Dhaka, Bangladesh","30,00,000.00৳"
1200,2,3,1,4th,Tiled,"Keraniganj, Dhaka, Bangladesh","3,250.00৳"
1088,2,3,1,6th,Tiled,"Daskhinkhan, Dhaka, Bangladesh","38,00,000.00৳"
1200,2,3,1,10th,Marble,"Kalabagan, Dhaka, Bangladesh","9,000.00৳"
1250,1,2,1,6th,Tiled,"Mirpur, Dhaka, Bangladesh","4,500.00৳"
1450,2,3,1,4th,Tiled,"Baridhara, Dhaka, Bangladesh","10,000.00৳"
850,1,2,1,2nd,,"Badda, Dhaka, Bangladesh","45,00,000.00৳"
1300,1,3,1,3rd,Tiled,"Keraniganj, Dhaka, Bangladesh","2,200.00৳"
1085,1,2,1,2nd,Tiled,"Cantonment, Dhaka, Bangladesh","4,150.00৳"
1000,1,3,1,3rd,Tiled,"Keraniganj, Dhaka, Bangladesh","3,100.00৳"
877,1,2,2,10th,,"Badda, Dhaka, Bangladesh","55,00,000.00৳"
781,1,2,1,3rd,Tiled,"Badda, Dhaka, Bangladesh","35,00,000.00৳"
1320,2,2,Space,8th,Tiled,"Baridhara, Dhaka, Bangladesh","6,200.00৳"
1350,2,3,1,7th,Tiled,"Badda, Dhaka, Bangladesh","75,00,000.00৳"
900,2,3,1,1st,Tiled,"Badda, Dhaka, Bangladesh","4,800.00৳"
1230,2,3,1,3rd,3,"Mohammadpur , Dhaka, Bangladesh","3,500.00৳"
1700,1,2,1,3rd,,"Narayanganj, Narayanganj, Bangladesh","3,500.00৳"
850,1,2,1,3rd,Tiled,"Khilgaon, Dhaka, Bangladesh","5,294.00৳"
1204,3,2,1,Ground,Tiled,"Khilgaon, Dhaka, Bangladesh","5,500.00৳"
870,1,2,1,7th,Tiled,"Badda, Dhaka, Bangladesh","40,00,000.00৳"
910,1,2,1,2nd,Tiled,"Daskhinkhan, Dhaka, Bangladesh","4,102.00৳"
2160,3,4,1,5th,3,"Tejgaon, Dhaka, Bangladesh","11,580.00৳"
1315,2,4,1,3rd,3,"Rampura, Dhaka, Bangladesh","6,000.00৳"
1150,2,3,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","4,350.00৳"
2300,3,4,1,2nd,4,"Rampura, Dhaka, Bangladesh","6,500.00৳"
1388,2,3,1,7th,1,"Rampura, Dhaka, Bangladesh","5,500.00৳"
1200,2,3,1,Ground,Mosaic,"Banani, Dhaka, Bangladesh","5,800.00৳"
1400,3,3,1,8th,Tiled,"Bashundhara RA, Dhaka, Bangladesh","5,800.00৳"
1500,2,3,1,9th,Tiled,"Shyamoli, Dhaka, Bangladesh",Negotiable
1150,2,3,1,6th,Tiled,"Khilgaon, Dhaka, Bangladesh","4,400.00৳"
1995,2,3,1,3rd,3,"Dhanmondi, Dhaka, Bangladesh","20,000.00৳"
1220,2,3,1,15th,Tiled,"Paltan, Dhaka, Bangladesh","7,000.00৳"
1450,3,3,1,Ground,3,"Shyamoli, Dhaka, Bangladesh","3,700.00৳"
1495,2,3,1,4th,3,"Banashree, Dhaka, Bangladesh","4,300.00৳"
1180,2,3,1,7th,Tiled,"Tejgaon, Dhaka, Bangladesh","70,00,000.00৳"
2036,2,3,1,1st,Tiled,"Dhanmondi, Dhaka, Bangladesh","21,000.00৳"
1430,2,3,1,6th,,"Rampura, Dhaka, Bangladesh","4,500.00৳"
1160,2,2,1,6th,Tiled,"DOHS Mirpur, Dhaka, Bangladesh","6,500.00৳"
1050,2,3,Room,6th,,"Uttara East, Dhaka, Bangladesh","5,000.00৳"
1490,2,3,1,Ground,Tiled,"Narayanganj, Narayanganj, Bangladesh","3,692.00৳"
1395,2,3,1,3rd,Tiled,"Rampura, Dhaka, Bangladesh","58,00,000.00৳"
1800,2,5,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","3,666.00৳"
1150,1,3,1,5th,Tiled,"Kallaynpur, Dhaka, Bangladesh","4,200.00৳"
1320,2,3,1,6th,Tiled,"Rampura, Dhaka, Bangladesh","4,621.00৳"
1850,2,3,1,3rd,Tiled,"Banashree, Dhaka, Bangladesh","5,500.00৳"
1050,2,3,Room,7th,,"Uttara East, Dhaka, Bangladesh","5,000.00৳"
1500,2,3,1,3rd,Tiled,"Badda, Dhaka, Bangladesh","6,500.00৳"
1250,1,3,1,2nd,1,"Adabor, Dhaka, Bangladesh","5,050.00৳"
1000,1,3,1,5th,Tiled,"Rampura, Dhaka, Bangladesh","6,000.00৳"
1050,1,3,1,4th,Tiled,"Badda, Dhaka, Bangladesh","65,00,000.00৳"
1150,3,3,Space,5th,1,"Rampura, Dhaka, Bangladesh","4,500.00৳"
1368,1,3,1,3rd,Mosaic,"Rampura, Dhaka, Bangladesh","6,500.00৳"
1150,1,3,1,7th,Tiled,"Rampura, Dhaka, Bangladesh","5,000.00৳"
1940,3,3,Space,3rd,Tiled,"Rampura, Dhaka, Bangladesh","4,500.00৳"
1150,1,3,1,3rd,Mosaic,"Banashree, Dhaka, Bangladesh","4,500.00৳"
1350,2,3,1,7th,Tiled,"Rampura, Dhaka, Bangladesh","4,600.00৳"
1512,2,3,1,2nd,2,"Uttara West, Dhaka, Bangladesh","5,621.00৳"
3024,4,4,Space,4th,Marble,"Ramna, Dhaka, Bangladesh","12,269.00৳"
900,1,2,1,7th,Tiled,"Rampura, Dhaka, Bangladesh","4,500.00৳"
1385,2,3,1,2nd,Tiled,"Mirpur, Dhaka, Bangladesh","4,500.00৳"
2672,2,4,1,10th,3,"Dhanmondi, Dhaka, Bangladesh","3,70,00,000.00৳"
1050,1,3,1,5th,Tiled,"Kalabagan, Dhaka, Bangladesh","7,000.00৳"
1600,2,4,1,4th,Tiled,"Banashree, Dhaka, Bangladesh","5,500.00৳"
1115,1,3,1,6th,Tiled,"Banashree, Dhaka, Bangladesh","3,800.00৳"
2250,3,4,1,4th,4,"Uttara West, Dhaka, Bangladesh","6,000.00৳"
296600,1,1,1,Ground,1,"Chattogram City, Chattogram, Bangladesh","7,000.00৳"
2349,3,3,1,14th,3,"Baridhara, Dhaka, Bangladesh","2,30,00,000.00৳"
1100,1,3,1,5th,Tiled,"Kafrul, Dhaka, Bangladesh","5,000.00৳"
1435,2,3,1,5th,Tiled,"Uttara West, Dhaka, Bangladesh","7,317.07৳"
1224,1,3,1,8th,Tiled,"Chattogram City, Chattogram, Bangladesh","4,500.00৳"
1462,2,3,1,5th,3,"Uttara West, Dhaka, Bangladesh","5,500.00৳"
1250,2,3,1,Ground,Tiled,"Mirpur, Dhaka, Bangladesh","4,000.00৳"
