area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
1400,2,2,3,1,2nd,,"Aftabnagar, Dhaka, Bangladesh",1,"6,429.00৳",Apartment
2430,3,3,3,1,3rd,,"Banani, Dhaka, Bangladesh",2,"15,000.00৳",Apartment
1300,3,2,3,,5th,,"Mirpur, Dhaka, Bangladesh",1,"5,385.00৳",Apartment
1870,3,1,3,,2nd,,"Baridhara, Dhaka, Bangladesh",1,"11,230.00৳",Apartment
1350,3,2,3,,1st,,"Baridhara, Dhaka, Bangladesh",1,"5,926.00৳",Apartment
1050,2,2,3,,2nd,,"Mirpur, Dhaka, Bangladesh",,"4,286.00৳",Apartment
4070,4,2,4,,10th,,"Gulshan 2, Dhaka, Bangladesh",2,"19,657.00৳",Apartment
2000,3,4,3,,7th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
950,2,2,2,,5th,,"Mirpur, Dhaka, Bangladesh",1,"4,210.00৳",Apartment
1050,2,1,3,,4th,,"Mirpur, Dhaka, Bangladesh",1,"4,100.00৳",Apartment
1440,3,3,3,1,2nd,,"Aftabnagar, Dhaka, Bangladesh",1,"7,640.00৳",Apartment
1150,2,2,3,,8th,,"Badda, Dhaka, Bangladesh",,"5,700.00৳",Apartment
1120,2,2,3,1,15th,,"Kadamtali, Dhaka, Bangladesh",,"3,800.00৳",Apartment
2600,3,3,3,,4th,,"Baridhara, Dhaka, Bangladesh",1,"23,077.00৳",Apartment
1950,3,1,3,,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,488.00৳",Apartment
2300,3,2,3,1,1st,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
2200,3,2,3,1,1st,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
2175,3,3,3,1,1st,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
2375,2,4,4,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",2,"8,000.00৳",Apartment
2150,2,3,3,1,4th,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment
1350,2,1,3,,1st,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"14,445.00৳",Apartment
1100,2,1,3,1,6th,,"Badda, Dhaka, Bangladesh",,"7,000.00৳",Apartment
2220,3,3,3,,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"9,460.00৳",Apartment
