area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_sft,property_type
1435,2,4,3,1,4th,,"Ramna, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1727,2,,3,1,12th,,"Ramna, Dhaka, Bangladesh",1,"10,000.00৳",Apartment
2467,3,3,4,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,700.00৳",Apartment
1695,3,3,4,1,17th,,"Paltan, Dhaka, Bangladesh",1,"10,325.00৳",Apartment
1400,2,2,3,1,9th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,857.00৳",Apartment
1500,3,3,3,,1st,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,133.00৳",Apartment
1630,2,3,3,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1044,1,3,3,1,5th,,"Adabor, Dhaka, Bangladesh",,"4,790.00৳",Apartment
1563,3,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"1,00,00,000.00৳",Apartment
1650,2,3,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
2600,3,3,4,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1643,3,3,3,,9th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1000,2,1,3,1,5th,,"Mohammadpur , Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1900,3,5,4,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1650,2,3,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,200.00৳",Apartment
2254,3,4,4,1,15th,,"Paltan, Dhaka, Bangladesh",1,"12,000.00৳",Apartment
1470,2,3,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,000.00৳",Apartment
1735,3,2,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,262.00৳",Apartment
1450,2,3,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1975,3,3,3,,1st,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,000.00৳",Apartment
1530,3,3,3,,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,600.00৳",Apartment
1553,3,3,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
2400,4,3,4,,7th,,"Uttara West, Dhaka, Bangladesh",1,"10,000.00৳",Apartment
1650,2,3,4,1,6th,,"Mohammadpur , Dhaka, Bangladesh",1,"3,600.00৳",Apartment
1320,2,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"4,924.00৳",Apartment
850,1,2,2,1,1st,,"Uttara West, Dhaka, Bangladesh",,"5,295.00৳",Apartment
1677,2,2,3,1,1st,,"Mohammadpur , Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1700,3,3,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"8,900.00৳",Apartment
1779,2,4,3,1,6th,,"Mohammadpur , Dhaka, Bangladesh",,Negotiable,Apartment
1450,1,4,3,1,5th,,"Adabor, Dhaka, Bangladesh",1,"5,863.00৳",Apartment
2232,3,4,3,,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1050,3,2,3,1,10th,,"Mohammadpur , Dhaka, Bangladesh",1,"4,000.00৳",Apartment
1650,1,2,3,2,5th,,"Paltan, Dhaka, Bangladesh",,"8,000.00৳",Apartment
1300,2,3,3,1,1st,,"Mohammadpur , Dhaka, Bangladesh",1,"6,100.00৳",Apartment
1900,2,3,4,1,6th,,"Mohammadpur , Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1285,1,2,3,1,6th,,"Mohammadpur , Dhaka, Bangladesh",,"40,00,000.00৳",Apartment
1595,2,3,3,1,13th,,"Mohammadpur , Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1550,3,3,3,1,1st,,"Mohammadpur , Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1400,2,1,2,1,6th,,"Mohammadpur , Dhaka, Bangladesh",,"7,000.00৳",Apartment
1000,1,2,2,1,1st,,"Banashree, Dhaka, Bangladesh",1,"4,445.00৳",Apartment
1020,2,3,3,,8th,,"Mohammadpur , Dhaka, Bangladesh",,"5,000.00৳",Apartment
1900,3,4,4,,5th,,"Ramna, Dhaka, Bangladesh",1,"13,000.00৳",Apartment
1350,3,2,4,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",1,"4,900.00৳",Apartment
900,1,2,2,1,4th,,"Mohammadpur , Dhaka, Bangladesh",1,Negotiable,Apartment
2000,4,2,4,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1800,3,3,3,1,4th,,"Baridhara, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1863,3,1,3,,7th,,"Uttara West, Dhaka, Bangladesh",1,"10,500.00৳",Apartment
1650,2,2,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"1,05,00,000.00৳",Apartment
1550,2,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"7,741.00৳",Apartment
850,1,1,2,1,6th,,"Nikunja, Dhaka, Bangladesh",,"8,750.00৳",Apartment
950,1,,3,1,4th,,"Banashree, Dhaka, Bangladesh",,"3,200.00৳",Apartment
1625,3,2,3,,7th,,"Kalabagan, Dhaka, Bangladesh",1,"6,600.00৳",Apartment
1170,2,2,3,1,2nd,,"Nikunja, Dhaka, Bangladesh",1,"6,900.00৳",Apartment
1311,2,3,3,1,4th,,"Banashree, Dhaka, Bangladesh",,"4,580.00৳",Apartment
1500,2,2,3,1,5th,,"Khilgaon, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1200,2,2,3,1,8th,,"Rampura, Dhaka, Bangladesh",1,Negotiable,Apartment
1285,2,3,3,1,5th,,"Malibagh, Dhaka, Bangladesh",2,"7,400.00৳",Apartment
1750,2,3,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",1,"4,290.00৳",Apartment
1125,2,2,3,1,7th,,"Banashree, Dhaka, Bangladesh",,"50,00,000.00৳",Apartment
1362,3,2,3,1,3rd,,"Banashree, Dhaka, Bangladesh",1,"7,350.00৳",Apartment
1727,3,3,3,,9th,,"Banani, Dhaka, Bangladesh",,"1,95,00,000.00৳",Apartment
1045,1,1,3,1,2nd,,"Baridhara, Dhaka, Bangladesh",,"51,00,000.00৳",Apartment
1900,2,3,3,,8th,,"Baridhara, Dhaka, Bangladesh",1,"8,500.00৳",Apartment
1060,1,2,3,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"5,850.00৳",Apartment
1100,2,2,3,1,3rd,,"Banashree, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1000,1,3,3,1,3rd,,"Banashree, Dhaka, Bangladesh",,"5,00,000.00৳",Apartment
1530,2,2,3,1,3rd,,"Uttara East, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1225,1,2,3,1,15th,,"Khilkhet, Dhaka, Bangladesh",,"4,800.00৳",Apartment
700,1,1,3,,3rd,,"Kamrangir Char, Dhaka, Bangladesh",,"3,000.00৳",Apartment
1481,2,3,3,1,8th,,"Wari, Dhaka, Bangladesh",1,"10,130.00৳",Apartment
1350,3,2,3,1,1st,,"Wari, Dhaka, Bangladesh",1,"8,150.00৳",Apartment
3340,3,,3,1,8th,,"Banani, Dhaka, Bangladesh",2,"4,50,00,000.00৳",Apartment
2,3,2,3,1,5th,,"Badda, Dhaka, Bangladesh",,Negotiable,Apartment
1275,2,2,3,1,1st,,"Badda, Dhaka, Bangladesh",1,"5,650.00৳",Apartment
1194,3,3,3,1,9th,,"Wari, Dhaka, Bangladesh",1,"8,500.00৳",Apartment
820,1,1,2,1,6th,,"Wari, Dhaka, Bangladesh",,"6,000.00৳",Apartment
1200,3,2,3,1,7th,,"Dhanmondi, Dhaka, Bangladesh",1,"6,666.00৳",Apartment
550,,1,2,1,Ground,,"Banashree, Dhaka, Bangladesh",,"3,500.00৳",Apartment
1250,2,3,3,1,5th,,"Badda, Dhaka, Bangladesh",1,Negotiable,Apartment
1125,2,2,3,,6th,,"Banashree, Dhaka, Bangladesh",,"4,622.00৳",Apartment
875,1,3,2,1,4th,,"Adabor, Dhaka, Bangladesh",,Negotiable,Apartment
1270,2,3,3,1,2nd,,"Rampura, Dhaka, Bangladesh",,"5,100.00৳",Apartment
1500,2,4,3,1,2nd,,"Badda, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1250,2,3,3,1,5th,,"Mirpur, Dhaka, Bangladesh",1,"3,600.00৳",Apartment
1244,2,3,3,1,2nd,,"Badda, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
2250,3,3,4,1,9th,,"Badda, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
650,1,2,2,1,2nd,,"Mirpur, Dhaka, Bangladesh",,"3,450.00৳",Apartment
1200,3,3,3,1,4th,,"Badda, Dhaka, Bangladesh",1,Negotiable,Apartment
1620,3,3,3,1,1st,,"Badda, Dhaka, Bangladesh",,"7,000.00৳",Apartment
1180,2,2,3,1,7th,,"Badda, Dhaka, Bangladesh",1,"6,600.00৳",Apartment
1388,2,3,3,1,3rd,,"Badda, Dhaka, Bangladesh",1,Negotiable,Apartment
1500,2,3,3,1,4th,,"Banashree, Dhaka, Bangladesh",,"5,333.33৳",Apartment
1050,1,2,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",,"3,800.00৳",Apartment
950,1,,2,1,1st,,"Dhanmondi, Dhaka, Bangladesh",,"7,600.00৳",Apartment
1125,2,2,3,1,6th,,"Banashree, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1020,1,2,3,1,6th,,"Banashree, Dhaka, Bangladesh",1,"4,000.00৳",Apartment
2500,3,3,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",,"7,000.00৳",Apartment
1100,2,3,3,1,5th,,"Mirpur, Dhaka, Bangladesh",,"4,400.00৳",Apartment
1700,2,3,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",,"5,295.00৳",Apartment
1175,2,2,3,1,2nd,,"Badda, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1150,2,2,3,1,2nd,,"Banashree, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1060,2,2,3,,4th,,"Rampura, Dhaka, Bangladesh",1,"65,00,000.00৳",Apartment
2150,3,3,3,,4th,,"DOHS Mirpur, Dhaka, Bangladesh",1,"8,000.00৳",Apartment
1125,2,2,3,1,1st,,"Banashree, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1000,1,3,3,1,2nd,,"Banashree, Dhaka, Bangladesh",1,"55,00,000.00৳",Apartment
2000,1,2,2,1,7th,,"Mohammadpur , Dhaka, Bangladesh",1,"3,500.00৳",Apartment
1356,2,3,3,1,5th,,"Gulshan 1, Dhaka, Bangladesh",,"4,975.00৳",Apartment
1290,3,2,3,,5th,,"Cantonment, Dhaka, Bangladesh",1,"4,200.00৳",Apartment
1250,3,2,3,1,2nd,,"Cantonment, Dhaka, Bangladesh",1,"6,400.00৳",Apartment
1274,2,,3,1,3rd,,"Banashree, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1385,3,3,3,1,10th,,"Banashree, Dhaka, Bangladesh",1,"5,800.00৳",Apartment
1511,3,3,3,1,7th,,"Banashree, Dhaka, Bangladesh",1,"6,288.00৳",Apartment
1450,2,3,3,1,4th,,"Banashree, Dhaka, Bangladesh",1,"4,400.00৳",Apartment
2000,4,2,4,,2nd,,"Banashree, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1250,2,2,3,1,10th,,"Mohammadpur , Dhaka, Bangladesh",1,"4,000.00৳",Apartment
2100,3,3,4,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",,"4,500.00৳",Apartment
1125,1,,3,1,4th,,"Moghbazar, Dhaka, Bangladesh",,"24,000.00৳",Apartment
1365,3,3,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"4,800.00৳",Apartment
2200,4,4,5,1,8th,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment
1100,1,2,2,1,4th,,"Banashree, Dhaka, Bangladesh",1,"5,909.00৳",Apartment
600,1,1,2,1,5th,,"Mohammadpur , Dhaka, Bangladesh",1,"4,700.00৳",Apartment
1475,2,4,3,1,9th,,"Khilgaon, Dhaka, Bangladesh",,"4,200.00৳",Apartment
965,1,2,2,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",1,"60,00,000.00৳",Apartment
720,2,2,2,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",,"4,444.00৳",Apartment
1175,2,2,3,1,9th,,"Mirpur, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1200,3,2,3,1,3rd,,"Banashree, Dhaka, Bangladesh",,"65,00,000.00৳",Apartment
1460,2,,3,,9th,,"Bashundhara RA, Dhaka, Bangladesh",,"9,500.00৳",Apartment
1100,2,2,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",,"3,000.00৳",Apartment
1150,2,2,3,,5th,,"Banashree, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1172,2,2,3,1,3rd,,"Rampura, Dhaka, Bangladesh",,"4,700.00৳",Apartment
1272,2,2,3,1,5th,,"Adabor, Dhaka, Bangladesh",,"4,300.00৳",Apartment
1330,2,2,3,1,7th,,"Cantonment, Dhaka, Bangladesh",1,"40,000.00৳",Apartment
1150,2,2,3,1,2nd,,"Banashree, Dhaka, Bangladesh",1,"4,600.00৳",Apartment
1500,2,3,3,1,3rd,,"Banashree, Dhaka, Bangladesh",1,Negotiable,Apartment
2700,5,3,5,,1st,,"Banashree, Dhaka, Bangladesh",1,Negotiable,Apartment
1200,2,,3,1,8th,,"Rampura, Dhaka, Bangladesh",1,"66,00,000.00৳",Apartment
1200,2,3,3,1,6th,,"Rampura, Dhaka, Bangladesh",1,Negotiable,Apartment
1310,3,2,4,1,8th,,"Cantonment, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1350,3,4,3,1,3rd,,"Cantonment, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1618,2,2,3,1,5th,,"Cantonment, Dhaka, Bangladesh",1,"4,600.00৳",Apartment
2440,4,2,4,1,7th,,"Cantonment, Dhaka, Bangladesh",1,"7,500.00৳",Apartment
1540,3,3,4,,10th,,"Cantonment, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1010,1,3,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",,"2,500.00৳",Apartment
3000,5,1,5,1,2nd,,"Gulshan 2, Dhaka, Bangladesh",2,"8,00,00,000.00৳",Apartment
3000,5,1,6,1,3rd,,"Gulshan 1, Dhaka, Bangladesh",2,"13,500.00৳",Apartment
1350,2,2,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"5,930.00৳",Apartment
3500,3,4,4,1,1st,,"Gulshan 2, Dhaka, Bangladesh",2,"20,000.00৳",Apartment
1359,2,3,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"5,800.00৳",Apartment
1005,1,2,2,1,6th,,"Uttara West, Dhaka, Bangladesh",,"3,700.00৳",Apartment
1300,3,3,3,,7th,,"Cantonment, Dhaka, Bangladesh",1,"4,800.00৳",Apartment
1080,1,2,3,1,9th,,"Daskhinkhan, Dhaka, Bangladesh",,"50,00,000.00৳",Apartment
2,2,1,3,1,3rd,,"Dhanmondi, Dhaka, Bangladesh",,"8,300.00৳",Apartment
960,2,2,3,1,3rd,,"Cantonment, Dhaka, Bangladesh",,"3,500.00৳",Apartment
750,1,2,2,1,6th,,"Mirpur, Dhaka, Bangladesh",,"4,700.00৳",Apartment
1400,2,3,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1476,2,2,3,1,8th,,"Mirpur, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
900,,1,2,3,2nd,,"Mirpur, Dhaka, Bangladesh",,"20,000.00৳",Apartment
1727,4,4,4,1,9th,,"Banani, Dhaka, Bangladesh",1,"12,200.00৳",Apartment
1100,2,3,3,1,5th,,"Mirpur, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1160,2,2,3,1,7th,,"Mirpur, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1200,2,2,3,1,3rd,,"DOHS Mirpur, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1400,2,1,3,1,1st,,"DOHS Mirpur, Dhaka, Bangladesh",1,"7,857.00৳",Apartment
3800,4,2,4,1,4th,,"Gulshan 2, Dhaka, Bangladesh",2,"20,000.00৳",Apartment
3500,5,4,4,1,5th,,"Gulshan 1, Dhaka, Bangladesh",2,"23,000.00৳",Apartment
4650,4,2,4,,4th,,"Gulshan 1, Dhaka, Bangladesh",2,"16,600.00৳",Apartment
1050,1,2,3,1,4th,,"Banashree, Dhaka, Bangladesh",,"5,500.00৳",Apartment
1135,2,2,3,1,10th,,"Mirpur, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1100,2,3,3,1,7th,,"Pallabi , Dhaka, Bangladesh",,"3,200.00৳",Apartment
1362,2,3,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
850,1,2,2,1,6th,,"Kalabagan, Dhaka, Bangladesh",,"5,300.00৳",Apartment
1370,2,2,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"3,500.00৳",Apartment
1060,2,3,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",,"5,000.00৳",Apartment
750,1,2,2,1,6th,,"Mohammadpur , Dhaka, Bangladesh",,"3,100.00৳",Apartment
855,1,2,2,1,3rd,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment
960,2,2,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"4,200.00৳",Apartment
11,1,2,2,1,1st,,"Mohammadpur , Dhaka, Bangladesh",,"8,500.00৳",Apartment
1150,2,2,3,1,6th,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment
1450,2,1,3,1,2nd,,"Khilgaon, Dhaka, Bangladesh",1,"7,586.00৳",Apartment
1180,3,2,3,,6th,,"Tejgaon, Dhaka, Bangladesh",,"5,510.00৳",Apartment
1600,3,2,4,1,9th,,"Bashundhara RA, Dhaka, Bangladesh",,Negotiable,Apartment
1310,3,2,2,1,7th,,"Banashree, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1172,2,2,3,1,5th,,"Daskhinkhan, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1025,2,2,3,1,8th,,"Kalabagan, Dhaka, Bangladesh",1,"97,00,000.00৳",Apartment
1210,1,2,3,1,5th,,"Banashree, Dhaka, Bangladesh",1,"4,200.00৳",Apartment
1873,3,2,4,1,5th,,"Kalabagan, Dhaka, Bangladesh",,"8,000.00৳",Apartment
1045,2,2,3,1,3rd,,"Pallabi , Dhaka, Bangladesh",1,"65,00,000.00৳",Apartment
1250,2,3,3,1,1st,,"Daskhinkhan, Dhaka, Bangladesh",,"4,200.00৳",Apartment
1760,2,,4,,10th,,"Khilgaon, Dhaka, Bangladesh",,"8,000.00৳",Apartment
1000,2,2,3,1,1st,,"Tongi, Dhaka, Bangladesh",1,"3,600.00৳",Apartment
1245,2,2,3,1,8th,,"Mirpur, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
900,2,1,2,,3rd,,"Banashree, Dhaka, Bangladesh",,"5,000.00৳",Apartment
1167,2,1,3,1,8th,,"Moghbazar, Dhaka, Bangladesh",1,"5,400.00৳",Apartment
900,1,2,2,1,6th,,"Banashree, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1650,2,3,3,1,4th,,"Baridhara, Dhaka, Bangladesh",,"7,500.00৳",Apartment
1600,2,4,3,2,3rd,,"Banashree, Dhaka, Bangladesh",1,"5,625.00৳",Apartment
1352,2,2,3,1,5th,,"Adabor, Dhaka, Bangladesh",1,"6,656.80৳",Apartment
1486,2,3,3,1,6th,,"Mohammadpur , Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1080,2,,2,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"80,00,000.00৳",Apartment
1400,2,3,3,1,4th,,"Baridhara, Dhaka, Bangladesh",,"9,643.00৳",Apartment
1080,2,2,2,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",,"80,00,000.00৳",Apartment
1450,3,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"1,00,00,000.00৳",Apartment
1320,2,3,3,1,8th,,"Mirpur, Dhaka, Bangladesh",1,"5,000.00৳",Apartment
1400,2,2,3,1,4th,,"Mirpur, Dhaka, Bangladesh",,"4,300.00৳",Apartment
1550,2,2,4,2,4th,,"Mirpur, Dhaka, Bangladesh",,"4,505.00৳",Apartment
1550,2,3,3,1,5th,,"Banashree, Dhaka, Bangladesh",1,"4,500.00৳",Apartment
1050,2,2,3,,7th,,"Uttara East, Dhaka, Bangladesh",,"5,000.00৳",Apartment
1150,2,2,3,1,4th,,"Banashree, Dhaka, Bangladesh",1,"4,900.00৳",Apartment
1683,2,3,3,1,6th,,"Rampura, Dhaka, Bangladesh",1,"99,00,000.00৳",Apartment
1510,3,2,3,,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,420.00৳",Apartment
1500,2,2,3,1,8th,,"Rampura, Dhaka, Bangladesh",1,"6,200.00৳",Apartment
1040,2,2,3,1,1st,,"DOHS Mirpur, Dhaka, Bangladesh",1,"70,00,000.00৳",Apartment
1350,2,3,3,1,2nd,,"Rampura, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1400,2,3,3,1,7th,,"Rampura, Dhaka, Bangladesh",1,"5,700.00৳",Apartment
1337,2,2,3,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"5,783.00৳",Apartment
1175,2,1,3,1,2nd,,"Mirpur, Dhaka, Bangladesh",1,"5,110.00৳",Apartment
600,1,1,2,,5th,,"Wari, Dhaka, Bangladesh",,"3,000.00৳",Apartment
1147,2,2,3,1,7th,,"Badda, Dhaka, Bangladesh",1,"4,000.00৳",Apartment
1300,2,3,3,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"56,00,000.00৳",Apartment
1350,2,2,3,1,9th,,"Mirpur, Dhaka, Bangladesh",,"5,335.00৳",Apartment
1125,2,1,3,1,2nd,,"Wari, Dhaka, Bangladesh",,"6,000.00৳",Apartment
1150,2,3,3,1,4th,,"Kakrail, Dhaka, Bangladesh",1,"7,900.00৳",Apartment
1750,2,2,4,1,1st,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,430.00৳",Apartment
3685,4,2,4,1,3rd,,"Baridhara, Dhaka, Bangladesh",2,"28,000.00৳",Apartment
2300,3,5,4,1,5th,,"Adabor, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1226,2,2,3,1,5th,,"Wari, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1450,2,3,3,1,9th,,"Rampura, Dhaka, Bangladesh",1,"4,800.00৳",Apartment
1492,2,4,3,1,6th,,"Badda, Dhaka, Bangladesh",1,"6,200.00৳",Apartment
1167,2,1,3,1,8th,,"Moghbazar, Dhaka, Bangladesh",1,"5,400.00৳",Apartment
3362,3,3,4,1,4th,,"Dhanmondi, Dhaka, Bangladesh",1,"18,800.00৳",Apartment
1100,3,3,3,,4th,,"Mirpur, Dhaka, Bangladesh",1,"5,500.00৳",Apartment
1935,2,3,3,1,10th,,"Chattogram City, Chattogram, Bangladesh",,"6,718.35৳",Apartment
5365,4,,4,,7th,,"Gulshan 2, Dhaka, Bangladesh",2,"19,575.00৳",Apartment
1300,1,2,3,1,4th,,"Mirpur, Dhaka, Bangladesh",1,"5,200.00৳",Apartment
1400,2,2,3,1,5th,,"Savar, Dhaka, Bangladesh",1,"2,286.00৳",Apartment
1350,2,2,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"1,01,25,000.00৳",Apartment
1100,1,2,3,1,6th,,"Banashree, Dhaka, Bangladesh",1,"5,700.00৳",Apartment
1690,3,3,3,,1st,,"Dhanmondi, Dhaka, Bangladesh",1,"5,950.00৳",Apartment
1600,3,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1650,3,3,4,1,9th,,"Badda, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1300,1,2,3,1,4th,,"Demra, Dhaka, Bangladesh",,"2,300.00৳",Apartment
1250,2,3,3,1,2nd,,"Savar, Dhaka, Bangladesh",,"40,00,000.00৳",Apartment
1365,3,,3,1,10th,,"Sylhet City, Sylhet, Bangladesh",1,"3,300.00৳",Apartment
1350,2,2,3,1,7th,,"Badda, Dhaka, Bangladesh",1,"6,000.00৳",Apartment
1100,1,2,3,1,5th,,"Malibagh, Dhaka, Bangladesh",,"2,700.00৳",Apartment
1575,2,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1300,2,4,4,2,1st,,"Rupnagar, Dhaka, Bangladesh",,Negotiable,Apartment
1596,2,2,4,1,10th,,"Malibagh, Dhaka, Bangladesh",1,"7,000.00৳",Apartment
1390,2,2,3,1,11th,,"Malibagh, Dhaka, Bangladesh",1,"7,000.00৳",Apartment
1070,1,1,2,1,8th,,"Malibagh, Dhaka, Bangladesh",1,"3,300.00৳",Apartment
3500,3,3,3,1,5th,,"Gulshan 2, Dhaka, Bangladesh",1,"22,800.00৳",Apartment
1700,3,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1650,3,3,3,1,8th,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment
1150,2,2,3,1,8th,,"Badda, Dhaka, Bangladesh",1,"4,800.00৳",Apartment
1650,3,3,3,1,8th,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment
3685,3,4,4,1,4th,,"Baridhara, Dhaka, Bangladesh",1,"10,00,00,000.00৳",Apartment
1510,2,2,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"8,300.00৳",Apartment
900,2,1,2,1,4th,,"Banashree, Dhaka, Bangladesh",,"6,200.00৳",Apartment
1767,3,1,3,1,2nd,,"Gulshan 1, Dhaka, Bangladesh",1,"10,000.00৳",Apartment
1100,2,1,2,,6th,,"Sher E Bangla Nagar , Dhaka, Bangladesh",,"6,000.00৳",Apartment
1050,1,2,3,1,10th,,"Mohammadpur , Dhaka, Bangladesh",1,"42,00,000.00৳",Apartment
1600,3,3,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment
1913,3,3,4,1,3rd,,"Savar, Dhaka, Bangladesh",1,"3,659.00৳",Apartment
1824,2,2,3,1,10th,,"Shahjahanpur, Dhaka, Bangladesh",1,"9,870.00৳",Apartment
1100,1,3,3,1,5th,,"Kalabagan, Dhaka, Bangladesh",,Negotiable,Apartment
800,1,2,2,1,4th,,"Mohammadpur , Dhaka, Bangladesh",,"5,000.00৳",Apartment
1070,1,3,3,1,1st,,"Banashree, Dhaka, Bangladesh",1,"4,680.00৳",Apartment
2467,2,1,3,1,5th,,"Vatara , Dhaka, Bangladesh",,"5,000.00৳",Apartment
1047,1,2,2,1,2nd,,"Banashree, Dhaka, Bangladesh",1,"5,300.00৳",Apartment
1150,1,2,3,1,3rd,,"Mirpur, Dhaka, Bangladesh",,"4,174.00৳",Apartment
1230,2,3,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",1,"3,500.00৳",Apartment
1760,4,3,3,1,5th,,"Dhanmondi, Dhaka, Bangladesh",1,"12,500.00৳",Apartment
850,1,1,2,1,Ground,,"Turag, Dhaka, Bangladesh",,"4,000.00৳",Apartment
