area_sft,attach_bathrooms,bedrooms,common_bathrooms,floor,floor_type,location,parking_space,price_per_month,property_type
5400,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
2200,2,3,1,2nd,,"Gulshan 2, Dhaka, Bangladesh",1,Negotiable,Residential Apartment
1950,3,3,,7th,,"Uttara West, Dhaka, Bangladesh",1,"55,000.00৳",Residential Apartment
1100,2,3,1,2nd,,"Aftabnagar, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1400,1,2,1,3rd,,"Kalabagan, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1100,1,2,1,2nd,,"Kafrul, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
900,,1,,8th,,"Paltan, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1600,1,3,1,2nd,,"Ramna, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1300,2,4,1,5th,,"Malibagh, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
2500,2,3,1,10th,,"Malibagh, Dhaka, Bangladesh",1,"4,500.00৳",Residential Apartment
1600,3,3,1,3rd,,"Malibagh, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1200,1,3,1,4th,,"Malibagh, Dhaka, Bangladesh",,"30,000.00৳",Residential Apartment
1200,1,3,1,2nd,,"Kafrul, Dhaka, Bangladesh",1,"14,000.00৳",Residential Apartment
1250,2,3,1,11th,,"Malibagh, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
1140,2,3,1,2nd,,"Aftabnagar, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1300,2,2,,3rd,,"Uttara West, Dhaka, Bangladesh",2,"30,000.00৳",Residential Apartment
2200,2,3,1,3rd,,"Aftabnagar, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
2200,3,4,1,5th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
500,,2,,4th,,"Aftabnagar, Dhaka, Bangladesh",,"10,000.00৳",Residential Apartment
2600,4,4,,2nd,,"DOHS Baridhara, Dhaka, Bangladesh",1,"90,000.00৳",Residential Apartment
800,,2,,4th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"16,000.00৳",Residential Apartment
1400,2,3,1,6th,,"Aftabnagar, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
1400,2,3,1,6th,,"Aftabnagar, Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
1300,2,3,1,5th,,"Aftabnagar, Dhaka, Bangladesh",1,"16,000.00৳",Residential Apartment
1350,2,3,1,2nd,,"DOHS Baridhara, Dhaka, Bangladesh",1,"37,000.00৳",Residential Apartment
1000,1,3,1,6th,,"Aftabnagar, Dhaka, Bangladesh",1,"15,000.00৳",Residential Apartment
1600,2,3,1,2nd,,"Aftabnagar, Dhaka, Bangladesh",1,"24,000.00৳",Residential Apartment
1400,2,3,1,7th,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1100,2,3,1,2nd,,"Aftabnagar, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
800,1,2,1,3rd,,"Aftabnagar, Dhaka, Bangladesh",1,"14,000.00৳",Residential Apartment
2200,2,3,1,2nd,,"Aftabnagar, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1256,2,3,1,4th,,"Adabor, Dhaka, Bangladesh",1,"15,000.00৳",Residential Apartment
1005,1,2,1,4th,,"Aftabnagar, Dhaka, Bangladesh",1,"15,000.00৳",Residential Apartment
2200,1,3,1,2nd,,"Kafrul, Dhaka, Bangladesh",1,"14,000.00৳",Residential Apartment
2700,4,4,,2nd,,"DOHS Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Residential Apartment
1500,2,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
200,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1500,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1350,2,3,1,2nd,,"Banani, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
2284,3,3,1,8th,,"Uttara West, Dhaka, Bangladesh",1,"42,000.00৳",Residential Apartment
1650,3,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
1600,3,3,,2nd,,"Uttara West, Dhaka, Bangladesh",1,"36,000.00৳",Residential Apartment
1100,1,3,1,6th,,"Uttara West, Dhaka, Bangladesh",,"30,000.00৳",Residential Apartment
1280,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1566,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1400,2,3,1,7th,,"Bashundhara RA, Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
1000,1,2,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"24,000.00৳",Residential Apartment
2030,2,4,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"42,000.00৳",Residential Apartment
1300,2,3,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1600,2,3,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
2600,4,4,,5th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Residential Apartment
2300,1,3,1,3rd,,"DOHS Banani, Dhaka, Bangladesh",1,"75,000.00৳",Residential Apartment
3150,4,4,1,9th,,"Bashundhara RA, Dhaka, Bangladesh",1,"1,50,000.00৳",Residential Apartment
2200,3,3,1,2nd,,"DOHS Baridhara, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
500,1,2,1,Ground,,"DOHS Banani, Dhaka, Bangladesh",,"35,000.00৳",Residential Apartment
850,1,2,1,3rd,,"Pallabi , Dhaka, Bangladesh",,"11,000.00৳",Residential Apartment
2200,3,3,,5th,,"Gulshan 2, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
1650,2,3,1,6th,,"DOHS Banani, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
2900,2,3,1,6th,,"Gulshan 2, Dhaka, Bangladesh",,"2,50,000.00৳",Residential Apartment
1800,3,2,,2nd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"65,000.00৳",Residential Apartment
3000,3,4,3,3rd,,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Residential Apartment
1300,1,2,1,5th,,"DOHS Banani, Dhaka, Bangladesh",1,Negotiable,Residential Apartment
1200,2,3,1,5th,,"Niketan, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
2350,3,3,,5th,,"DOHS Banani, Dhaka, Bangladesh",1,"1,50,000.00৳",Residential Apartment
2600,4,4,,1st,,"DOHS Banani, Dhaka, Bangladesh",1,"1,10,000.00৳",Residential Apartment
1800,2,2,,Ground,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
1200,1,2,1,6th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
2800,2,3,1,4th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"90,000.00৳",Residential Apartment
2200,3,4,1,2nd,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"1,00,000.00৳",Residential Apartment
2300,3,4,,5th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"6,000.00৳",Residential Apartment
2650,4,5,1,3rd,,"DOHS Banani, Dhaka, Bangladesh",1,"80,000.00৳",Residential Apartment
3000,2,3,1,5th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"90,000.00৳",Residential Apartment
1680,1,2,1,4th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
1200,1,2,,5th,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1600,2,3,1,9th,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1765,2,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"36,000.00৳",Residential Apartment
2400,2,3,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
1650,2,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1770,3,3,1,8th,,"Uttara West, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
1650,1,3,2,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1472,3,3,,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1650,2,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1850,3,3,1,7th,,"Bashundhara RA, Dhaka, Bangladesh",1,"36,000.00৳",Residential Apartment
1500,1,3,1,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1400,2,3,2,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"65,000.00৳",Residential Apartment
1860,3,3,,7th,,"Bashundhara RA, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1810,3,3,,8th,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Residential Apartment
2150,2,3,1,9th,,"Bashundhara RA, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
1881,2,3,1,7th,,"Bashundhara RA, Dhaka, Bangladesh",,"40,000.00৳",Residential Apartment
2008,2,5,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
2100,3,3,1,8th,,"Bashundhara RA, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
2000,3,3,,3rd,,"Banani, Dhaka, Bangladesh",1,"53,000.00৳",Residential Apartment
2100,3,3,1,8th,,"Bashundhara RA, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
2050,3,3,,2nd,,"Bashundhara RA, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1500,2,3,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
2200,1,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
2150,3,3,,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
1850,2,4,1,7th,,"Bashundhara RA, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
2000,3,4,,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
2300,3,4,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
2400,1,3,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
1420,2,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1850,3,3,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1450,2,3,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1450,3,3,3,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
1300,2,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
1850,2,3,1,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
2590,3,5,1,8th,,"Bashundhara RA, Dhaka, Bangladesh",2,"4,50,000.00৳",Residential Apartment
2100,3,4,1,6th,,"Bashundhara RA, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
1275,2,3,1,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1750,2,5,2,3rd,,"Bashundhara RA, Dhaka, Bangladesh",1,"1,750.00৳",Residential Apartment
2200,2,4,1,4th,,"Bashundhara RA, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
1275,3,3,3,5th,,"Bashundhara RA, Dhaka, Bangladesh",1,"32,200.00৳",Residential Apartment
1500,3,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"18,000.00৳",Residential Apartment
1600,2,3,1,1st,,"Bashundhara RA, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
2000,3,3,,1st,,"Kalabagan, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
1355,2,3,2,4th,,"Shyamoli, Dhaka, Bangladesh",1,Negotiable,Residential Apartment
1250,2,3,,3rd,,"Dhanmondi, Dhaka, Bangladesh",1,"55,000.00৳",Residential Apartment
1400,2,3,1,1st,,"Kalabagan, Dhaka, Bangladesh",,"30,000.00৳",Residential Apartment
1400,2,3,1,4th,,"Mohammadpur , Dhaka, Bangladesh",1,"47,000.00৳",Residential Apartment
700,1,2,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",,"19,000.00৳",Residential Apartment
900,1,2,1,2nd,,"Aftabnagar, Dhaka, Bangladesh",,"20,000.00৳",Residential Apartment
1500,1,2,1,1st,,"Dhanmondi, Dhaka, Bangladesh",,"32,000.00৳",Residential Apartment
1150,2,3,1,5th,,"Wari, Dhaka, Bangladesh",,"23,000.00৳",Residential Apartment
2480,4,4,,5th,,"Uttara East, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
1150,2,3,1,6th,,"Aftabnagar, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
3350,2,3,1,1st,,"Banani, Dhaka, Bangladesh",1,"1,50,000.00৳",Residential Apartment
1550,1,3,1,1st,,"Banani, Dhaka, Bangladesh",1,"40,000.00৳",Residential Apartment
2450,1,2,1,2nd,,"Banani, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
2430,3,3,1,3rd,,"Banani, Dhaka, Bangladesh",1,"1,00,000.00৳",Residential Apartment
2600,3,3,1,9th,,"Banani, Dhaka, Bangladesh",1,"2,00,000.00৳",Residential Apartment
1150,1,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1880,2,3,1,5th,,"Banani, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
2200,1,3,1,7th,,"Bashundhara RA, Dhaka, Bangladesh",1,"70,000.00৳",Residential Apartment
800,1,2,,1st,,"Malibagh, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
1400,1,3,1,1st,,"Jatrabari, Dhaka, Bangladesh",,"11,000.00৳",Residential Apartment
1800,3,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
2500,2,3,1,5th,,"Uttara West, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
1500,3,3,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1100,2,2,,5th,,"Adabor, Dhaka, Bangladesh",,"16,000.00৳",Residential Apartment
1100,1,2,1,4th,,"Adabor, Dhaka, Bangladesh",,"18,000.00৳",Residential Apartment
2090,2,3,1,6th,,"Uttara West, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
1110,1,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",,"21,000.00৳",Residential Apartment
1150,1,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"23,000.00৳",Residential Apartment
1500,3,3,,4th,,"Uttara West, Dhaka, Bangladesh",,"25,000.00৳",Residential Apartment
1220,1,3,1,3rd,,"Niketan, Dhaka, Bangladesh",1,"32,000.00৳",Residential Apartment
1500,3,2,1,6th,,"Mohammadpur , Dhaka, Bangladesh",1,Negotiable,Residential Apartment
1300,2,3,1,4th,,"Basabo, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1500,2,3,1,2nd,,"Uttara West, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
400,1,2,1,2nd,,"Jatrabari, Dhaka, Bangladesh",,"12,500.00৳",Residential Apartment
1300,1,1,,3rd,,"Basabo, Dhaka, Bangladesh",,"24,000.00৳",Residential Apartment
1500,1,3,1,7th,,"Uttara West, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
2000,1,2,1,9th,,"Uttara West, Dhaka, Bangladesh",1,"80,000.00৳",Residential Apartment
850,1,2,1,5th,,"Adabor, Dhaka, Bangladesh",,"14,000.00৳",Residential Apartment
4000,4,4,1,8th,,"Bashundhara RA, Dhaka, Bangladesh",2,"1,10,000.00৳",Residential Apartment
1440,3,3,,4th,,"Mohammadpur , Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
2400,4,4,1,9th,,"Uttara West, Dhaka, Bangladesh",1,"55,000.00৳",Residential Apartment
1375,2,3,1,4th,,"Uttara West, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
2200,3,3,,3rd,,"Uttara West, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
2750,5,5,1,3rd,,"Uttara West, Dhaka, Bangladesh",1,"80,000.00৳",Residential Apartment
1800,2,3,,9th,,"Mohammadpur , Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1800,2,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"21,000.00৳",Residential Apartment
1250,1,2,2,4th,,"Malibagh, Dhaka, Bangladesh",,"24,000.00৳",Residential Apartment
1400,2,3,1,5th,,"Mohammadpur , Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
700,,1,,2nd,,"Mohammadpur , Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1500,3,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
1300,2,3,1,10th,,"Adabor, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
860,1,2,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",,"13,000.00৳",Residential Apartment
3500,3,4,1,13th,,"Gulshan 2, Dhaka, Bangladesh",1,"2,50,000.00৳",Residential Apartment
800,1,2,1,3rd,,"Adabor, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1350,2,3,1,7th,,"Adabor, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1250,2,3,1,4th,,"Adabor, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
800,1,2,1,5th,,"Adabor, Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1450,2,3,1,3rd,,"Gulshan 1, Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1800,2,3,1,6th,,"Gulshan 1, Dhaka, Bangladesh",1,"1,15,000.00৳",Residential Apartment
1350,1,3,1,4th,,"Shyamoli, Dhaka, Bangladesh",,"20,000.00৳",Residential Apartment
1800,3,3,,3rd,,"Gulshan 1, Dhaka, Bangladesh",1,"60,000.00৳",Residential Apartment
2500,2,2,,7th,,"Khilgaon, Dhaka, Bangladesh",,"18,000.00৳",Residential Apartment
2200,2,4,1,5th,,"Shyamoli, Dhaka, Bangladesh",1,"45,000.00৳",Residential Apartment
2250,4,4,1,8th,,"Uttara West, Dhaka, Bangladesh",1,"80,000.00৳",Residential Apartment
1600,3,3,1,6th,,"Shyamoli, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1600,3,3,1,6th,,"Shyamoli, Dhaka, Bangladesh",1,"25,000.00৳",Residential Apartment
1350,2,3,1,13th,,"Shyamoli, Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1390,1,3,2,7th,,"Adabor, Dhaka, Bangladesh",,"23,000.00৳",Residential Apartment
3000,3,4,1,2nd,,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Residential Apartment
1470,2,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1400,2,3,1,4th,,"Mohammadpur , Dhaka, Bangladesh",1,"47,000.00৳",Residential Apartment
1750,2,3,1,3rd,,"Mohammadpur , Dhaka, Bangladesh",1,"30,000.00৳",Residential Apartment
1905,2,3,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",1,"35,000.00৳",Residential Apartment
1220,1,2,1,7th,,"Mohammadpur , Dhaka, Bangladesh",1,"1,220.00৳",Residential Apartment
2900,,3,,1st,,"Baridhara, Dhaka, Bangladesh",1,"80,000.00৳",Residential Apartment
3200,4,4,,5th,,"Gulshan 1, Dhaka, Bangladesh",1,"2,00,000.00৳",Residential Apartment
3200,4,4,1,1st,,"Gulshan 1, Dhaka, Bangladesh",2,"1,20,000.00৳",Residential Apartment
2500,4,4,,2nd,,"Gulshan 1, Dhaka, Bangladesh",1,"1,25,000.00৳",Residential Apartment
1150,1,3,1,9th,,"Khilgaon, Dhaka, Bangladesh",,"25,000.00৳",Residential Apartment
3500,3,3,1,Ground,,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Residential Apartment
4000,2,3,1,7th,,"Baridhara, Dhaka, Bangladesh",2,"3,20,000.00৳",Residential Apartment
3100,3,4,1,5th,,"Gulshan 2, Dhaka, Bangladesh",1,"3,00,000.00৳",Residential Apartment
1800,2,3,,Ground,,"Khilgaon, Dhaka, Bangladesh",1,"16,000.00৳",Residential Apartment
1900,2,3,1,3rd,,"Baridhara, Dhaka, Bangladesh",1,"90,000.00৳",Residential Apartment
2000,1,2,1,6th,,"Malibagh, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1205,2,3,1,4th,,"Khilgaon, Dhaka, Bangladesh",1,"26,000.00৳",Residential Apartment
4000,4,4,1,1st,,"Baridhara, Dhaka, Bangladesh",1,"1,60,000.00৳",Residential Apartment
3700,3,4,3,2nd,,"Baridhara, Dhaka, Bangladesh",2,"2,50,000.00৳",Residential Apartment
3300,3,4,1,2nd,,"Baridhara, Dhaka, Bangladesh",1,Negotiable,Residential Apartment
1800,2,3,1,2nd,,"Banani, Dhaka, Bangladesh",1,"80,000.00৳",Residential Apartment
2400,2,3,1,3rd,,"Dhanmondi, Dhaka, Bangladesh",1,"80,000.00৳",Residential Apartment
3500,3,4,1,10th,,"Gulshan 2, Dhaka, Bangladesh",1,"1,60,000.00৳",Residential Apartment
3700,4,4,1,1st,,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Residential Apartment
2000,2,2,,2nd,,"Baridhara, Dhaka, Bangladesh",1,"70,000.00৳",Residential Apartment
2200,2,3,1,2nd,,"Gulshan 1, Dhaka, Bangladesh",1,"65,000.00৳",Residential Apartment
2500,2,3,2,7th,,"Khilgaon, Dhaka, Bangladesh",1,"22,000.00৳",Residential Apartment
5500,5,5,1,6th,,"Gulshan 2, Dhaka, Bangladesh",4,"4,00,000.00৳",Residential Apartment
2280,3,3,1,1st,,"Gulshan 1, Dhaka, Bangladesh",1,"65,000.00৳",Residential Apartment
2200,3,3,1,3rd,,"Banani, Dhaka, Bangladesh",,"68,000.00৳",Residential Apartment
2630,4,4,,4th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Residential Apartment
2800,4,4,1,4th,,"Banani, Dhaka, Bangladesh",,"1,00,000.00৳",Residential Apartment
900,1,2,1,6th,,"Mohammadpur , Dhaka, Bangladesh",,"16,000.00৳",Residential Apartment
1300,2,3,2,2nd,,"DOHS Baridhara, Dhaka, Bangladesh",,"45,000.00৳",Residential Apartment
1720,2,4,1,10th,,"Bashundhara RA, Dhaka, Bangladesh",,"27,000.00৳",Residential Apartment
2800,3,3,1,4th,,"Banani, Dhaka, Bangladesh",,"10,10,000.00৳",Residential Apartment
2200,4,4,1,4th,,"DOHS Banani, Dhaka, Bangladesh",1,"75,000.00৳",Residential Apartment
500,1,2,,8th,,"DOHS Banani, Dhaka, Bangladesh",1,"20,000.00৳",Residential Apartment
1100,2,2,,6th,,"Gulshan 1, Dhaka, Bangladesh",1,"55,000.00৳",Residential Apartment
2500,3,4,1,6th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"70,000.00৳",Residential Apartment
2360,2,3,1,5th,,"DOHS Baridhara, Dhaka, Bangladesh",1,"70,000.00৳",Residential Apartment
1600,3,3,1,4th,,"DOHS Banani, Dhaka, Bangladesh",1,"1,20,000.00৳",Residential Apartment
2300,3,3,,Ground,,"DOHS Banani, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
2200,2,3,1,4th,,"DOHS Banani, Dhaka, Bangladesh",1,"2,50,000.00৳",Residential Apartment
2700,4,4,,4th,,"DOHS Baridhara, Dhaka, Bangladesh",1,Negotiable,Residential Apartment
1800,3,3,,7th,,"DOHS Banani, Dhaka, Bangladesh",1,"50,000.00৳",Residential Apartment
1300,2,3,,4th,,"DOHS Banani, Dhaka, Bangladesh",1,Negotiable,Residential Apartment
2200,3,3,2,5th,,"DOHS Banani, Dhaka, Bangladesh",2,"1,20,000.00৳",Residential Apartment
1250,2,3,1,7th,,"Mohammadpur , Dhaka, Bangladesh",,"15,000.00৳",Residential Apartment
1200,1,2,1,6th,,"Badda, Dhaka, Bangladesh",,"17,000.00৳",Residential Apartment
1400,2,2,,6th,,"Badda, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1900,2,3,1,4th,,"Badda, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
1800,2,3,,2nd,,"Badda, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1400,3,3,,2nd,,"Banani, Dhaka, Bangladesh",,"45,000.00৳",Residential Apartment
2000,3,3,,8th,,"Badda, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1800,2,3,1,6th,,"Badda, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
1800,2,3,1,3rd,,"Badda, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
1800,3,3,,3rd,,"Badda, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1005,2,3,,5th,,"Dhanmondi, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1075,2,3,,4th,,"Badda, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1800,1,3,1,5th,,"Dhanmondi, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1700,2,3,,3rd,,"Dhanmondi, Dhaka, Bangladesh",,"22,000.00৳",Residential Apartment
1400,2,2,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1085,2,3,,4th,,"Badda, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1200,1,2,1,2nd,,"Badda, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1585,3,3,1,4th,,"Uttara East, Dhaka, Bangladesh",1,"28,000.00৳",Residential Apartment
2200,3,3,1,2nd,,"Banani, Dhaka, Bangladesh",,"75,000.00৳",Residential Apartment
1100,1,3,1,4th,,"Mirpur, Dhaka, Bangladesh",,"16,500.00৳",Residential Apartment
2210,3,3,1,2nd,,"Banani, Dhaka, Bangladesh",,"90,000.00৳",Residential Apartment
1000,3,3,,4th,,"Dhanmondi, Dhaka, Bangladesh",,"25,000.00৳",Residential Apartment
2642,3,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1900,3,3,,6th,,"Dhanmondi, Dhaka, Bangladesh",,"48,000.00৳",Residential Apartment
3000,3,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",,Negotiable,Residential Apartment
2012,3,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",,Negotiable,Residential Apartment
1200,1,2,1,2nd,,"Mohammadpur , Dhaka, Bangladesh",,"20,000.00৳",Residential Apartment
2300,3,3,1,2nd,,"Dhanmondi, Dhaka, Bangladesh",,"55,000.00৳",Residential Apartment
1200,3,3,,4th,,"Dhanmondi, Dhaka, Bangladesh",,"35,000.00৳",Residential Apartment
