area,floor,location,parking,price_per_month,price_per_sft,property_type,total_floor,,
1505,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
2915,2nd,"Banani, Dhaka, Bangladesh",2,,"13,800.00৳",Commercial Space,6,,
1465,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"9,300.00৳",Commercial Space,14,,
2100,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
2905,1st,"Bashundhara RA, Dhaka, Bangladesh",R/Imam Lake Orchard ,,"12,800.00৳",Commercial Space,14,,
N/A,Ground,"Banani, Dhaka, Bangladesh",Ready,,Negotiable,Commercial Space,7200,,
1700,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
1235,3rd,"Bashundhara RA, Dhaka, Bangladesh",R/Suraiya Tower ,,"13,800.00৳",Commercial Space,10,,
2085,1st,"Bashundhara RA, Dhaka, Bangladesh",R/Imam Lake Orchard,,"12,800.00৳",Commercial Space,14,,
1500,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,Negotiable,Commercial Space,14,,
1490,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"9,300.00৳",Commercial Space,14,,
2870,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
1560,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,Negotiable,Commercial Space,14,,
1460,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"9,300.00৳",Commercial Space,14,,
1875,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
3455,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
1505,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"9,300.00৳",Commercial Space,14,,
1910,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
1460,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"9,300.00৳",Commercial Space,14,,
1465,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"9,300.00৳",Commercial Space,14,,
1505,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"9,300.00৳",Commercial Space,14,,
4990,4th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
1740,1st,"Bashundhara RA, Dhaka, Bangladesh",R/ Lake Castle,,"14,800.00৳",Commercial Space,14,,
5670,4th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
2175,7th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
5515,4th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
4210,10th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
4760,4th,"Bashundhara RA, Dhaka, Bangladesh",R/ Platinum Square,,"1,700.00৳",Commercial Space,14,,
9100,7th,"Mirpur, Dhaka, Bangladesh",Anushka Bhabon,,"1,30,00,000.00৳",Commercial Space,7,,
