Amenities,Bathroom,Bed,Description,Location,PricePerMonth,PropertyType,Size,Status,url
"4 months ago,Bangladesh,Land Share,Drawing,Dining,Veranda,Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1400 Sqft land share in Mirpur DOHS  will be sold.,Details of the flat: 3 Beds, 3 Baths,  Balconies, Drawing, Dining, Kitchen.,Building Details: Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",DOHS  60 Feet,1500000,Apartment,1400 Sqft,Out of Stock,https://www.bdstall.com/details/mirpur-dohs-1400-sqft-apartment-land-share-83431/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,4 Veranda,Kitchen,Yes,Yes,Yes",4 Bathroom,4 Bed,"Shares of 1750 Sqft land share in Keraniganj Maxwell western city will be sold.,Plot: 6 Katha (South facing).","Maxwell western city, Keraniganj.",745000,Apartment,1750 Sqft,Out of Stock,https://www.bdstall.com/details/maxwell-western-city-1750-sqft-apartment-land-share-83529/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,Veranda,Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1300 Sqft land share in Uttara Baunia Bazar will be sold.,10 storey building ( Basement and G + 9),Details of the flat: 3 Beds, 3 Baths, Balconies, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",Baunia Bazar,1200000,Apartment,1300 Sqft,Out of Stock,https://www.bdstall.com/details/uttara-1300-sqft-apartment-land-share-83432/
"4 months ago,Bangladesh,Used Apartment,Drawing,Dining,Veranda,Kitchen,Yes,Yes",2 Bathroom,2 Bed,"A 950 Sqft Used Apartment will be sold of the heart Dhaka city in South Banasree Meradia  behind 10th floor market .,Including Government Titas gas line.,Plot: 3 Katha ( Corner plot  ),2 units on each floor,7 storey building ( G + 6 ),Details of the flat: 2 Beds, 2 Baths,  Balconies, Drawing, Dining, Kitchen.,Building Details: Elevators, Stairs, Generator, Intercom , Reception Room .","Banasree 10 Floor Market, Block- L.",3800000,Apartment,920 Sqft,Out of Stock,https://www.bdstall.com/details/south-banasree-meradia-920-sqft-used-apartment-sale-83545/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,3 Veranda,Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1300  Sqft land share in Rampura Jamtola Boubazar  will be sold. There is 1 car parking with a share price.,Plot: 23 Katha,10 storey building (  G + 9),Details of the flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, CC TV Camera, Intercom, Convention Hall, Reception Room and Car Parking.",Jamtola Boubazar.,2500000,Apartment,1300 Sqft,Out of Stock,https://www.bdstall.com/details/rampura-jamtola-1300-sqft-apartment-land-share-83543/
"4 months ago,Bangladesh,Used Apartment,Drawing,Dining,2 Veranda,Kitchen,Yes,Yes",2 Bathroom,2 Bed,"A used flat of 1110 Sqft will be sold in the elite area of ​​Naya Paltan near the important areas of the capital Dhaka, Motijheel, Gulistan, Segunbagicha, Kakrail and Bangladesh Secretariat. There is 1 car parking with apartment .,Plot: 12 Katha ( South west facing corner ),4 units on each floor,15 storey building,Details of the flat: 2 Beds,2 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Government titas gas, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.",Naya paltan beside dhaka bank.,9000000,Apartment,1110 Sqft,Out of Stock,https://www.bdstall.com/details/purana-paltan-1110-sqft-used-apartment-sale-83386/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,Veranda,Kitchen,Yes,Yes,Yes",2 Bathroom,3 Bed,Shares of 1050 Sqft land share in Khilgaon  Nandipara with Central Jame  Masjid will be sold.,Near Nandipara Central Jame Masjid,1300000,Apartment,1050 Sqft,Out of Stock,https://www.bdstall.com/details/khilgaon-nandipara-1050-sqft-apartment-land-share-83544/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,3 Veranda,Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1400 Sqft  land share in  Banasree Near Police Park will be sold. There is 1 car parking with a share price.,Plot: 4.29 Katha,2 units on each floor,10 storey building ( Basement and G + 9),Details of the flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, Intercom, Convention Hall, Reception Room and Car Parking.",Block-C.,2000000,Apartment,1400 Sqft,Out of Stock,https://www.bdstall.com/details/banasree-near-police-park-1400-sqft-land-share-83652/
"5 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,3 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,Ready flats of 1300 Sqft will be sold at Mohammadpur Laboni Point.,Laboni Point.,5700000,Apartment,1300 Sqft,Out of Stock,https://www.bdstall.com/details/1300-sqft-apartment-sale-at-mohammadpur-74690/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,4 Veranda,Kitchen,Yes,Yes,Yes",5 Bathroom,5 Bed,"Shares of 2500 Sqft land share in Aftabnagar E block will be sold. There is 1 car parking with a share price.,Plot: 5 Katha,one units on each floor,10 storey building (  G + 9),Details of the flat: 5 Beds, 5 Baths, 4 Balconies, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, Intercom, Prayer Room and Car Parking.",Block - E,7500000,Apartment,2500 Sqft,Out of Stock,https://www.bdstall.com/details/aftabnagar-e-block-2500-sqft-apartment-land-share-83657/
"4 months ago,Bangladesh,Land Share,Drawing,Dining,3 Veranda,Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1800 Sqft land share in Rampura Banasree M block will be sold. There is 1 car parking with a share price.,Plot: 32 Katha ( South facing),11 units on each floor,10 storey building ( Basement and G + 9),Details of the flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, Intercom, Prayer Room, Community Hall, Reception Room, Kids Play Zone, Rooftop Garden, Child Care Center, Badminton Court, CC Camera, Fire Safety System and Car Parking.,The share price of the land has to be paid at one time, 26 lakh Taka. Land shares will be registered in your name. The rest of the money will have to be paid according to the progress of the estimated 34 lakh works. The work will be completed in 3 years.","Block-M, Road -12.",2600000,Apartment,1800 Sqft,Out of Stock,https://www.bdstall.com/details/banasree-m-block-1800-sqft-apartment-land-share-83649/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,2 veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1250 square feet of land in East Rampura Nabinbagh will be sold.,Plot: 15 Katha,7 units on each floor,A total of 63 flats will be constructed in G + 9 storey building.,Details of the flat: 3 beds, 3 baths, 2 balconies, drawing, dining, kitchen.,Building Details: Elevator, Siri, Generator, CCTV Camera, Solar System, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.,Flat distribution will be done through lottery. In that case, the top floor and the second floor will be reduced on the basis of negotiation.","Nabinbagh , Near Banasree",2000000,Apartment,1250 Sqft,Out of Stock,https://www.bdstall.com/details/east-rampura-nabinbagh-land-share-1250-sqft-apartment-71889/
"11 months ago,Bangladesh,Used Apartment,1 Drawing,1 Dinning,2 Veranda,1 Kitchen,Yes,Yes,Yes",2 Bathroom,2 Bed,"A 960 Sqft southwest-facing ready flat for sale at Banasree near Hatirjheel.,** Titas Gas Connection**,2 units on each floor,Details of flat: 2 Beds, 2 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building Details: Lift, Stairs, Generator, Intercom and Car parking.",South Banasree L Block,4200000,Apartment,960 Sqft,Out of Stock,https://www.bdstall.com/details/near-hatirjheel-banasree-ready-apartment-will-be-sale-73003/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,1 Veranda,1 Kitchen,Yes,Yes,Yes",,3 Bed,"Shares of 1050 square feet of land will be sold along with Central Nandipara Central Jame Mosque adjacent to South Banasree.,Plot: 8 Katha (south-facing plot),4 units on each floor,G + 9 storey building,Details of flat: 3 bedrooms, 3/2 bathrooms, veranda, drawing, dining, kitchen.,Building Details: Elevator, Stairs, Generator, CCTV Camera, Reception Room and Car Parking, Community Hall, Driver Restroom, Security Guard Restroom.,The value of the land share will have to be paid at a time of 10 lakh taka. The land share will be registered in your name. The rest of the money is to be paid according to the progress of approximately 18 lakh works. The work will be completed in 3 years. No more costs. As a landowner, you do not have to pay any separate flat registration fee. Flat & car parking distribution through lottery. In that case, the top floor and the second floor will be reduced on the basis of negotiations.","South Banasree, Nandipara.",1000000,Apartment,1050 Sqft,Out of Stock,https://www.bdstall.com/details/south-banasree-1050-sqft-apartment-land-share-71861/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,1 Veranda,Yes,Yes,Yes",3 Bathroom,3 Bed,"A ready flat of 1200 Sqft will be sold on Chittagong Bakelia Syed Shah road.,Details of flat: 3 Beds, 3 Baths, Veranda, Drawing, Dining, Kitchen.,Building Details: Elevators, Stairs, Generator, Intercom, Convention hall, Interior design, Reception room and Car parking.",Bakelia sayed shah road,5200000,Apartment,1200 Sqft,Out of Stock,https://www.bdstall.com/details/chittagong-bakelia-1200-sqft-ready-apartment-74320/
"11 months ago,Bangladesh,Used Apartment,1 Drawing,1 Dining,3 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"An used 1150 Sqft flat on the 2nd floor will be sold at Near South Banasree Central Jame Mosque and Unity Aid Hospital.,South facing flat (20 feet north-facing building),Extensive drawing and dining,Details of the flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: Elevator, Stairs, Generator, Intercom, Modern Safety, Firefighting system, Aesthetic architectural style and Car parking.",South Banasree,5500000,Apartment,1150 Sqft,Out of Stock,https://www.bdstall.com/details/south-banasree-1150-sqft-used-apartment-sale-73304/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,1 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Chittagong Firingibazar Kotwali 1200 Sqft luxury ready flat sale,,With 100 Sqft car parking.,Details of flat: 3 Beds, 3 Baths, Veranda, Drawing, Dining, Kitchen.,Building Details:  Elevators, Stairs, Generator, Intercom, Convention Hall, Reception Room and Car Parking.",Firingibazar kotwali,6000000,Apartment,1200 Sqft,Out of Stock,https://www.bdstall.com/details/chittagong-firingibazar-1200-sqft-ready-flat-74325/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,3 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"The new flat of 1250 Sqft will be sold on the 7th floor at Sepahibag, 15 minutes away from Motijheel, the main commercial area of ​​the capital Dhaka.,South facing flat with 20 feet road,Details of the apartment: 3 beds, 3 baths, 3 balconies, drawing, dining, kitchen.,Building Details: Elevator, Stairs, Generator, Intercom, Modern Security Firefighting System, Aesthetic Architectural Style, Modern Facilities and Car Parking.",Sepahibagh With Tempo Stand,6600000,Apartment,1250 Sqft,Out of Stock,https://www.bdstall.com/details/sepahibagh-1250-sqft-ready-apartment-sale-73047/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,1 veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1200 square feet of land will be sold along North Nandipara Rasulbagh Main Road, South Banasree.,Plot: 17 Katha,8 units on each floor,G + 9 storey building,Details of flat: 3 beds, 3 baths, veranda, drawing, dining, kitchen.,Building details Elevator, Stairs, generator, CCTV camera, intercom, prayer room, convention hall, reception room, driver's lounge, security guard lounge and car parking.,The share price of the land has to be paid at one time12 lakh taka. Land shares will be registered in your name. The rest of the money will have to be paid according to the progress of the estimated 20 lakh works. Work will be completed in 3 years. Flat distribution will be through lottery. In that case, the top floor and the second floor will be reduced based on the discussion of the recipients.", Nandipara,1200000,Apartment,1200 Sqft,Out of Stock,https://www.bdstall.com/details/south-banasree-nandipara-land-share-1200-sqft-apartment-71954/
"11 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,2 Veranda,1 Kitchen,Yes,Yes,Yes",4 Bathroom,3 Bed,"Ready flats of 1050 sqft will be sold in the North Nandipara residential area next to the Trimohoni bus stand on Rampura-Staff Quarters Highway.,On the 6th floor, 1 ready-made flat with adequate light and air facing north-west will be for sale.,Details of flat: 3 Beds, 4 Baths, 2 Balconies, Drawing, Dining, Kitchen.,Building details: 2 Elevators, Stairs, Generator, CCTV, Intercom, Convention Hall, Reception room, Aesthetic architectural style, Modern safety & Fire fighting system and Car Parking.",Nandipara  khilgaon.,4800000,Apartment,1050 Sqft,Out of Stock,https://www.bdstall.com/details/khilgaon-nandipara-1050-sqft-ready-apartment-74252/
"10 months ago,Bangladesh,New Apartment,1,1,3,1,First Come First  Serve Basis,Yes,Yes",,,"An 8 storied luxurious construction running residential buildings 1st floor 1365 square feet apartment at Tollabagh, Sukrabad, Dhanmondi, Dhaka is available for sale. The flat is designed with 3 bedrooms, 3 bathrooms, 3 verandas, 1 living room, 1 dining room, and a kitchen. A high-quality foreign-made lift and generator would be available there. The main specialties of this apartment are it is nearby Sukrabad bus stop and Mirpur road. Installment facilities are also added for buyers to purchase the flat. A bilateral deed of agreement will be signed as the legal issues between the two parties.","Tollabagh, Sukrabad, Dhanmondi, Dhaka -1207",9700000,Apartment,1365 Sqft,Out of Stock,https://www.bdstall.com/details/serinity-1365-sqft-residential-flat-at-dhanmondi-dhaka-61529/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,3 Veranda,1 kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1200 sqft Land will be sold in an H block in the Aftabnagar residential area.,Plot: 9.08 Katha (Corner Plot),4 units on each floor,Building G + 9,Details of the flat: 3 beds, 3 baths, 3 balconies, drawing, dining, kitchen.,Building Details: 2 Lifts, Stairs, Generator, Intercom, CCTV Camera and Car Parking.,Flat and car parking will be distributed through a lottery.","Aftabnagar, H Block",2250000,Apartment,1200 Sqft,Out of Stock,https://www.bdstall.com/details/aftabnagar-land-share-1200-sqft-apartment-71943/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,3/2 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1350 Sqft will be sold at Madhubagh Magbazar along with Hatirjheel. Car parking is included with the share price.,Plot: 15 Katha,7 units on each floor,G + 9 storey building,Details of flat: 3 Beds, 3 Baths, 3/2 Veranda, Drawing, Dining, Kitchen.,Building Details: Elevator, Stairs, CCTV Camera, Generator, Intercom, Prayer Room, Convention Hall, Reception Room, Driver Waiting Room and Car Parking.","Hatirjheel, Modhubag",2500000,Apartment,1350 Sqft,Out of Stock,https://www.bdstall.com/details/hatirjheel-modhubag-1350-sqft-apartment-land-share-71869/
"11 months ago,Bangladesh,Used Apartment,1 Drawing,1 Dining,2 veranda,1 Kitchen,Yes,Yes",2 Bathroom,3 Bed,"A used flat with a wide road on the 6th floor of a 11-storey building will be sold. The flat is located within 150 meters from the main road of Dholaipar bus stand.,North and east-facing flats,Details of flat: 3 beds, 2 baths, 2 balconies, drawing, dining, kitchen.,Building Details: 2 lifts, stairs, generator, intercom, modern security, fire fighting system, reception room, aesthetic architectural style and modern facilities.",Dholaipar bus stand,6600000,Apartment,1200  Sqft,Out of Stock,https://www.bdstall.com/details/ready-1200-sqft-flat-at-dholaipar-dhaka-73291/
"10 months ago,Bangladesh,New Apartment,1,1,3,1,1,1,1",,,"Sukrabad, Dhanmondi Dhaka is an 8-story luxury residential building under construction with 1420 sq ft apartment per floor. The flats in this residential building are designed with 3 bedrooms, 3 bathrooms, 3 balconies, 1 living room, 1 dining room, and a kitchen. There you will find high-quality foreign-made elevators and generators. This residential building has a total of 21 flats and is close to hospitals, educational institutions.","Sukrabadh, Dhanmondi",9800000,Apartment,1420 sft,Out of Stock,https://www.bdstall.com/details/1420-sqft-ready-flat-at-dhanmondi-dhaka-71661/
"10 months ago,Bangladesh,New Apartment,1,1,2,1,No,Yes, 2 Lift,Yes",,3 Bed,"Green peace 1050 sqft fully ready flat is available for sale at Senpara Porbota, Mirpur-10, Dhaka. The total floor of this apartment is 09 and facing in the east. The building has a total of 56 flats with 2 stairs. This project is planned with two ways of entry system. There are two installment facilities is available for customers.","Senpara Porbota, Mirpur-10, Dhaka",5600000,Apartment,1050 Sqft ,Out of Stock,https://www.bdstall.com/details/green-peace-1050-sqft-ready-flat-at-mirpur-10-dhaka-61837/
"5 months ago,Bangladesh,New Apartment,1 Drawing,1  Dining,4 Veranda,1 Kitchen,Yes,Yes,Yes",3 Bathroom,4 Bed,"A 1400 Sqft flat will be sold at Suchona Model Town in Mohammadpur Basila.,2 Units on Each Floor,10 Storey of Building ( G + 9 ),Details of flat: 4 Beds, 3 Baths, 4 Balconies, Drawing, Dining, Kitchen.,Building Details: Elevator, Stairs, Generator, CCTV  security system, Fireplace, Intercom, Reception room and Car parking.","Suchona Model Town, Bosila.",7500000,Apartment,1400 Sqft,Out of Stock,https://www.bdstall.com/details/1400-sqft-apartment-sale-at-mohammadpur-74682/
"10 months ago,Bangladesh,New Apartment,1,1,2,1,No,Yes,Yes",,3 Bed,"Sign castle 1100 sqft 3 bed flat at Don chamber, Narayanganj is ready for sale. The apartment is 8 storied. The main road, the mosque is near the apartment and many more facilities are there. Customers can take advantage of installment and bank loan options.","Don Chamber Road, Narayanganj",4900000,Apartment,1100 Sqf,Out of Stock,https://www.bdstall.com/details/sign-castle-1100-sqft-flat-at-don-chamber-narayanganj-61840/
"10 months ago,Bangladesh,New Apartment,1,1,1,1,No,Yes,Yes",,2 Bed,"Sign castle 850 sqft 2 bed on going flat is for sale at Don chamber, Narayanganj. There are 08 storied in the apartment. The apartment is close to the main road, the mosque, and many other facilities available. Customers have the choice of taking out an installment loan or a bank loan.","Don Chamber Road, Narayanganj",3500000,Apartment,850 Sqft,Out of Stock,https://www.bdstall.com/details/850-sqft-on-going-flat-sale-at-don-chamber-narayanganj-61844/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,1 Veranda,1 Kithcen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1300 sqft land will be sold in the Kunjban residential area adjacent to Eastern Banasree behind the Rampura BTV building.,Plot: 4.5 Katha,2 units on each floor,Building G + 9,Details of the flat: 3 beds, 3 baths, veranda, drawing, dining, kitchen.,Building Details: Elevator, Stairs, Generator, Intercom, Prayer Room, Convention Hall, Reception Room and Car Parking.","Kunjaban Residential Area, East Rampura",2500000,Apartment,1300 Sqft,Out of Stock,https://www.bdstall.com/details/eastern-banasree-1300-sqft-apartment-land-share-71896/
"11 months ago,Bangladesh,New Apartment,1 Drwing,1 Dining,2 Veranda,1 Kitchen,Yes,Yes,Yes",2 Bathroom,3 Bed,"An 1134 Sqft ready flat will be sold on the 9th floor next to Mugda Biswaroad very close to Motijheel, the main commercial area of ​​the capital Dhaka.,Details of the flat: 3 beds, 2 baths, 2 balconies, drawing, dining, kitchen.,Building Details: 3 Elevators, Siri, Generator, Intercom, Prayer Room, Modern security fire extinguisher system, Aesthetic architectural style, Modern facilities and Car parking.","Mugda,Dhaka",6700000,Apartment,1134 Sqft,Out of Stock,https://www.bdstall.com/details/near-motijheel-mugda-1134-sqft-ready-apartment-sale-73041/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,3 Veranda,1 Kitchen,Yes,Yes,Yes",4 Bathroom,4 Bed,"An elite area of ​​ capital Dhaka in Shantinagar Shares of 1800 Sqft of land will be sold.,3 units on each floor,10 storey building (G + 9),Details of the flat: 4 Beds, 4 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: 2 Elevators, Stairs, Generator, Intercom, Sub-Station, Community Space, Roof Top Garden, Convention Hall, Reception Room and Car Parking.","Shantinagar,Dhaka",8700000,Apartment,1800 Sqft,Out of Stock,https://www.bdstall.com/details/shantinagar-1800-sqft-apartment-land-share-73313/
"5 months ago,Bangladesh,New Apartment,1 Drawing,1 Dining,3 Veranda,1 kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"A luxurious 1250 Sqft ready flat will be sold in Mohammadpur Arshi Nagar.,4 Units on Each Floor,9 Storey of Building ( G + 8 ),Details of flat: 3 Beds, 3 Baths, 3 Balconies, Drawing, Dining, Kitchen.,Building Details: Elevator, Stairs, Generator & Substation, CCTV security system, Fireplace, Meeting rooms, Electricity, Intercom, Reception room and Car parking.","Arshi Nagar,  Mohammadpur.",5200000,Apartment,1250 Sqft,Out of Stock,https://www.bdstall.com/details/mohammadpur-1250-sqft-luxury-ready-apartment-74686/
"11 months ago,Bangladesh,Land Share,1 Drawing,1 Dining,3/2 veranda,1 kitchen,Yes,Yes,Yes",3 Bathroom,3 Bed,"Shares of 1200 sqft of land will be sold at Tamirul Millat Madrasa on the north side of Matuail Government Hospital and Muslimnagar on the west side of Rafiqul Islam School and College.,Plot: 8 Katha,4 units on each floor,Building: 10 storey basement and G + 9,Details of flat: 3 beds, 3 baths, 2/3 veranda, drawing, dining, kitchen.,Building details Lift, Stairs, generator, intercom and car parking."," Matuail Medical, Dhaka",1000000,Apartment,1100 sqft,Out of Stock,https://www.bdstall.com/details/demra-matuail-1100-sqft-apartment-land-share-71959/
