amenities,area,building_type,location,num_bath_rooms,num_bed_rooms,price,purpose
View##Parking Spaces##: 1##Balcony or Terrace##Flooring##Service Elevators##View##Parking Spaces##: 1##Balcony or Terrace##Electricity Backup##Lobby in Building##Flooring##Elevators in Building##: 2##Floor Level##Intercom##ATM Facility##CCTV Security,"2,464 sqft",Apartment,"Dhanmondi, Dhaka",3 Beds,3 Beds,2.89 Crore,For Sale
Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Double Glazed Windows##Electricity Backup##Flooring##Elevators in Building##: 1##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,920 sqft",Apartment,"Block J, Bashundhara R-A, Dhaka",3 Beds,3 Beds,2 Crore,For Sale
Balcony or Terrace##View##Flooring##Floor Level##Lobby in Building##Electricity Backup##Balcony or Terrace##View##Elevators in Building##: 1##Flooring##Freehold##Floor Level##24 Hours Concierge##Waste Disposal##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,475 sqft",Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.05 Crore,For Sale
Parking Spaces##: 1##Balcony or Terrace##Flooring##Floor Level##Parking Spaces##: 1##Balcony or Terrace##Double Glazed Windows##Electricity Backup##Flooring##Elevators in Building##: 1##Floor Level##View##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,300 sqft",Apartment,"Block K, Bashundhara R-A, Dhaka",3 Beds,3 Beds,1.35 Crore,For Sale
Flooring##Floor Level##View##Balcony or Terrace##Electricity Backup##Waste Disposal##Flooring##Floor Level##Elevators in Building##: 1##Freehold##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Parking Spaces##: 1##Storage Areas##Intercom##CCTV Security##Maintenance Staff,"1,722 sqft",Apartment,"Turag, Dhaka",3 Beds,3 Beds,1.2 Crore,For Sale
Flooring##Floor Level##View##Balcony or Terrace##Flooring##Floor Level##Lobby in Building##Double Glazed Windows##View##Balcony or Terrace##Parking Spaces##: 1##24 Hours Concierge##Broadband Internet##Cleaning Services,"1,200 sqft",Apartment,"Matikata, Cantonment, Dhaka",3 Beds,3 Beds,15 Thousand,For Rent
Parking Spaces##: 1##Balcony or Terrace##Flooring##View##Parking Spaces##: 1##Balcony or Terrace##Waste Disposal##24 Hours Concierge##Electricity Backup##Flooring##Double Glazed Windows##View##Elevators in Building##: 1##Floor Level##CCTV Security##Cleaning Services,"1,385 sqft",Apartment,"Middle Paikpara, Mirpur, Dhaka",3 Beds,3 Beds,22 Thousand,For Rent
View##Balcony or Terrace##Parking Spaces##: 1##Flooring##Electricity Backup##View##Balcony or Terrace##Parking Spaces##: 1##Lobby in Building##Flooring##Floor Level##CCTV Security##Maintenance Staff##Cleaning Services,"1,400 sqft",Apartment,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,30 Thousand,For Rent
Balcony or Terrace##Floor Level##View##Flooring##Balcony or Terrace##Lobby in Building##Floor Level##View##Electricity Backup##Flooring##Parking Spaces##: 1##CCTV Security##Maintenance Staff##Cleaning Services,"1,400 sqft",Apartment,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,25 Thousand,For Rent
Balcony or Terrace##Flooring##Parking Spaces##: 1##Floor Level##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Waste Disposal##Flooring##Service Elevators##Freehold##Parking Spaces##: 1##Floor Level##View##Electricity Backup##24 Hours Concierge##Elevators in Building##: 2##Intercom##Broadband Internet##CCTV Security##Maintenance Staff##Facilities for Disabled##Cleaning Services,"1,900 sqft",Apartment,"Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",4 Beds,4 Beds,25 Thousand,For Rent
View##Floor Level##Balcony or Terrace##Flooring##View##Floor Level##Balcony or Terrace##Electricity Backup##Waste Disposal##24 Hours Concierge##Lobby in Building##Flooring##Elevators in Building##: 1##Freehold##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,450 sqft",Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,25 Thousand,For Rent
Parking Spaces##: 2##Flooring##Floor Level##Balcony or Terrace##Parking Spaces##: 2##Service Elevators##Elevators in Building##: 1##Flooring##24 Hours Concierge##Floor Level##Balcony or Terrace##Lobby in Building##View##Electricity Backup##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"3,400 sqft",Apartment,"Block K, Baridhara, Dhaka",4 Beds,4 Beds,6.8 Crore,For Sale
View##Flooring##Parking Spaces##: 1##Balcony or Terrace##View##Electricity Backup##Flooring##Parking Spaces##: 1##Lobby in Building##Balcony or Terrace##Floor Level##CCTV Security##Maintenance Staff##Cleaning Services,"1,400 sqft",Apartment,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,30 Thousand,For Rent
Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Electricity Backup##Flooring##Elevators in Building##: 1##CCTV Security##Maintenance Staff,"1,650 sqft",Apartment,"Sector 11, Uttara, Dhaka",3 Beds,3 Beds,1.85 Crore,For Sale
View##Flooring##Floor Level##Elevators in Building##: 1##View##Flooring##Elevators in Building##: 1##Service Elevators##Freehold##Floor Level##Cleaning Services,"1,164 sqft",Apartment,"Kallyanpur, Mirpur, Dhaka",3 Beds,3 Beds,96 Lakh,For Sale
Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Parking Spaces##: 1##24 Hours Concierge##Floor Level##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Waste Disposal##Flooring##Freehold##Broadband Internet##CCTV Security##Facilities for Disabled##Cleaning Services,"1,620 sqft",Apartment,"PC Culture Housing, Mohammadpur, Dhaka",4 Beds,4 Beds,95 Lakh,For Sale
Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Lobby in Building##Elevators in Building##: 1##Electricity Backup##24 Hours Concierge##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Freehold##Waste Disposal##Floor Level##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,517 sqft",Apartment,"Sector 10, Uttara, Dhaka",3 Beds,3 Beds,1.15 Crore,For Sale
Balcony or Terrace##Parking Spaces##: 1##View##Floor Level##Balcony or Terrace##Parking Spaces##: 1##View##Freehold##24 Hours Concierge##Electricity Backup##Floor Level##Double Glazed Windows##Flooring##Elevators in Building##: 1##Broadband Internet##CCTV Security##Maintenance Staff,"1,150 sqft",Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,86 Lakh,For Sale
Parking Spaces##: 1##Floor Level##View##Balcony or Terrace##Parking Spaces##: 1##24 Hours Concierge##Floor Level##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Electricity Backup##Flooring##Elevators in Building##: 2##Service Elevators##Intercom##CCTV Security##Cleaning Services,"1,990 sqft",Apartment,"Eskaton, Dhaka",3 Beds,3 Beds,45 Thousand,For Rent
Parking Spaces##: 1##View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##Freehold##Floor Level##Broadband Internet##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,522 sqft",Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore,For Sale
Flooring##View##Balcony or Terrace##Floor Level##Flooring##Service Elevators##Lobby in Building##View##Balcony or Terrace##Elevators in Building##: 1##24 Hours Concierge##Electricity Backup##Floor Level##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,170 sqft",Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,89 Lakh,For Sale
Balcony or Terrace##Flooring##Floor Level##View##Electricity Backup##Balcony or Terrace##Lobby in Building##Flooring##Elevators in Building##: 1##Freehold##Floor Level##View##24 Hours Concierge##Intercom##Broadband Internet##Conference Room##CCTV Security##Facilities for Disabled##Cleaning Services,"1,050 sqft",Apartment,"PC Culture Housing, Mohammadpur, Dhaka",3 Beds,3 Beds,20 Thousand,For Rent
Balcony or Terrace##Floor Level##View##Flooring##Balcony or Terrace##Floor Level##View##Flooring##CCTV Security,"2,050 sqft",Apartment,"Block D, Bochila Garden City, Bochila, Mohammadpur, Dhaka",4 Beds,4 Beds,22 Thousand,For Rent
Flooring##View##Balcony or Terrace##Floor Level##Flooring##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Floor Level##Parking Spaces##: 1##CCTV Security##Cleaning Services##Maintenance Staff,"1,580 sqft",Apartment,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,25 Thousand,For Rent
Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Double Glazed Windows##Waste Disposal##Electricity Backup##Parking Spaces##: 1##Lobby in Building##Flooring##Elevators in Building##: 3##View##Balcony or Terrace##Freehold##Floor Level##Storage Areas##Intercom##Swimming Pool##Barbeque Area##CCTV Security##Maintenance Staff,"1,911 sqft",Apartment,"Block A, Bashundhara R-A, Dhaka",3 Beds,3 Beds,35 Thousand,For Rent
View##Balcony or Terrace##Flooring##Floor Level,"3,500 sqft",Apartment,"Block K, Baridhara, Dhaka",4 Beds,4 Beds,2.7 Lakh,For Rent
Balcony or Terrace##Flooring##View##Parking Spaces##: 1##Balcony or Terrace##Flooring##View##Lobby in Building##Electricity Backup##24 Hours Concierge##Parking Spaces##: 1##Elevators in Building##: 1##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"2,250 sqft",Apartment,"Gulshan 2, Gulshan, Dhaka",3 Beds,3 Beds,1 Lakh,For Rent
Balcony or Terrace##View##Flooring##Parking Spaces##: 1##Balcony or Terrace##Double Glazed Windows##Elevators in Building##: 1##View##Electricity Backup##Flooring##Parking Spaces##: 1##Floor Level##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,"1,650 sqft",Apartment,"Block H, Bashundhara R-A, Dhaka",3 Beds,3 Beds,27 Thousand,For Rent
Floor Level##View##Balcony or Terrace##Flooring##Floor Level##Lobby in Building##View##Balcony or Terrace##Flooring##Parking Spaces##: 1##Elevators in Building##: 1##Intercom,"4,200 sqft",Apartment,"Block K, Baridhara, Dhaka",4 Beds,4 Beds,2.8 Lakh,For Rent
Floor Level##Parking Spaces##: 1##Flooring##Balcony or Terrace##Floor Level##Parking Spaces##: 1##Flooring##Balcony or Terrace##View##Elevators in Building##: 1##Electricity Backup##Double Glazed Windows##Storage Areas##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,850 sqft,Apartment,"Block H, Bashundhara R-A, Dhaka",2 Beds,2 Beds,22 Thousand,For Rent
Parking Spaces##: 1##View##Balcony or Terrace##Floor Level##Parking Spaces##: 1##24 Hours Concierge##Double Glazed Windows##View##Balcony or Terrace##Lobby in Building##Floor Level##Flooring##Elevators in Building##: 1##Electricity Backup##Broadband Internet##Lawn or Garden##CCTV Security##Cleaning Services##Maintenance Staff,"3,000 sqft",Apartment,"Block K, Baridhara, Dhaka",3 Beds,3 Beds,2.15 Lakh,For Rent
View##Parking Spaces##: 1##Flooring##Balcony or Terrace##View##Freehold##Lobby in Building##Parking Spaces##: 1##24 Hours Concierge##Flooring##Elevators in Building##: 4##Electricity Backup##Balcony or Terrace##Floor Level##Service Elevators##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,543 sqft",Apartment,"North Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.16 Crore,For Sale
View##Balcony or Terrace##Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Elevators in Building##: 1##Parking Spaces##: 1##Electricity Backup##Flooring##Floor Level##Broadband Internet##Cleaning Services,"1,250 sqft",Apartment,"Badda, Dhaka",3 Beds,3 Beds,93 Lakh,For Sale
View##Balcony or Terrace##Floor Level##Flooring##View##Balcony or Terrace##Double Glazed Windows##Electricity Backup##Floor Level##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##Storage Areas##Broadband Internet##CCTV Security##Cleaning Services##Maintenance Staff,"1,150 sqft",Apartment,"Block I, Bashundhara R-A, Dhaka",3 Beds,3 Beds,90 Lakh,For Sale
Floor Level##View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##Parking Spaces##: 1##24 Hours Concierge##Intercom##CCTV Security##Cleaning Services,"1,850 sqft",Apartment,"Sector 7, Uttara, Dhaka",3 Beds,3 Beds,45 Thousand,For Rent
View##Balcony or Terrace##Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Electricity Backup##Elevators in Building##: 1##Parking Spaces##: 1##Flooring##Floor Level##Broadband Internet##Cleaning Services,"1,050 sqft",Apartment,"Badda, Dhaka",2 Beds,2 Beds,79 Lakh,For Sale
Floor Level##View##Balcony or Terrace##Flooring##Floor Level##View##Elevators in Building##: 1##Balcony or Terrace##Double Glazed Windows##Flooring##Parking Spaces##: 2##Waste Disposal##Electricity Backup##Lobby in Building##Cleaning Services,"2,015 sqft",Duplex,"Dhanmondi, Dhaka",4 Beds,4 Beds,3.9 Crore,For Sale
Floor Level##Flooring##View##Balcony or Terrace##24 Hours Concierge##Floor Level##Flooring##View##Double Glazed Windows##Elevators in Building##: 1##Service Elevators##Balcony or Terrace##Parking Spaces##: 2##Broadband Internet##CCTV Security##Maintenance Staff##Cleaning Services,850 sqft,Apartment,"Muradpur, Chattogram",2 Beds,2 Beds,15 Thousand,For Rent
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Electricity Backup##Flooring##Elevators in Building##: 2##Floor Level##CCTV Security,"1,530 sqft",Apartment,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",3 Beds,3 Beds,26 Thousand,For Rent
Parking Spaces##: 1##View##Balcony or Terrace##Flooring##Double Glazed Windows##Lobby in Building##Parking Spaces##: 1##View##Balcony or Terrace##Electricity Backup##Flooring##Elevators in Building##: 1##Freehold##Waste Disposal##24 Hours Concierge##Floor Level##Storage Areas##Intercom##CCTV Security##Maintenance Staff,"2,300 sqft",Apartment,"Block C, Bashundhara R-A, Dhaka",3 Beds,3 Beds,42 Thousand,For Rent
Parking Spaces##: 1##Flooring##Balcony or Terrace##View##Parking Spaces##: 1##24 Hours Concierge##Service Elevators##Flooring##Balcony or Terrace##Elevators in Building##: 1##View##Lobby in Building##Furnished##Freehold##Electricity Backup##Floor Level##Intercom##First Aid Medical Center##CCTV Security##Maintenance Staff##Cleaning Services,"2,000 sqft",Apartment,"Gulshan 2, Gulshan, Dhaka",3 Beds,3 Beds,1 Lakh,For Rent
Parking Spaces##: 1##Floor Level##View##Furnished##Elevators in Building##: 1##Parking Spaces##: 1##Service Elevators##Freehold##Floor Level##24 Hours Concierge##View##Furnished##Flooring##Electricity Backup##Balcony or Terrace##Lobby in Building##Intercom##First Aid Medical Center##CCTV Security##Maintenance Staff##Cleaning Services,"2,250 sqft",Apartment,"Gulshan 2, Gulshan, Dhaka",3 Beds,3 Beds,1.3 Lakh,For Rent
Balcony or Terrace##View##Flooring##Parking Spaces##: 1##Elevators in Building##: 1##Double Glazed Windows##Balcony or Terrace##Lobby in Building##24 Hours Concierge##Freehold##Electricity Backup##View##Waste Disposal##Flooring##Parking Spaces##: 1##Floor Level##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"2,650 sqft",Apartment,"Block D, Bashundhara R-A, Dhaka",6 Beds,6 Beds,70 Thousand,For Rent
View##Balcony or Terrace##Flooring##Electricity Backup##View##Electricity Backup##Lobby in Building##Balcony or Terrace##Waste Disposal##Flooring##Elevators in Building##: 1##Freehold##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,700 sqft,Apartment,"Faydabad, Dakshin Khan, Dhaka",2 Beds,2 Beds,12.5 Thousand,For Rent
View##Balcony or Terrace##Flooring##Floor Level##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 2##Freehold##Floor Level##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,230 sqft",Apartment,"Ibrahimpur, Dhaka",2 Beds,2 Beds,18 Thousand,For Rent
Floor Level##Balcony or Terrace##View##Flooring##Elevators in Building##: 2##Lobby in Building##Floor Level##Balcony or Terrace##View##Electricity Backup##Flooring##Furnished##Parking Spaces##: 1##CCTV Security##Cleaning Services,"2,100 sqft",Apartment,"Nasirabad Properties Residential Area, Khulshi, Chattogram",3 Beds,3 Beds,50 Thousand,For Rent
Flooring##Balcony or Terrace##View##Floor Level##Double Glazed Windows##Electricity Backup##24 Hours Concierge##Flooring##Balcony or Terrace##Lobby in Building##Service Elevators##View##Elevators in Building##: 1##Floor Level##Broadband Internet##CCTV Security##Cleaning Services,"1,250 sqft",Apartment,"Dhanmondi, Dhaka",3 Beds,3 Beds,24 Thousand,For Rent
Floor Level##Flooring##View##Balcony or Terrace##Floor Level##Flooring##View##Electricity Backup##Freehold##Balcony or Terrace##CCTV Security##Maintenance Staff##Cleaning Services,"1,450 sqft",Apartment,"Khulshi, Chattogram",3 Beds,3 Beds,23 Thousand,For Rent
View##Balcony or Terrace##Flooring##Furnished##View##Balcony or Terrace##Lobby in Building##Double Glazed Windows##Electricity Backup##Flooring##Elevators in Building##: 1##Freehold##Furnished##Parking Spaces##: 1##24 Hours Concierge##Floor Level##Broadband Internet##CCTV Security##Cleaning Services,"1,650 sqft",Apartment,"Nikunja 1, Nikunja, Dhaka",3 Beds,3 Beds,1 Lakh,For Rent
Balcony or Terrace##View##Flooring##Lobby in Building##Balcony or Terrace##View##Lobby in Building##Flooring##24 Hours Concierge##Double Glazed Windows##Elevators in Building##: 1##Intercom##Lawn or Garden##Maintenance Staff##Cleaning Services,"1,055 sqft",Apartment,"East Rampura, Rampura, Dhaka",3 Beds,3 Beds,70 Lakh,For Sale
Floor Level##Balcony or Terrace##Flooring##View##Floor Level##Balcony or Terrace##Electricity Backup##Lobby in Building##Flooring##View##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,730 sqft,Apartment,"Block A, Section 6, Mirpur, Dhaka",3 Beds,3 Beds,50 Lakh,For Sale
Balcony or Terrace##Flooring##View##Floor Level##Service Elevators##Freehold##Elevators in Building##: 1##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##View##Floor Level,"1,350 sqft",Apartment,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",3 Beds,3 Beds,72 Lakh,For Sale
Floor Level##Parking Spaces##: 1##View##Balcony or Terrace##Floor Level##Parking Spaces##: 1##Freehold##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Flooring##Elevators in Building##: 1##Broadband Internet##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,522 sqft",Apartment,"Pallabi, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore,For Sale
Balcony or Terrace##Floor Level##View##Flooring##Lobby in Building##Balcony or Terrace##Electricity Backup##Elevators in Building##: 1##Floor Level##24 Hours Concierge##View##Freehold##Flooring##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,633 sqft",Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.12 Crore,For Sale
Flooring##Balcony or Terrace##View##Floor Level##Electricity Backup##Flooring##Elevators in Building##: 1##Lobby in Building##Balcony or Terrace##24 Hours Concierge##Freehold##View##Floor Level##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,586 sqft",Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.1 Crore,For Sale
Parking Spaces##: 1##View##Balcony or Terrace##Flooring##Parking Spaces##: 1##View##Balcony or Terrace##Flooring##Floor Level##Lobby in Building##CCTV Security##Cleaning Services##Maintenance Staff,"1,500 sqft",Apartment,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Beds,30 Thousand,For Rent
Flooring##View##Balcony or Terrace##Parking Spaces##: 1##Flooring##View##Balcony or Terrace##Lobby in Building##Elevators in Building##: 1##Parking Spaces##: 1##Floor Level,"1,700 sqft",Apartment,"Block K, Baridhara, Dhaka",3 Beds,3 Beds,1 Lakh,For Rent
Floor Level##Parking Spaces##: 1##View##Balcony or Terrace##Floor Level##Parking Spaces##: 1##24 Hours Concierge##View##Balcony or Terrace##Electricity Backup##Waste Disposal##Flooring##Elevators in Building##: 1##Service Elevators##CCTV Security##Cleaning Services,"1,700 sqft",Apartment,"Mohakhali DOHS, Dhaka",2 Beds,2 Beds,70 Thousand,For Rent
Balcony or Terrace##View##Flooring##Parking Spaces##: 1##Balcony or Terrace##Electricity Backup##View##Lobby in Building##Flooring##Elevators in Building##: 2##Freehold##Parking Spaces##: 1##24 Hours Concierge##Floor Level##CCTV Security##Maintenance Staff,"1,750 sqft",Apartment,"Hatirpool, Dhaka",3 Beds,3 Beds,40 Thousand,For Rent
Floor Level##Balcony or Terrace##Flooring##View##Floor Level##24 Hours Concierge##Double Glazed Windows##Freehold##Balcony or Terrace##Flooring##Lobby in Building##View##Cleaning Services,800 sqft,Apartment,"Shyamoli, Dhaka",2 Beds,2 Beds,16 Thousand,For Rent
Balcony or Terrace##View##Floor Level##Flooring##Balcony or Terrace##Freehold##Lobby in Building##Elevators in Building##: 2##View##24 Hours Concierge##Floor Level##Flooring##CCTV Security##Cleaning Services,"1,100 sqft",Apartment,"1st Colony, Mirpur, Dhaka",3 Beds,3 Beds,20 Thousand,For Rent
View##Floor Level##Balcony or Terrace##Flooring##View##Floor Level##Balcony or Terrace##Double Glazed Windows##Flooring##Freehold##24 Hours Concierge##Cleaning Services,750 sqft,Apartment,"Khilkhet, Dhaka",2 Beds,2 Beds,15 Thousand,For Rent
Parking Spaces##: 1##Balcony or Terrace##View##Floor Level##Double Glazed Windows##Freehold##Parking Spaces##: 1##Balcony or Terrace##View##Lobby in Building##Floor Level##Electricity Backup##Waste Disposal##Flooring##Elevators in Building##: 1##Broadband Internet##Cleaning Services##Maintenance Staff##Facilities for Disabled,"1,000 sqft",Apartment,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",3 Beds,3 Beds,16 Thousand,For Rent
Balcony or Terrace##Parking Spaces##: 1##View##Flooring##Balcony or Terrace##Parking Spaces##: 1##Lobby in Building##Waste Disposal##Elevators in Building##: 2##View##Electricity Backup##Flooring##Freehold##24 Hours Concierge##Floor Level##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,500 sqft",Apartment,"Banglamotors, Dhaka",3 Beds,3 Beds,35 Thousand,For Rent
Flooring##View##Balcony or Terrace##Floor Level##Flooring##Freehold##View##Balcony or Terrace##Lobby in Building##Electricity Backup##Elevators in Building##: 1##Floor Level##Parking Spaces##: 1##24 Hours Concierge##Intercom##CCTV Security##Maintenance Staff,"1,230 sqft",Apartment,"Block C, Khilgaon, Dhaka",3 Beds,3 Beds,26 Thousand,For Rent
View##Flooring##Floor Level##Balcony or Terrace##Freehold##View##Flooring##24 Hours Concierge##Floor Level##Electricity Backup##Balcony or Terrace##Elevators in Building##: 1##Lobby in Building##Intercom##CCTV Security##Cleaning Services##Maintenance Staff,"1,633 sqft",Apartment,"Sabujbag, South Bashabo, Bashabo, Dhaka",3 Beds,3 Beds,1.12 Crore,For Sale
Floor Level##Balcony or Terrace##View##Flooring##Electricity Backup##Floor Level##Balcony or Terrace##View##Lobby in Building##Elevators in Building##: 1##Flooring##Parking Spaces##: 1##Maintenance Staff##Cleaning Services,"1,320 sqft",Apartment,"Block C Extension, Banasree, Dhaka",3 Beds,3 Beds,92 Lakh,For Sale
Floor Level##View##Flooring##Balcony or Terrace##Floor Level##View##Flooring##Freehold##Balcony or Terrace##Electricity Backup##Lobby in Building##Elevators in Building##: 1##Parking Spaces##: 10##Broadband Internet##Intercom##CCTV Security##Maintenance Staff##Cleaning Services,"1,350 sqft",Apartment,"Block A, Section 12, Mirpur, Dhaka",3 Beds,3 Beds,1.1 Crore,For Sale
