address,apartment_facing,balcony,basement,bath,bed,building_facing,building_registration_type,common_area_size,features,floor,front_road_size,garage_size,gas,house_rules,interior,lift,nearby_landmark,parking,preferred_tenant,price,property_type,property_url,purpose,servant_room,servant_washroom,service_charge,size,title,total_units,unit,unit_per_floor,year_built
"Road 12, Commercial Space Rent in Banani, Dhaka",,,Basement 03,,, North Facing, Commercial,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Individual House,Open Space,Road side view,WiFi",11th floor, 60 Ft.,120 Sq Ft.,,,Un-Furnished,02,Road 12,"
",," BDT 230,000/-/-", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2367-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,For Rent,,,Including,2367 Sq Ft.,Spaciously Designed And Strongly Structured This 2367 Sq. Ft Commercial Space Now Vacant For Rent In Banani, 14 Units,,01,2008
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 05,,, East Facing, Commercial,1450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Individual House,Open Space,Road side view,WiFi",4th & 6th floor, 60 Ft.,720 Sq Ft.,,,Un-Furnished,02,Gulshan Avenue,"
",," BDT 20,25,000/- (BDT 150/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-13500-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 135,000/- (BDT 10/- Per Sq. Ft)",13500 Sq Ft.,Spaciously Designed And Strongly Structured This 13500 Sq. Ft. Commercial Space Now Vacant For Rent In Gulshan Avenue, 07 Units,,01,2010
"Road 138, Office Space Rent in Gulshan, Dhaka",,,,,, South, Residential, 250 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",5th floor, 40 Ft,240 Sq Ft, L.P.G., Basic Rules,Un-Furnished,02, Road 138,"
", Foreigner," BDT 420,000/- (BDT 100/- Per Sq. Ft.)", Residential cum Commercial,https://rents.com.bd/property/well-planned-brand-new-office-space-of-4200-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01,At Actual.,4200 Sq Ft,Well-planned Brand New Office Space Of 4200 Sq Ft Is Up For Rent In Gulshan, 10 Units,, 01,2023
"Road 25, Office Space Rent in Gulshan, Dhaka",,,,,, South, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Individual House,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",5th floor, 30 Ft,240 Sq Ft, L.P.G., Basic Rules,Un-Furnished,02, Road 25,"
", Foreigner," BDT 150,000/-", Residential cum Commercial,https://rents.com.bd/property/uniquely-designed-2120-sq-ft-office-space-is-up-for-rent-in-gulshan/,For Rent, 01, 01,At Actual.,2120 Sq Ft,Uniquely Designed 2120 Sq Ft Office Space Is Up For Rent In Gulshan, 18 Units,5A, 02,2022
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, East Facing, Commercial,120 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",5th floor, 60 Ft.,120 Sq Ft.,,,Un-Furnished,02,Gulshan Avenue,"
",," BDT 150,000/-", Commercial,https://rents.com.bd/property/well-fitted-commercial-space-of-1235-sq-ft-here-available-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 12,350/- (BDT 10/- per Sq Ft)",1235 Sq Ft.,Well Fitted Commercial Space Of 1235 Sq Ft Here Available For Rent In Gulshan Avenue, 6 Units,,01,2000
"Road 12, Commercial Space Rent in Banani, Dhaka",,,,,, South, Commercial, 120 Sq Ft,"24 hours CC TV coverage,Commercial approved space,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",Ground floor, 50 Ft,120 Sq Ft, N/A, Basic Rules,Un-Furnished,01, Road 12,"
", Foreigner," BDT 600,000/-", Commercial,https://rents.com.bd/property/visit-this-commercial-space-of-1300-sq-ft-is-up-for-rent-in-banani/,For Rent,,,"BDT 13,000/- (BDT 10/- Per Sq Ft)",1300 Sq Ft,Visit This Commercial Space Of 1300 SQ FT Is Up For Rent In Banani, 06 Units,, 01,2000
"Road 113, Commercial Space Rent in Gulshan, Dhaka",,,Basement 05,,, West Facing, Commercial,3000 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Individual House,Open Space,Road side view,WiFi",Full Building, 30 Ft.,960 Sq Ft.,,,Un-Furnished,02,Road 113,"
",," BDT 31,50,000/-", Commercial,https://rents.com.bd/property/31500-sq-ft-full-building-is-vacant-for-rent-in-gulshan-2/,For Rent,,,"BDT 315,000/- (BDT 10/- per Sq Ft)",31500 Sq Ft.,31500 Sq. Ft. Full Building  Is Vacant For Rent In Gulshan 2., 9 Units,,01,2000
"Road 11, Commercial Space Rent in Banani, Dhaka",,,,,, East, Commercial, 180 Sq Ft,"24 hours CC TV coverage,Commercial approved space,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",1st floor, 40 Ft,120 Sq Ft, L.P.G., Basic Rules,Un-Furnished,01, Road 11,"
", Foreigner," BDT 557,500/- (BDT 250/- Per Sq Ft)", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2230-sq-ft-commercial-space-is-vacant-for-rent-in-banani/,For Rent,,,"BDT 22,300/- (BDT 10/- Per Sq Ft)",2230 Sq Ft,Spaciously Designed And Strongly Structured This 2230 Sq. Ft. Commercial Space Is Vacant For Rent In Banani, 09 Units,, 01,2018
"Road 103, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", North, 02 Balconies,,04 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",7th Floor,16 Ft,120 Sq. Ft., L.P.G., Basic Rules, Fully-Furnished,02, Road 103,01, Foreigner,"BDT 135,000/-", Residential,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-2200-sq-ft-fully-furnished-apartment-is-up-for-rent-in-gulshan/,For Rent, 01, 01, BDT 7000/-,2200 Sq Ft,Stunning Views With Quality Finishing A 2200 Sq Ft Fully-Furnished Apartment Is Up For Rent In Gulshan,30 Units,7C, 03,2010
"Road 79, Furnished Apartment Rent in Gulshan [Dhaka BD], Dhaka", West, 03 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view,Swimming Pool",7th Floor,24 Ft,240 Sq. Ft., L.P.G., Basic Rules, Fully-Furnished,03, Road 79,02, Foreigner,"BDT 190,000/-", Residential,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-2450-sq-ft-fully-furnished-apartment-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 15,000/-",2450 Sq Ft,Stunning Views With Quality Finishing A 2450 Sq Ft Fully-Furnished Apartment Is Up For Rent In Gulshan,52 Units,B7, 04,2015
"Road 8, Office Space Rent in Banani, Dhaka",,,,,, East, Residential, 220 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",4th floor, 40 Ft,120 Sq Ft, L.P.G, Basic Rules,Un-Furnished,02, Road 8,"
", Foreigner," BDT 210,000/-", Residential cum Commercial,https://rents.com.bd/property/a-modern-well-planned-office-space-of-3060-sq-ft-is-ready-for-rent-in-banani/,For Rent, 01, 01,"BDT 15,000/-",3060 Sq Ft,A Modern Well-planned Office Space Of 3060 Sq Ft Is Ready For Rent In Banani, 09 Units,, 01,2022
"Road 63, Apartment Rent in Gulshan, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",5th Floor,24 Ft,360 Sq. Ft., L.P.G., Basic Rules, Un-Furnished,02, Road 63,03, Foreigner,"BDT 230,000/-", Residential,https://rents.com.bd/property/a-nice-and-comfortable-apartment-of-3500-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 25,000/-",3500 Sq Ft,A Nice And Comfortable Apartment Of 3500 Sq Ft Is Up For Rent In Gulshan,07 Units,A5, 01,2020
"Road 7, Office Space Rent in Gulshan, Dhaka",,,,,, North, Residential, 5500 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Individual House,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",Individual House, 40 Ft,5400 Sq Ft, L.P.G, Basic Rules,Un-Furnished,02, Road 7,"
", Foreigner, BDT 45 Lac, Residential cum Commercial,https://rents.com.bd/property/brand-new-60000-sq-ft-full-building-is-up-for-rent-in-gulshan/,For Rent, 01, 01,At Actual.,60000 Sq Ft,Brand New 60000 Sq Ft Full Building Is Up For Rent In Gulshan, G+10,, 02,2022
"Road 79, Apartment Rent in Gulshan, Dhaka", North, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view,Swimming Pool",8th Floor,24 Ft,120 Sq. Ft., L.P.G., Basic Rules, Semi-Furnished,03, Road 79,01, Foreigner,"BDT 210,000/-", Residential,https://rents.com.bd/property/a-nice-and-comfortable-apartment-of-2400-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 15,000/-",2400 Sq Ft,A Nice And Comfortable Apartment Of 2400 Sq Ft Is Up For Rent In Gulshan,24 Units,A8, 02,2015
"Road 7, Office Space Rent in Gulshan, Dhaka",,,,,, North, Residential, 450 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Individual House,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",9th floor, 40 Ft,480 Sq Ft, L.P.G, Basic Rules,Un-Furnished,02, Road 7,"
", Foreigner," BDT 400,000/-", Residential cum Commercial,https://rents.com.bd/property/brand-new-6000-sq-ft-office-space-is-up-for-rent-in-gulshan/,For Rent, 01, 01,At Actual.,6000 Sq Ft,Brand New 6000 Sq Ft Office Space Is Up For Rent In Gulshan, G+10,, 02,2022
"Road 23, Office Space Rent in Banani, Dhaka",,,,,, North, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",3rd floor, 30 Ft,120 Sq Ft, L.P.G, Basic Rules,Un-Furnished,01, Road 23,"
", Foreigner," BDT 95,000/-", Residential cum Commercial,https://rents.com.bd/property/excellent-office-space-of-2000-sq-ft-is-up-for-rent-in-banani/,For Rent, 01, 01,"BDT 15,000/-",2000 Sq Ft,Excellent Office Space Of 2000 Sq Ft Is Up For Rent In Banani, 06 Units,, 02,2015
"Road 5, Office Space Rent in Banani, Dhaka",,,,,, East, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",3rd floor, 30 Ft,120 Sq Ft, L.P.G, Basic Rules,Un-Furnished,02, Road 5,"
", Foreigner," BDT 100,000/-", Residential cum Commercial,https://rents.com.bd/property/excellent-office-space-of-2000-sq-ft-is-up-for-rent-in-banani-2/,For Rent, 01, 01,"BDT 15,000/-",2000 Sq Ft,Excellent Office Space Of 2000 Sq Ft Is Up For Rent In Banani, 14 Units,, 02,2010
"Road 99, Furnished Apartment Rent in Gulshan [Dhaka BD], Residential, Dhaka", North, 02,,03 Bathrooms,03 Bedrooms, North, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",7th floor,24 Ft,120 Sq Ft, L.P.G, Basic Rules,Fully-Furnished,02, Road 99,"
", Foreigner," BDT 160,000/-", Residential,https://rents.com.bd/property/exclusive-designed-this-2200-sq-ft-fully-furnished-apartment-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 10,000/-",2200 Sq Ft,Exclusive Designed This 2200 Sq Ft Fully Furnished Apartment Is Up For Rent In Gulshan, 30 Units,A7, 03,2010
"Road 99, Furnished Apartment Rent in Gulshan [Dhaka BD], Residential, Dhaka", North, 02,,03 Bathrooms,03 Bedrooms, North, Residential, 150 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Open Space,Road side view,TV Cable,WiFi",7th floor,24 Ft,120 Sq Ft, L.P.G, Basic Rules,Fully-Furnished,02, Road 99,"
", Foreigner," BDT 160,000/-", Residential,https://rents.com.bd/property/stunning-luxury-fully-furnished-apartment-of-2200-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 10,000/-",2200 Sq Ft,Stunning Luxury Fully-Furnished Apartment Of 2200 Sq Ft Is Up For Rent In Gulshan, 30 Units,B7, 03,2010
"Road 11, Furnished Apartment Rent in Baridhara Diplomatic Zone, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,220 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Baridhara Park,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",1st Floor,24 Ft,120 Sq Ft, Govt., Basic Rules, Fully-Furnished,01, Road 11,"
", Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/a-nice-and-comfortable-3000-sq-ft-fully-furnished-apartment-is-up-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, BDT 5000/-,3000 Sq Ft,A Nice And Comfortable 3000 Sq Ft Fully-Furnished Apartment Is Up For Rent In Baridhara Diplomatic Zone,10 Units,1B, 02,2008
"Road 86, Apartment Rent in Gulshan, Residential, Dhaka", East, 02 Balconies,,03 Bathrooms,03 Bedrooms,East, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",3rd Floor,16 Ft,120 Sq Ft, Govt., Basic Rules, Un-Furnished,01, Road 86,"
", Foreigner,"BDT 120,000/-", Residential,https://rents.com.bd/property/we-bring-you-a-nice-spacious-residence-of-2200-sq-ft-for-rent-in-gulshan/,For Rent, 01, 01," BDT 12,000/-",2200 Sq Ft,We Bring You A Nice & Spacious Residence Of 2200 Sq Ft For Rent In Gulshan,14 Units,4A, 02,2008
"Road 11, Furnished Apartment Rent in Baridhara Diplomatic Zone, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,220 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Baridhara Park,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",2nd Floor,24 Ft,120 Sq Ft, Govt., Basic Rules, Fully-Furnished,01, Road 11,"
", Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/a-nicely-constructed-fully-furnished-apartment-of-3000-sq-ft-is-available-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, BDT 5000/-,3000 Sq Ft,A Nicely Constructed Fully-Furnished Apartment Of 3000 Sq Ft Is Available For Rent In Baridhara Diplomatic Zone,10 Units,2B, 02,2008
"Road 56, Furnished Apartment Rent in Gulshan [Dhaka BD], Residential, Dhaka", East, 02 Balconies,,03 Bathrooms,03 Bedrooms,East, Residential,120 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",6th Floor,16 Ft,120 Sq Ft, L.P.G, Basic Rules, Fully-Furnished,02, Road 56,"
", Foreigner,"BDT 125,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-fully-furnished-apartment-of-1800-sq-ft-is-up-for-rent-in-gulshan/,For Rent, 01, 01, At Actual,1800 Sq Ft,A Modern Well-planned Fully-Furnished Apartment Of 1800 Sq Ft Is Up For Rent In Gulshan,14 Units,B6, 02,2015
"Road 2, Office Space Rent in Banani, Dhaka", North,,,,, North, Residential, 950 Sq Ft,"24 hours CC TV coverage,Dedicated Electricity Line,Generator Backup,Good Location,Green Area Availability,Individual House,Open Space,Residential cum commercial building,Road side view,TV Cable,WiFi",Individual House, 40 Ft,240 Sq Ft, Govt., Basic Rules,Un-Furnished,N/A, Road 2,"
", Foreigner," BDT 900,000/-", Residential cum Commercial,https://rents.com.bd/property/stunning-views-with-quality-finishing-a-10000-sq-ft-full-building-is-up-for-rent-in-banani/,For Rent, 01, 01,N/A,10000 Sq Ft,Stunning Views With Quality Finishing A 10000 Sq Ft Full Building Is Up For Rent In Banani, G+3,, 02,2000
"Road 11, Furnished Apartment Rent in Baridhara Diplomatic Zone, Dhaka", North, 03 Balconies,,04 Bathrooms,04 Bedrooms,, Residential,220 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Baridhara Park,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",3rd Floor,24 Ft,120 Sq Ft, Govt., Basic Rules, Fully-Furnished,01, Road 11,"
", Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/a-nice-and-comfortable-fully-furnished-apartment-of-3000-sq-ft-is-up-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, BDT 5000/-,3000 Sq Ft,A Nice And Comfortable Fully-Furnished Apartment Of 3000 Sq Ft Is Up For Rent In Baridhara Diplomatic Zone,10 Units,3B, 02,2008
"Tejgaon Link Road, Commercial, Dhaka",,,Basement 03,,, North Facing, Commercial,950 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",4th floor, 60 Ft.,360 Sq Ft,,,Un-Furnished,04,Tejgaon Link Road,03,," BDT 16,00,000/- (BDT 160/- Per Sq Ft)", Commercial,https://rents.com.bd/property/well-built-and-properly-designed-commercial-space-of-10000-sq-ft-available-for-rent-in-tejgaon/,For Rent,,,"BDT 150,000/- (BDT 15/- Per Sq Ft)",10000 Sq Ft.,Well Built And Properly Designed Commercial Space Of 10000 SQ FT Available For Rent In Tejgaon, 11 Units,,01,2009
"Road 4, Commercial Space Rent in Banani, Dhaka",,,Basement 01,,, South Facing, Commercial,120 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",8th floor, 50 Ft.,N/A,,,Un-Furnished,01,Road 4,N/A,," BDT 130,000/-", Commercial,https://rents.com.bd/property/a-modern-well-planned-commercial-space-of-1000-sq-ft-is-up-for-rent-is-situated-in-banani/,For Rent,,,"BDT 10,000/-",1000 Sq Ft.,A Modern Well-planned Commercial Space Of 1000 Sq Ft Is Up For Rent Is Situated In Banani, 10 Units,,01,2002
"Road 11, Furnished Apartment Rent in Baridhara Diplomatic Zone, Dhaka", North, 01 Balconies,,01 Bathrooms,01 Bedrooms,, Residential,80 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Baridhara Park,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",6th Floor,24 Ft,N/A, Govt., Basic Rules, Fully-Furnished,01, Road 11,N/A, Foreigner,"BDT 100,000/-", Residential,https://rents.com.bd/property/a-nice-and-comfortable-fully-furnished-studio-apartment-of-1000-sq-ft-is-up-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01, At Actual.,1000 Sq Ft,A Nice And Comfortable Fully-Furnished Studio Apartment Of 1000 Sq Ft Is Up For Rent In Baridhara Diplomatic Zone,10 Units,A6, 01,2008
"Park Road, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", West, 03 Balconies,,04 Bathrooms,04 Bedrooms,West, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Baridhara Park,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",3rd Floor,24 Ft,240 Sq Ft, L.P.G, Basic Rules, Semi-Furnished,02, Park Road,"
", Foreigner,"BDT 250,000/-", Residential,https://rents.com.bd/property/a-modern-well-planned-flat-of-3500-sq-ft-is-up-for-rent-is-situated-in-baridhara-diplomatic-zone/,For Rent, 01, 01," BDT 17,500/-",3500 Sq Ft,A Modern Well-planned Flat Of 3500 Sq Ft Is Up For Rent Is Situated In Baridhara Diplomatic Zone,10 Units,A3, 02,2012
"Road 73, Apartment Rent in Gulshan, Residential, Dhaka", North, 02 Balconies,,03 Bathrooms,03 Bedrooms,North, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",4th Floor,24 Ft,120 Sq Ft, L.P.G, Basic Rules, Semi-Furnished,01, Road 73,"
", Foreigner,"BDT 160,000/-", Residential,https://rents.com.bd/property/rarely-available-a-2000-sq-ft-apartment-is-ready-for-rent-in-gulshan-with-satisfactory-price/,For Rent, 01, 01," BDT 15,000/-",2000 Sq Ft,Rarely Available A 2000 Sq Ft Apartment Is Ready For Rent In Gulshan With Satisfactory Price,09 Units,A4, 01,2010
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 03,,, West Facing, Commercial,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",1st floor, 60 Ft.,240 Sq Ft,,,Un-Furnished,02,Gulshan Avenue,02,, BDT 14 Lac (BDT 350/- Per Sq Ft), Commercial,https://rents.com.bd/property/brand-new-and-strongly-structured-this-4000-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 60,000/- (BDT 15/- Per Sq Ft)",4000 Sq Ft.,Brand New And Strongly Structured This 4000 Sq. Ft Commercial Space Now Vacant For Rent In Gulshan Avenue, 10 Units,,01,2022
"Road 104, Office Space Rent in Gulshan, Dhaka",,,Basement 02,,, North Facing, Residential,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view",5th floor, 30 Ft.,240 Sq Ft,,,Un-Furnished,01,Road 104,02,," BDT 100,000/-", Residential Cum Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2500-sq-ft-office-space-now-vacant-for-rent-in-gulshan/,For Rent,,,"BDT 10,000/-",2500 Sq Ft.,Spaciously Designed And Strongly Structured This 2500 Sq. Ft Office Space Now Vacant For Rent In Gulshan, 12 Units,,02,2002
"Road 43, Apartment Rent in Gulshan, Residential, Dhaka", North, 02 Balconies,,03 Bathrooms,03 Bedrooms,North, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",1st Floor,24 Ft,120 Sq Ft, Govt., Basic Rules, Un-Furnished,01, Road 43,"
", Foreigner,"BDT 100,000/-", Residential,https://rents.com.bd/property/we-bring-you-a-nice-spacious-residence-of-2900-sq-ft-for-rent-in-gulshan/,For Rent, 01, 01," BDT 10,000/-",2900 Sq Ft,We Bring You A Nice & Spacious Residence Of 2900 Sq Ft For Rent In Gulshan,10 Units,102, 02,2008
"Road 53, Apartment Rent in Gulshan, Residential, Dhaka", East, 04 Balconies,,04 Bathrooms,04 Bedrooms,East, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Gym,Open Space,Road side view,Swimming Pool,WiFi",5th Floor,24 Ft,240 Sq Ft, L.P.G, Basic Rules, Un-Furnished,02, Road 53,"
", Foreigner,"BDT 320,000/-", Residential,https://rents.com.bd/property/stunning-luxury-home-of-4400-sq-ft-in-the-prestigious-community-of-gulshan-is-up-for-rent/,For Rent, 01, 01," BDT 35,000/-",4400 Sq Ft,"Stunning Luxury Home Of 4400 Sq Ft In The Prestigious Community Of Gulshan, Is Up For Rent",20 Units,B5, 02,2023
"Road 138, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, Eest Facing, Commercial,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",10th floor, 60 Ft.,240 Sq Ft,,,Un-Furnished,04,Road 138,02,," BDT 729,750/- (BDT 150/- Per Sq Ft)", Commercial,https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-4865-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan/,For Rent,,,"BDT 72,975/- (BDT 15/- Per Sq Ft)",4865 Sq Ft.,Spaciously Designed And Strongly Structured This 4865 Sq. Ft Commercial Space Now Vacant For Rent In Gulshan, 14 Units,,01,2008
"Road 43, Furnished Apartment Rent in Gulshan [Dhaka BD], Gulshan, Dhaka", South, 02 Balconies,,03 Bathrooms,03 Bedrooms,, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",2nd Floor,24 Ft,120 Sq Ft, Govt., Basic Rules, Fully-Furnished,01, Road 43,"
", Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/a-nice-and-comfortable-2200-sq-ft-fully-furnished-apartment-is-up-for-rent-in-gulshan/,For Rent, 01, 01," BDT 10,000/-",2200 Sq Ft,A Nice And Comfortable 2200 Sq Ft Fully-Furnished Apartment Is Up For Rent In Gulshan,15 Units,2B, 03,2005
"Road 105, Office Space Rent in Gulshan, Dhaka",,,Basement 02,,, East Facing, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view",9th floor, 40 Ft.,240 Sq Ft,,,Un-Furnished,03,Road 105,02,," BDT 150,000/-", Residential Cum Commercial,https://rents.com.bd/property/a-nice-and-comfortable-2900-sq-ft-office-space-is-up-for-rent-in-gulshan/,For Rent,,,BDT 8000/-,2900 Sq Ft.,A Nice And Comfortable 2900 Sq Ft Office Space Is Up For Rent In Gulshan, 12 Units,9C,03,2016
"Road 83, Apartment Rent in Gulshan, Residential, Dhaka", East, 02 Balconies,,03 Bathrooms,03 Bedrooms,East, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",8th Floor,24 Ft,240 Sq Ft, L.P.G, Basic Rules, Semi-Furnished,02, Road 83,"
", Foreigner,"BDT 170,000/-", Residential,https://rents.com.bd/property/rarely-available-a-2950-sq-ft-apartment-is-ready-for-rent-in-gulshan-with-satisfactory-price/,For Rent, 01, 01," BDT 14,500/-",2950 Sq Ft,Rarely Available A 2950 Sq Ft Apartment Is Ready for Rent In Gulshan With Satisfactory Price,18 Units,B8, 02,2010
