title,num_bed,num_bath,area,location,building_type,purpose,price,description,listing_url,Elevator-amenity,Security Guard-amenity,Govt. Gas-amenity,Emergency Exit-amenity,Hot Water-amenity,Intercom-amenity,Landscape Garden-amenity,Swimming Pool-amenity,Child Allowed-amenity,Visitor's Car Parking-amenity,Wi-Fi-amenity,Community Center-amenity,Guard's Room-amenity,Driver Room-amenity,Gymnasium-amenity,WASA-amenity,Internet-amenity,Electricity-amenity,Safety Grill-amenity,CCTV-amenity,Fire Alarm-amenity,Rooftop Garden-amenity,Pet Allowed-amenity,building_nature,city,area,address,balcony-amenity,service charge-amenity,servent room-amenity,staff toilet-amenity,kitchen-amenity,property condition-amenity,drawing room-amenity,car parking-amenity,furnished status-amenity,nagotiable-amenity,floor number-amenity,available for-amenity,advance deposit-amenity,living room-amenity,dining room-amenity,floor type-amenity
2200 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba,2200.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,145000.0,"It is an unfurnished office space of 2200 sqft which is up for rent at Banani. Located at the 1st floor, it has 7 separate rooms, washrooms and other modern living facilities which are perfect for an office space. 1 car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/2200-sqft-unfurnished-office-space-for-rent-at-banani/382,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,12000,,,,new,,available,unfurnished,,1,any,290000,,,
A CLASSY SEMI-FURNISHED APARTMENT @Baridhara Diplomatic Zone, 3 bd, 3 ba,2200.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,180000.0,"A perfect 2200 SQFT semi furnished apartment that you can call your new home is now up for rent. Apartment with 3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 servant room with bathroom, 1 kitchen, also includes 24/7 guarded, 24/7 CCTV surveillance, generator backup, 1 car parking. We will help you to furnish the apartment so you can be in ease while you stay here. Please feel free to contact us whichever way is convenient for you and get more details about this place.",http://www.rentalhomebd.com/properties/a-classy-semi-furnished-apartment-at-baridhara-diplomatic-zone/384,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,,yes,yes,1,new,yes,available,semi-furnished,yes,4,family,360000,,yes,
3400 SQFT UNFURNISHED APARTMENT @ BARIDHHARA DIPLOMATIC ZONE, 3 bd, 3 ba,3400.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,190000.0,"A perfect home for you could be right here, apartment that consists of 3 bedrooms, 3 bathrooms, 1 drawing-dining space, 1 servant room with bathroom and 1 kitchen. In this Baridhara area, the most top class residential area for the foreigners, will give you the secured vibe you need. Other facilities includes 24/7 guarded, 24/7 CCTV surveillance, car parking etc. We can help you furnish the apartment just the way you like so you feel home in this foreign land. Please contact us for more details.",http://www.rentalhomebd.com/properties/3400-sqft-unfurnished-apartment-at-baridhhara-diplomatic-zone/383,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,15000,yes,yes,1,new,yes,available,unfurnished,yes,1,family,380000,yes,yes,
Searching for a DUPLEX HOME @ Baridhara Diplomatic Zone?, 0 bd, 0 ba,4200.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Duplex Home,Rent,310000.0,"A 4200 SQFT duplex apartment, furnished so perfectly that you will love it at the first glance. The choice for you if you are planning to move in with your family, place is already ready for your presence as it has everything you need to live comfortably. So why the wait? Contact us right now for more information.",http://www.rentalhomebd.com/properties/searching-for-a-duplex-home-at-baridhara-diplomatic-zone/386,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,,yes,yes,1,new,yes,available,furnished,yes,12,family,620000,,yes,
An amazing 2200 SQFT furnished apartment @ Baridhara Diplomatic Zone, 1 bd, 2 ba,2200.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,175000.0,"A small 1 bedroom, 2 bathrooms, 1 drawing dining space, 1 kitchen 2200 SQFT  furnished apartment will be a cozy pick for you. At the secured place in town you will have the homely feel while you stay here. This apartment will be good for anyone who loves to live alone, or away from family yet wants to get a family home. Other facilities that will be available for you are 24/7 guarded, CCTV surveillance, generator backup, utility supply, 1 car parking etc. Why not we help you to get settle? For more details contact us right away.",http://www.rentalhomebd.com/properties/an-amazing-2200-sqft-furnished-apartment-at-baridhara-diplomatic-zone/385,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,,yes,yes,1,new,yes,available,furnished,yes,13,any,350000,,yes,
1450 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba,1450.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,110000.0,"It is an unfurnished office space of 1450 sqft which is up for rent at Banani. Located at the 1st floor, it has 3 separate rooms, 1 open room, washrooms and other modern living facilities which are perfect for a small office space. 1 car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/1450-sqft-unfurnished-office-space-for-rent-at-banani/388,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Commercial,Dhaka,Banani,,,8500,,,,new,,available,unfurnished,,1,any,220000,,,
Have you been looking for a perfect furnished home @ Baridhara Diplomatic Zone?, 3 bd, 4 ba,2250.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,150000.0,"A 2250 SQFT furnished apartment consists of 3 bedrooms, 4 bathrooms, 1 living room, 1 drawing-dining space, 3 balconies. 1 servant room with bathroom, 1 kitchen is a perfect place to live with your family. Other facilities that will be available 24/7 Guarded, 24/7 CCTV Surveillance, generator backup, 1 car parking. Most safe place in town, the first choice of foreigners, Baridhara area is what you need to live comfortably. A ready decorated furnished apartment is your convenient choice, so feel free to contact us right now for more details.",http://www.rentalhomebd.com/properties/have-you-been-looking-for-a-perfect-furnished-home-at-baridhara-diplomatic-zone/387,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,8000,yes,yes,1,new,yes,available,furnished,yes,5,family,300000,yes,yes,mosaic
3000 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba,3000.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,810000.0,"It is an unfurnished office space of 3000 sqft which is up for rent at Banani. Located at the 1st floor, it has washrooms and other modern living facilities which are perfect for an office space. Car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/3000-sqft-unfurnished-office-space-for-rent-at-banani/390,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,,,,,new,,,unfurnished,,1,any,1620000,,,
1000 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba,1000.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,500000.0,"It is an unfurnished office space of 1000 sqft which is up for rent at Banani. Located at the ground floor, it has washrooms and other modern living facilities which are perfect for a small office space. 1 car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/1000-sqft-unfurnished-office-space-for-rent-at-banani/389,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Commercial,Dhaka,Banani,,,,,,,new,,available,unfurnished,,,any,1000000,,,
5059 sqft Unfurnished Office Spaces for Rent @ Banani, 0 bd, 3 ba,5059.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,1011800.0,"These are two unfurnished, massive office spaces of 5059 sqft which are up for rent at Banani. Splendidly located at the 10th and 11th floor, these properties have washrooms and other modern living facilities which are perfect for large office space. Car parking facility provided for each of them. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/5059-sqft-unfurnished-office-spaces-for-rent-at-banani/373,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,75885,,,,new,,,unfurnished,,11,any,2023600,,,
2750 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba,2750.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,550000.0,"It is an unfurnished, massive office space of 2750 sqft which is up for rent at Banani. Splendidly located at the 20th floor, it has washrooms and other modern living facilities which are perfect for a large office space. 2 car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/2750-sqft-unfurnished-office-space-for-rent-at-banani/372,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,55000,,,,new,,available,unfurnished,,20,any,1100000,,,
1740 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba,1740.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,194880.0,"It is an unfurnished office space of 1740 sqft which is up for rent at Banani. Located at the 7th floor, it has washrooms and other modern living facilities which are perfect for a small office space. Car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/1740-sqft-unfurnished-office-space-for-rent-at-banani/376,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,20880,,,,new,,,unfurnished,,7,any,389760,,,
2000 SQFT Unfurnished Apartment @ Baridhara Diplomatic Zone, 3 bd, 4 ba,2000.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,150000.0,"A perfect apartment for a small family or someone who wants to live alone, consisting of 3 bedrooms, 4 bathrooms, 1 drawing-dining space, 1 kitchen. This tight neat secured area is a YES for all foreigners and other facilities you will be getting is 24/7 guarded with CCTV surveillance, generator backup, car parking. An affordable place that will be furnished just the way you like. So let’s help you move in to this amazing place right away. For more details contact us now.",http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-apartment-at-baridhara-diplomatic-zone/377,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,15000,yes,yes,1,new,yes,,unfurnished,yes,5,family,300000,,yes,
4500 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba,4500.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,594000.0,"It is an unfurnished, massive office space of 4500 sqft which is up for rent at Banani. Located at the 3rd floor, it has washrooms and other modern living facilities which are perfect for a large office space. Car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/4500-sqft-unfurnished-office-space-for-rent-at-banani/375,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,54000,,,,new,,,unfurnished,,3,any,1188000,,,
3100 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba,3100.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,502200.0,"It is an unfurnished, large office space of 3100 sqft which is up for rent at Banani. Located at the 1st floor, it has washrooms and other modern living facilities which are perfect for a large office space. Car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/3100-sqft-unfurnished-office-space-for-rent-at-banani/374,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,37200,,,,new,,,unfurnished,,1,any,1004400,,,
A perfect 4382 SQFT family apartment up for rent @ Baridhara Diplomatic Zone, 4 bd, 4 ba,4382.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,300000.0,"Amazingly well-furnished apartment that would be perfect for you and your family consisting of 4 bedrooms, 4 bathrooms, 1 drawing-dining space, 1 servant room with washroom, 1 kitchen. With other facilities like 24/7 security, CCTV monitoring, generator backup just adds little bit convenience while your stay here. A ready furnished place at the finest area in Dhaka will give you the classy vibe the moment you move. Contact us for more details on this apartment.",http://www.rentalhomebd.com/properties/a-perfect-4382-sqft-family-apartment-up-for-rent-at-baridhara-diplomatic-zone/378,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,21000,yes,yes,1,new,yes,available,furnished,yes,2,family,600000,,yes,
2200 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba,2200.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,253000.0,"It is an unfurnished office space of 2200 sqft which is up for rent at Banani. Located at the 2nd floor, it has washrooms and other modern living facilities which are perfect for an office space. Car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/2200-sqft-unfurnished-office-space-for-rent-at-banani/380,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,33000,,,,new,,,unfurnished,,2,any,506000,,,
2291 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba,2291.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,600242.0,"It is an unfurnished office space of 2291 sqft which is up for rent at Banani. Located at the 4th floor, it has washrooms and other modern living facilities which are perfect for an office space. Car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/2291-sqft-unfurnished-office-space-for-rent-at-banani/379,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,27492,,,,new,,,unfurnished,,4,any,1200484,,,
SEARCHING FOR AN AFFORDABLE FURNISHED APARTMENT @Baridhara Diplomatic Zone?, 3 bd, 4 ba,2470.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,175000.0,"A 2470 SQFT furnished apartment consisting of 3 bedrooms, 4 bathrooms, 1 drawing-dining space, 1 servant room with bathroom, 1 kitchen within reasonable rent is now available at the most elite area in Baridhara. Other facilities include 24/7 generator backup, 24/7 security services with CCTV monitored and 1 car parking is also available. Please feel free to contact us to get more details about this apartment.",http://www.rentalhomebd.com/properties/searching-for-an-affordable-furnished-apartment-at-baridhara-diplomatic-zone/369,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,8000,yes,yes,1,new,yes,available,furnished,yes,3,family,350000,,yes,
3700 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba,3700.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,999000.0,"It is an unfurnished, massive office space of 3700 sqft which is up for rent at Banani. Located at the 3rd floor, it has washrooms and other modern living facilities which are perfect for a medium sized office space. Car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/3700-sqft-unfurnished-office-space-for-rent-at-banani/370,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,74000,,,,new,,,unfurnished,,2,any,1998000,,,
An amazing semi furnished apartment up for rent @BARIDHARA DIPLOMATIC ZONE, 3 bd, 4 ba,4000.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,380000.0,"A 4000 SQFT apartment consisting of 3 bedrooms, 4 bathrooms, 1 drawing dining space, 1 servant room with bathroom, 1 kitchen is planned such a way that is perfect for your family to move in. This semi furnished apartment could be furnished just the way you want it to be. With the top-class community, security system, 24/7 generator backup, 24/7 CCTV monitoring, car parking facility will help you feel just the homely vibe, so you don’t miss your own home. Contact us right away to rent the place.",http://www.rentalhomebd.com/properties/an-amazing-semi-furnished-apartment-up-for-rent-at-baridhara-diplomatic-zone/365,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,20000,yes,yes,1,new,yes,available,semi-furnished,yes,5,family,760000,,yes,
A CLASSY 4000 SQFT APARTMENT @ BARIDHARA DIPLOMATIC ZONE, 4 bd, 5 ba,4000.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,310000.0,"A finest looking apartment for you is now up for rent that consists of 4 bedrooms, 5 bathrooms, 1 drawing-dining space, 1 kitchen, 1 servant room with bathroom etc. With other facilities like 24/7 security, CCTV monitoring, generator backup just adds little bit convenience while your stay here. This apartment will be perfect for you and your family as Baridhara is the most elegant area for foreigners.",http://www.rentalhomebd.com/properties/a-classy-4000-sqft-apartment-at-baridhara-diplomatic-zone/367,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,20000,yes,yes,1,new,yes,,semi-furnished,yes,2,family,620000,,yes,
LOOKING FOR A FURNISHED APARTMENT @ Baridhara Diplomatic Zone?, 3 bd, 4 ba,4200.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,350000.0,"An amazingly decorated and furnished apartment that will give you a homely vibe even when you are away from home. This 4200 SQFT apartment consists of 3 bedrooms, 4 bathrooms, 1 drawing-dining space, 1 kitchen, 1 servant room and bathroom. Perfectly structured furnished apartment with 24/7 guarded, generator backup and car parking facility could be your safe home now. Your home is waiting for your presence so contact us right away.",http://www.rentalhomebd.com/properties/looking-for-a-furnished-apartment-at-baridhara-diplomatic-zone/366,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,15000,yes,yes,1,new,yes,available,furnished,yes,7,family,700000,,yes,
A PERFECTLY STRUCTURED SEMI-FURNISHED APARTMENT @ Baridhara Diplomatic Zone, 3 bd, 4 ba,3400.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,310000.0,"A 3400 SQFT apartment consisting of 3 bedrooms, 4 bathrooms, 1 drawing dining space, 1 servant room with bathroom, 1 kitchen is planned such a way that is perfect for your family to move in. This semi furnished apartment could be furnished just the way you want it to be. With the top-class community, security system, 24/7 generator backup, 24/7 CCTV monitoring, car parking facility will help you feel just the homely vibe, so you don’t miss your own home. Contact us right away to rent the place.",http://www.rentalhomebd.com/properties/a-perfectly-structured-semi-furnished-apartment-at-baridhara-diplomatic-zone/368,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,30000,yes,yes,1,new,yes,available,semi-furnished,yes,2,family,620000,,yes,
2000 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba,2000.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,150000.0,"It is an unfurnished office space of 2000 sqft which is up for rent at Banani. Located at the 3rd floor, it has 3 separate rooms, 3 washrooms and other modern living facilities which are perfect for a small office. 1 car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-office-space-for-rent-at-banani/364,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,15000,,,,new,,available,unfurnished,,4,any,300000,,,
1850 sqft Unfurnished Apartment with for Rent @ Banani, 3 bd, 3 ba,1850.0,"Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent,95000.0,"It is an unfurnished apartment of 1850 sqft which is up for rent at Banani. Located at the 1st floor, it has 3 beds, 3 bath and other modern living facilities for a family. 1 car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/1850-sqft-unfurnished-apartment-with-for-rent-at-banani/363,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Residential,Dhaka,Banani,,,8500,yes,yes,1,new,yes,available,unfurnished,,2,any,190000,,yes,
5675 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba,5675.0,"Banani, Dhaka, Banani, Dhaka",Office space,Rent,1135000.0,"It is an unfurnished, massive office space of 5675 sqft which is up for rent at Banani. Splendidly located at the 19th floor, it has washrooms and other modern living facilities which are perfect for a large office space. Car parking facility provided. If further furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/5675-sqft-unfurnished-office-space-for-rent-at-banani/371,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Commercial,Dhaka,Banani,,,113500,,,,new,,,unfurnished,,19,any,2270000,,,
2200 sqft Furnished Apartment for Rent @ Gulshan-2, 3 bd, 4 ba,2200.0,"Gulshan-2, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent,180000.0,"This luxurious 2200 sqft furnished property is up for rent at Gulshan-2. Located at 5th floor, this property has 3 beds, 4 baths, servant room and bath and other modern facilities. 1 car parking facility available.",http://www.rentalhomebd.com/properties/2200-sqft-furnished-apartment-for-rent-at-gulshan-2/349,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Gulshan-2,,10000,yes,yes,1,new,yes,available,furnished,,6,any,360000,,yes,
5400 sqft Unfurnished Apartment for Rent @ Gulshan-2, 4 bd, 6 ba,5400.0,"Gulshan-2, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent,430000.0,"This massive 5400 sqft furnished property is up for rent at Gulshan-2. Located at 9th floor, this property has 4 beds, 6 baths, servant room and bath, living room, drawing room, dining space, servant room with bathroom and other modern facilities. 2 car parking facility available. If furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/5400-sqft-unfurnished-apartment-for-rent-at-gulshan-2/350,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Gulshan-2,,25000,yes,yes,1,new,yes,available,unfurnished,,9,any,860000,yes,yes,
4400 sqft Furnished Duplex Apartment for Rent @ Gulshan-2, 5 bd, 6 ba,4400.0,"Gulshan-2, Dhaka, Baridhara, Dhaka",Duplex Home,Rent,280000.0,"This luxurious and huge 4400 sqft furnished property is up for rent at Gulshan-2. Located at 5th & 6th floor, this duplex property has 5 beds, 6 baths, servant room and bath and other modern facilities and commodities. Full generator support and common hall facility available on top floor.  2 car parking facility available.",http://www.rentalhomebd.com/properties/4400-sqft-furnished-duplex-apartment-for-rent-at-gulshan-2/351,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Gulshan-2,,15000,yes,yes,1,new,yes,available,furnished,,6,any,560000,yes,yes,
3500 sqft Furnished Apartment for Rent @ Gulshan-2, 4 bd, 4 ba,3500.0,"Gulshan-2, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent,280000.0,"This luxurious and massive 3500 sqft furnished property is up for rent at Gulshan-2. Located at 11th floor, this property has 4 beds, 4 baths, living space, drawing room, dining space and other modern facilities and commodities. 1 car parking facility available.",http://www.rentalhomebd.com/properties/3500-sqft-furnished-apartment-for-rent-at-gulshan-2/352,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Gulshan-2,yes,16000,yes,,1,new,yes,available,furnished,,12,any,560000,yes,yes,
3400 sqft Semi-Furnished Apartment with for Rent @ Baridhara Diplomatic Zone, 4 bd, 4 ba,3400.0,"Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent,290000.0,"It is a massive, luxurious, semi-furnished apartment of 3400 sqft which is up for rent at Baridhara Diplomatic Zone. Situated at the 2nd floor, this property has 4 beds, 4 baths, living space, drawing room, large dining space, servant room with attached bath and other modern amenities and commodities. Generator full back-up is provided. It is perfectly suitable for a family at one of the most secured area in all of Dhaka city. 2 car parking facility is also available. If furnishing is needed, we will provide it after discussion.",http://www.rentalhomebd.com/properties/3400-sqft-semi-furnished-apartment-with-for-rent-at-baridhara-diplomatic-zone/354,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,yes,30000,yes,yes,1,new,yes,available,semi-furnished,,3,any,580000,yes,yes,
3500 sqft Furnished Apartment for Rent @ Gulshan-2, 3 bd, 4 ba,3500.0,"Gulshan-2, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent,330000.0,"This luxurious and massive 3500 sqft furnished property is up for rent at Gulshan-2. Located at 9th floor, this property has 3 beds, 4 baths, servant room and bath and other modern facilities and commodities. 2 car parking facility is also available.",http://www.rentalhomebd.com/properties/3500-sqft-furnished-apartment-for-rent-at-gulshan-2/353,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Gulshan-2,yes,20000,yes,yes,1,new,yes,available,furnished,,10,any,660000,yes,yes,
AN AMAZINGLY DECORED FURNISHED APARTMENT @ Baridhara Diplomatic Zone, 3 bd, 3 ba,2150.0,"Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent,200000.0,"Let’s help you move in to this 5 storied apartment that is situated in the most elite area in Dhaka, Baridhara Diplomatic Zone. The safest area in town for foreigners is now have a home for you with three bedrooms, three bathrooms, one drawing-dining space, kitchen, servant room and washroom. The apartment holds the taste of modern era, also is furnished with every essentials you need to live comfortably. All of these includes 24/7 guarded, 24/7 surveillance, 24/7 utility supply, generator backup, one car parking etc., that will make you feel safe and home even in foreign land.
It's true that things can get a little expensive here but with the returns that you will get, it all will seem worth it. So contact us right away to make this place yours.",http://www.rentalhomebd.com/properties/an-amazingly-decored-furnished-apartment-at-baridhara-diplomatic-zone/357,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Residential,Dhaka,Baridhara,Baridhara Diplomatic Zone,,,yes,yes,1,new,yes,available,furnished,yes,3,family,400000,,yes,
