title,building_type,area,num_bed,num_bath,location,price,amenities,purpose,listing_url
Used Flat For Sale in Mirpur 10 @ 1725 Sqft, Apartment , 1725 sqft , 4 Bed(s) , 3 Bath(s) ," Mirpur-10, Dhaka",BDT 14200000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,Parking, 6 Balcony ",Sale,https://homefairbd.com/ad/used-flat-for-sale-in-mirpur-10
South Facing Apartment Sale in Uttara Sector-10 @ 1359 Sqft, Apartment , 1359 sqft , 3 Bed(s) , 2 Bath(s) ," Uttara, Dhaka",BDT 8500000 ,"Balcony,Drawing,Dining,Parking,Electricity,Water,lift,Generator, 3 Balcony ",Sale,https://homefairbd.com/ad/south-facing-apartment-sale-in-uttara-sector-10
Used Apartment Sale in  Mirpur 60 feet @ 950 Sqft, Apartment , 950 sqft , 2 Bed(s) , 2 Bath(s) ," Mirpur, Dhaka",BDT 3800000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 1 Balcony ",Sale,https://homefairbd.com/ad/used-apartment-sale-in-mirpur-60-feet
Used Flat Sale in Khilgaon Chowrasta @ 1100 Sqft, Apartment , 1100 sqft , 3 Bed(s) , 3 Bath(s) ," Khilgoan, Dhaka",BDT 6700000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 2 Balcony ",Sale,https://homefairbd.com/ad/used-flat-sale-in-khilgaon-chowrasta
Ready Apartment Sale in Mirpur 60 feet @ 950 Sqft, Apartment , 950 sqft , 2 Bed(s) , 2 Bath(s) ," Mirpur, Dhaka",BDT 3500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 1 Balcony ",Sale,https://homefairbd.com/ad/ready-apartment-sale-in-mirpur-60-feet
রামপুরা বনশ্রী এফ ব্লকে ১৬০০ স্কয়ার ফিটের রেডি ফ্ল্যাট , Apartment , 1600 sqft , 3 Bed(s) , 3 Bath(s) ," Rampura, Dhaka",BDT 13500000 , 3 Balcony ,,https://homefairbd.com/ad/%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%BE-%E0%A6%AC%E0%A6%A8%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80-%E0%A6%8F%E0%A6%AB-%E0%A6%AC%E0%A7%8D%E0%A6%B2%E0%A6%95%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
মিরপুর ছাপরা মসজিদ সংলগ্ন ৯৩৫ স্কয়ার ফিটের ইউসড ফ্ল্যাট , Apartment , 935 sqft , 2 Bed(s) , 2 Bath(s) ," Mirpur, Dhaka",BDT 3500000 , 1 Balcony ,,https://homefairbd.com/ad/%E0%A6%AE%E0%A6%BF%E0%A6%B0%E0%A6%AA%E0%A7%81%E0%A6%B0-%E0%A6%9B%E0%A6%BE%E0%A6%AA%E0%A6%B0%E0%A6%BE-%E0%A6%AE%E0%A6%B8%E0%A6%9C%E0%A6%BF%E0%A6%A6-%E0%A6%B8%E0%A6%82%E0%A6%B2%E0%A6%97%E0%A7%8D%E0%A6%A8-%E0%A6%87%E0%A6%89%E0%A6%B8%E0%A6%A1-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
Used Apartment For Sale in Aftabnagar @ 1110 Sqft, Apartment , 1110 sqft , 3 Bed(s) , 2 Bath(s) ," Aftabnagar, Dhaka",BDT 6800000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 2 Balcony ",Sale,https://homefairbd.com/ad/used-apartment-for-sale-in-aftabnagar
Used Apartment Sale in Aftabnagar F Block @ 1110 Sqft, Apartment , 1110 sqft , 3 Bed(s) , 2 Bath(s) ," Aftabnagar, Dhaka",BDT 6800000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 2 Balcony ",Sale,https://homefairbd.com/ad/used-apartment-sale-in-aftabnagar-f-block
Used Flat For Sale in Mirpur Ahmednagar @ 1400 Sqft , Apartment , 1400 sqft , 3 Bed(s) , 3 Bath(s) ," Mirpur-1, Dhaka",BDT 5500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift, 1 Balcony ",Sale,https://homefairbd.com/ad/used-flat-for-sale-in-mirpur-ahmednagar
South Facing Apartment For Sale in Meradia @ 1700 Sqft, Apartment , 1700 sqft , 4 Bed(s) , 4 Bath(s) ," Banasree, Dhaka",BDT 7500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 3 Balcony ",Sale,https://homefairbd.com/ad/south-facing-apartment-for-sale-in-meradia
Ready Property Sale in Banasree Meradia @ 1700 Sqft, Apartment , 1700 sqft , 4 Bed(s) , 4 Bath(s) ," Banasree, Dhaka",BDT 7500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 3 Balcony ",Sale,https://homefairbd.com/ad/ready-property-sale-in-banasree-meradia
"2.25 Katha Land for sale in Dhaka,16000000 crore,UrgentCash", Land ,  katha ,,, Dhaka,BDT 16000000 ,[None],sale,https://homefairbd.com/ad/2-25-Katha-Land-for-sale-in-Dhaka-16000000-crore-UrgentCash
South Facing Apartment Sale in Meradia @ 1700 Sqft, Apartment , 1700 sqft , 4 Bed(s) , 4 Bath(s) ," Banasree, Dhaka",BDT 7500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 3 Balcony ",Sale,https://homefairbd.com/ad/south-facing-apartment-sale-in-meradia
মাওয়া রোডের বেজগাও রাস্তার পাশে জমি বিক্রয় করা হবে, Land ,  sothok ,,, Dhaka,BDT 30000000 ,[None],,https://homefairbd.com/ad/%E0%A6%AE%E0%A6%BE%E0%A6%93%E0%A7%9F%E0%A6%BE-%E0%A6%B0%E0%A7%8B%E0%A6%A1%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A7%87%E0%A6%9C%E0%A6%97%E0%A6%BE%E0%A6%93-%E0%A6%B0%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A6%BE%E0%A6%B6%E0%A7%87-%E0%A6%9C%E0%A6%AE%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A7%9F-%E0%A6%95%E0%A6%B0%E0%A6%BE-%E0%A6%B9%E0%A6%AC%E0%A7%87
Ready Flat sale (1265 SFT)3Beds+3Baths at Bawnia near Uttara, Apartment , 1265 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 5034700 ,"Drawing,Dining,Lift,Generator,Water, 3 Balcony ",sale,https://homefairbd.com/ad/1265-SFT-3-Beds-Baths--Ready-Flat-for-sale-4200tk-SFT
Semi Ready Flat in Bashundhara H block @ 1550 Sqft, Apartment , 1550 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 11200000 ,"Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",,https://homefairbd.com/ad/semi-ready-flat-in-bashundhara-h-block
Full Ready Apartment Sale in Meradia @ 1700 Sqft, Apartment , 1700 sqft , 4 Bed(s) , 4 Bath(s) ," Banasree, Dhaka",BDT 7500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 3 Balcony ",Sale,https://homefairbd.com/ad/full-ready-apartment-sale-in-meradia
Ready Apartment Sale in West Rampura @ 650 Sqft, Apartment , 650 sqft , 2 Bed(s) , 2 Bath(s) ," Rampura, Dhaka",BDT 2800000 ,"Drawing,Dining,Electricity,Water,Lift,Generator, 1 Balcony ",Sale,https://homefairbd.com/ad/ready-apartment-sale-in-west-rampura
750sqf used flat, Apartment , 750 sqft , 2 Bed(s) , 2 Bath(s) , Dhaka,BDT 4125000 ,[None],,https://homefairbd.com/ad/750sqf-used-flat
Apartment For Sale in West Rampura @ 1524 Sqft, Apartment , 1524 sqft , 3 Bed(s) , 3 Bath(s) ," Rampura, Dhaka",BDT 7800000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 2 Balcony ",Sale,https://homefairbd.com/ad/apartment-for-sale-in-west-rampura
আফতাবনগর বি ব্লকে ১৩৬৫ স্কয়ার ফিটের রেডি ফ্ল্যাট বিক্রয়, Apartment , 1365 sqft , 3 Bed(s) , 3 Bath(s) ," Aftabnagar, Dhaka",BDT 8872500 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%86%E0%A6%AB%E0%A6%A4%E0%A6%BE%E0%A6%AC%E0%A6%A8%E0%A6%97%E0%A6%B0-%E0%A6%AC%E0%A6%BF-%E0%A6%AC%E0%A7%8D%E0%A6%B2%E0%A6%95%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A6%BC
Ready Property Sale in Rampura Banasree E Block @ 1250 Sqft, Apartment , 1250 sqft , 3 Bed(s) , 3 Bath(s) ," Rampura, Dhaka",BDT 6700000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,Generator, 2 Balcony ",Sale,https://homefairbd.com/ad/ready-property-sale-in-rampura-banasree-e-block
Apartment For Sale in Bashundhara G block @ 1550 Sqft, Apartment , 1550 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 11200000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/apartment-for-sale-in-bashundhara-g-block
South Facing Apartment Sale in West Rampura @ 1524 Sqft, Apartment , 1524 sqft , 3 Bed(s) , 3 Bath(s) ," Rampura, Dhaka",BDT 7800000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 2 Balcony ",Sale,https://homefairbd.com/ad/south-facing-apartment-sale-in-west-rampura
রামপুরা তিতাস রোডে ১১২০ স্কয়ার ফিটের রেডি ফ্ল্যাট, Apartment , 1120 sqft , 3 Bed(s) , 3 Bath(s) ," Rampura, Dhaka",BDT 6100000 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%BE-%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%B8-%E0%A6%B0%E0%A7%8B%E0%A6%A1%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
Flat For Sale in Modhubag Mogbazar @ 1650 Sqft, Apartment , 1650 sqft , 3 Bed(s) , 3 Bath(s) ," Mogbazar, Dhaka",BDT 10725000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking,parking, 4 Balcony ",Sale,https://homefairbd.com/ad/flat-for-sale-in-modhubag-mogbazar
Semi Ready Flat Sale in Rampura Titas Road @ 1350 Sqft, Apartment , 1350 sqft , 3 Bed(s) , 3 Bath(s) ," Rampura, Dhaka",BDT 6750000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking,parking, 2 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-flat-sale-in-rampura-titas-road
Ready Apartment For Sale in Bashundhara G block @ 1550 Sqft, Apartment , 1550 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 10000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/ready-apartment-for-sale-in-bashundhara-g-block
Semi Ready Property in Aftabnagar @ 1600 Sqft, Apartment , 1600 sqft , 3 Bed(s) , 3 Bath(s) ," Aftabnagar, Dhaka",BDT 9700000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,Generator,parking, 3 Balcony ",,https://homefairbd.com/ad/semi-ready-property-in-aftabnagar
Semi Ready Apartment in Aftabnagar F Block @ 1605 Sqft, Apartment , 1605 sqft , 3 Bed(s) , 3 Bath(s) ," Aftabnagar, Dhaka",BDT 10500000 ,"Drawing,Dining,Electricity,Lift,Water,generator,Parking, 3 Balcony ",,https://homefairbd.com/ad/semi-ready-apartment-in-aftabnagar-f-block
পু্র্বাচল পুলিশ হাউজিং সোসাইটির পাশে রেডি প্লট @ ৩ কাঠা, Land ,  katha ,,," Purbachal, Dhaka",BDT 1500000 ,[None],,https://homefairbd.com/ad/purbachal-police-housing-societyr-pase-ready-plot
Semi Ready Property in Rampura Banasree @ 1350 Sqft, Apartment , 1350 sqft , 3 Bed(s) , 3 Bath(s) ," Banasree, Dhaka",BDT 7200000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,Generator, 2 Balcony ",,https://homefairbd.com/ad/semi-ready-property-in-rampura-banasree
Semi Ready Flat For Sale in Aftabnagar @ 1600 Sqft , Apartment , 1600 sqft , 3 Bed(s) , 3 Bath(s) ," Aftabnagar, Dhaka",BDT 9700000 ,"Balcony,Drawing,Dining,Electricity,Water,lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-flat-for-sale-in-aftabnagar
Semi Ready Property Sale in Rampura Titas Road @ 1350 Sqft, Apartment , 1350 sqft , 3 Bed(s) , 3 Bath(s) ," Rampura, Dhaka",BDT 6750000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking,parking, 2 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-property-sale-in-rampura-titas-road
Full Ready Apartment Sale in West Rampura @ 650 Sqft, Apartment , 650 sqft , 2 Bed(s) , 2 Bath(s) ," Rampura, Dhaka",BDT 2800000 ,"Drawing,Dining,Electricity,Water,Lift,Generator, 1 Balcony ",Sale,https://homefairbd.com/ad/full-ready-apartment-sale-in-west-rampura
Apartment For Sale in Aftabnagar F Block @ 1605 Sqft, Apartment , 1605 sqft , 3 Bed(s) , 3 Bath(s) ," Aftabnagar, Dhaka",BDT 10500000 ,"Drawing,Dining,Electricity,Lift,Water,generator,Parking, 3 Balcony ",Sale,https://homefairbd.com/ad/apartment-for-sale-in-aftabnagar-f-block
Ready Apartment For Sale in Aftabnagar F Block @ 900  Sqft, Apartment , 900 sqft , 2 Bed(s) , 2 Bath(s) ," Aftabnagar, Dhaka",BDT 4900000 ,"Drawing,Dining,Electricity,Lift,Water,generator,Parking, 2 Balcony ",Sale,https://homefairbd.com/ad/ready-apartment-for-sale-in-aftabnagar-f-block
ধানমন্ডিতে ১০৩০ স্কয়ার ফিটের রেডি ফ্ল্যাট বিক্রয়, Apartment , 1030 sqft , 3 Bed(s) , 2 Bath(s) ," Dhanmondi, Dhaka",BDT 7800000 , 3 Balcony ,,https://homefairbd.com/ad/%E0%A6%A7%E0%A6%BE%E0%A6%A8%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A6%BC
plot sale in purbachal, Land ,  katha ,,, Dhaka,BDT 85000000 ,"['parking', None]",sale,https://homefairbd.com/ad/plot-sale-in-purbachal
Ready Property Sale in Bashundhara G block @ 1550 Sqft , Apartment , 1550 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 10000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/ready-property-sale-in-bashundhara-g-block
Ready Flat For Sale in Bashundhara H block @ 1375 Sqft, Apartment , 1375 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 9500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 4 Balcony ",Sale,https://homefairbd.com/ad/ready-flat-for-sale-in-bashundhara-h-block
"1298 sqft, 3 Beds Used Apartment/Flats for Sale at Pallabi", Apartment , 1298 sqft , 3 Bed(s) , 3 Bath(s) , Dhaka,BDT 5192000 ,"Parking,Generator,Balcony, 1 Balcony ",Sale,https://homefairbd.com/ad/1298-sqft--3-Beds-Used-Apartment-Flats-for-Sale-at-Pallabi
South Facing Property Sale in Bashundhara G block , Apartment , 1600 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 12000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 2 Balcony ",Sale,https://homefairbd.com/ad/south-facing-property-sale-in-bashundhara-g-block
Semi Ready Apartment Sale in Mirpur Kallyanpur @ 1400 Sqft, Apartment , 1400 sqft , 3 Bed(s) , 3 Bath(s) ," Kallyanpur, Dhaka",BDT 9025000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-apartment-sale-in-mirpur-kallyanpur
Resedential Apartment in Bashundhara H block @ 1375 Sqft, Apartment , 1375 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 9500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 4 Balcony ",,https://homefairbd.com/ad/resedential-apartment-in-bashundhara-h-block
Apartment For Sale in Bashundhara H block @ 1375 Sqft, Apartment , 1375 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 9500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 4 Balcony ",Sale,https://homefairbd.com/ad/apartment-for-sale-in-bashundhara-h-block
পু্র্বাচল পুলিশ হাউজিং সোসাইটির পাশে প্লট @ ৩ কাঠা, Land ,  katha ,,," Purbachal, Dhaka",BDT 1500000 ,[None],,https://homefairbd.com/ad/purbachal-police-housing-societyr-pase-plot
Full Ready Apartment Sale in Bashundhara H block @ 1375 Sqft, Apartment , 1375 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 9500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 4 Balcony ",Sale,https://homefairbd.com/ad/full-ready-apartment-sale-in-bashundhara-h-block
Ready Flat For Sale in Bashundhara G block @ 1550 Sqft, Apartment , 1550 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 11200000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/ready-flat-for-sale-in-bashundhara-g-block
Property Sale in Bashundhara G block @ 1550 Sqft, Apartment , 1550 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 10000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/property-sale-in-bashundhara-g-block
Ready Apartment For Sale in Mirpur Kallyanpur @ 800 Sqft, Apartment , 800 sqft , 2 Bed(s) , 2 Bath(s) ," Kallyanpur, Dhaka",BDT 4900000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 1 Balcony ",Sale,https://homefairbd.com/ad/ready-apartment-for-sale-in-mirpur-kallyanpur
Ready Apartment Sale in Kochuket @ 1250 Sqft, Apartment , 1250 sqft , 3 Bed(s) , 3 Bath(s) ," Cantonment, Dhaka",BDT 6000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 2 Balcony ",Sale,https://homefairbd.com/ad/ready-apartment-sale-in-kochuket
Flat Sale in Kochuket Dhaka Cantonment @ 1250 Sqft, Apartment , 1250 sqft , 3 Bed(s) , 3 Bath(s) ," Cantonment, Dhaka",BDT 6000000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 2 Balcony ",Sale,https://homefairbd.com/ad/flat-sale-in-kochuket-dhaka-cantonment
Semi Ready Property Sale in Mirpur Kallyanpur @ 1400 Sqft, Apartment , 1400 sqft , 3 Bed(s) , 3 Bath(s) ," Kallyanpur, Dhaka",BDT 9025000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-property-sale-in-mirpur-kallyanpur
পশ্চিম রামপুরায় ৬৫০ স্কয়ার ফিটের রেডি ফ্ল্যাট, Apartment , 650 sqft , 2 Bed(s) , 2 Bath(s) ," Rampura, Dhaka",BDT 2800000 , 1 Balcony ,,https://homefairbd.com/ad/%E0%A6%AA%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%AE-%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
South Facing Semi Ready Flat Sale in Aftabnagar @ 1500 Sqft, Apartment , 1500 sqft , 3 Bed(s) , 3 Bath(s) ," Aftabnagar, Dhaka",BDT 60500000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/south-facing-semi-ready-flat-sale-in-aftabnagar
Land For Sale In Shyamoli (West Agargaon) @ 3 Katha, Land ,  katha ,,, Dhaka,BDT 24000000 ,"['Water', 'Water', 'Electricity', None]",Sale,https://homefairbd.com/ad/Land-For-Sale-In-Shyamoli--West-Agargaon-
Ready Flat Sale in Bashundhara G block @ 1550 Sqft, Apartment , 1550 sqft , 3 Bed(s) , 3 Bath(s) ," Bashundhara , Dhaka",BDT 11200000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,parking, 3 Balcony ",Sale,https://homefairbd.com/ad/ready-flat-sale-in-bashundhara-g-block
"কেরানীগঞ্জে মাত্র ৩০,০০০ টাকা বুকিং মানিতে ৩ কাঠার প্লট", Land ,  katha ,,," Keranigonj, Dhaka",BDT 1650000 ,[None],,https://homefairbd.com/ad/%E0%A6%95%E0%A7%87%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A7%A8%E0%A7%A6-%E0%A7%A6%E0%A7%A6%E0%A7%A6-%E0%A6%9F%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%AC%E0%A7%81%E0%A6%95%E0%A6%BF%E0%A6%82-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A7%A9-%E0%A6%95%E0%A6%BE%E0%A6%A0%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%9F
Semi Ready Apartment Sale in Kallyanpur @ 1300 Sqft, Apartment , 1300 sqft , 3 Bed(s) , 3 Bath(s) ," Kallyanpur, Dhaka",BDT 7600000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator, 3 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-apartment-sale-in-kallyanpur
South Facing Duplex Sale in Bashundhara D Block @ 4350 Sqft, Apartment , 4350 sqft , 6 Bed(s) , 7 Bath(s) ," Bashundhara , Dhaka",BDT 38000000 ,"Drawing,Dining,Balcony,Electricity,Water,Lift,Generator,Parking, 8 Balcony ",Sale,https://homefairbd.com/ad/south-Facing-duplex-sale-in-bashundhara-d-block
মোহাম্মদপুরের-বসিলা রোডের পাশেই রেডি অথবা কিস্তিতে প্লট নিন , Land ,  katha ,,, Dhaka,,[None],,https://homefairbd.com/ad/%E0%A6%AE%E0%A7%8B%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A6%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%B8%E0%A6%BF%E0%A6%B2%E0%A6%BE-%E0%A6%B0%E0%A7%8B%E0%A6%A1%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A6%BE%E0%A6%B6%E0%A7%87%E0%A6%87-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%85%E0%A6%A5%E0%A6%AC%E0%A6%BE-%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%9F-%E0%A6%A8%E0%A6%BF%E0%A6%A8-
মোহাম্মদপুরের আদাবরে ১৬০০ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট, Apartment , 1600 sqft , 3 Bed(s) , 3 Bath(s) ," Adabor, Dhaka",BDT 9600000 , 2 Balcony ,,https://homefairbd.com/ad/%E0%A6%AE%E0%A7%8B%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A6%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%86%E0%A6%A6%E0%A6%BE%E0%A6%AC%E0%A6%B0%E0%A7%87-%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
ঢাকা সান সিটিতে কিস্তিতে জমি @ ৩ কাঠা, Land ,  katha ,,," Keranigonj, Dhaka",BDT 1500000 ,[None],,https://homefairbd.com/ad/dhaka-sun-cityte-kistite-jomi
মিরপুর কল্যাণপুরে ১৪০০ স্কয়ার ফিটের সেমি রেডি ফ্ল্যাট, Apartment , 1400 sqft , 3 Bed(s) , 3 Bath(s) ," Kallyanpur, Dhaka",BDT 9025000 , 3 Balcony ,,https://homefairbd.com/ad/%E0%A6%AE%E0%A6%BF%E0%A6%B0%E0%A6%AA%E0%A7%81%E0%A6%B0-%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A3%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%87-%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F
Resedential Apartment in Banasree L Block @ 1150 Sqft, Apartment , 1150 sqft , 3 Bed(s) , 3 Bath(s) ," Banasree, Dhaka",BDT 6500000 ,"Balcony,Drawing,Dining,Parking,Electricity,Water,lift,Generator, 2 Balcony ",,https://homefairbd.com/ad/resedential-apartment-in-banasree-l-block
Semi Ready Apartment Sale in Mirpur Monipuripara @ 1000 Sqft, Apartment , 1000 sqft , 2 Bed(s) , 2 Bath(s) ," Mirpur-2, Dhaka",BDT 5150000 ,"Balcony,Drawing,Dining,Electricity,Water,Lift,Generator,Parking, 2 Balcony ",Sale,https://homefairbd.com/ad/semi-ready-apartment-sale-in-mirpur-monipuripara
