amenities,area,balconies,baths,bedroom,location,price,property_type,property_url,purpose
"Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office",5 Katha,,,,"Basila , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244787/5-katha-residential-plot-sale-basila,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Basila , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244883/residential-plot-sale-basila-%E0%A6%AE%E0%A6%A7%E0%A7%81%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF%20,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2525 sqft,3,04,04,"Dhanmondi , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/243658/2425-sqft-4-beds-under-construction-apartment-flats-for-sale-at-dhanmondi,Sale
,2350 sqft,3,04,04,"Chak Bazar , Dhaka",1.84 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245261/2350-sqft-4-beds-under-construction-apartment-flats-for-sale-at-chak-bazar,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Basila , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244836/3-katha-residential-plot-sale-basila,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Basila , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244841/residential-plot-sale-basila,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet",2000 sqft,5,04,04,"Pallabi , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/242856/2000-sqft-4-beds-under-construction-apartment-flats-for-sale-at-pallabi,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1610 sqft,3,03,03,"Bashundhara R/A , Dhaka",1.34 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245259/3-beds-upcoming-apartment-flats-sale-bashundhara,Sale
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Fire Protection",1350 sqft,2,03,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245335/1500-sqft-3-beds-apartment-flats-sale-bashundhara,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Basila , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244842/3-katha-residential-plot-sale-basila,Sale
"Mosque,Play Ground,Lakes,School,Bazaar",5 Katha,,,,"Savar , Dhaka",2.50 Lac,Residential Plot,https://www.bdhousing.com/details/245598/5-katha-ready-residential-plot-sale-savar,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",5 Katha,,,,"Basila , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244837/5-katha-under-development-residential-plot-sale-basila,Sale
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Garden",1460 sqft,3,03,03,"Nakhalpara , Dhaka",1.50 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245694/1460-sqft-3-beds-ready-apartment-flats-for-sale-at-nakhalpara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Electricity,Generator,CCTV,Gymnasium,Garden",1800 sqft,2,03,03,"Banasree , Dhaka",,Land Sharing Flat,https://www.bdhousing.com/details/245185/1800-sqft-3-beds-upcoming-land-sharing-flat-sale-banasree,Sale
,2700 sqft,5,05,04,"Savar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245553/2700-sqft-4-beds-ready-apartment-flats-for-sale-at-savar,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",5400 sqft,2,03,03,"Mohammadpur , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244387/4500-sqft-3-beds-under-construction-apartment-flats-for-sale-at-mohammadpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2600 sqft,1,04,04,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/242900/2600-sqft-4-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1500 sqft,3,03,03,"Kallyanpur , Dhaka",82.50 Lac,Apartment/Flats,https://www.bdhousing.com/details/239205/1500-sqft-3-beds-under-construction-apartment-flats-for-sale-at-kallyanpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2100 sqft,5,05,04,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/242331/2100-sqft-4-beds-under-construction-flats-for-sale-at-bashundhara-r-a,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",3685 sqft,5,05,05,"Baridhara , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/230615/3685-sqft-5-beds-under-construction-flat-for-sale-at-baridhara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1700 sqft,1,03,03,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/242902/1700-sqft-3-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a,Sale
"Mosque/Prayer Room,Security,Lift,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1250 sqft,2,03,03,"Mirpur 1 , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245696/magnificent-almost-ready-apartment-kallyanpur,Sale
"Mosque,School,Bazaar,Post Office,Banks",20 Katha,,,,"Narayangonj Sadar , Narayanganj",9.50 Lac,Residential Plot,https://www.bdhousing.com/details/245299/20-katha-ready-residential-plot-sale-narayangonj-sadar,Sale
"Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Post Office",3 Katha,,,,"Basila , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244761/3-katha-under-development-residential-plot-sale-basila,Sale
"Mosque,Play Ground,Parks,School,Water Supply",3 Katha,,,,"Mirpur 12 , Dhaka",60.00 Lac,Residential Plot,https://www.bdhousing.com/details/241015/2-5-katha-ready-residential-plot-for-sale-at-mirpur-12,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1792 sqft,1,03,03,"Jhigatala , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/233110/1792-sqft-3-beds-under-construction-apartment-for-sale-at-jhigatala,Sale
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Solar panels,Fire Protection",1050 sqft,2,03,03,"Azimpur , Dhaka",87.00 Lac,Apartment/Flats,https://www.bdhousing.com/details/245266/1050-sqft-3-beds-under-construction-apartment-flats-for-sale-at,Sale
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,Wi-Fi connectivity,Satellite or cable TV",900 sqft,2,02,02,"Dhanmondi , Dhaka",65.01 Lac,Apartment/Flats,https://www.bdhousing.com/details/243774/ready-apartment-flats-sale-dhanmondi,Sale
"Mosque/Prayer Room,Security,Fire exit,WASA connection,Self Water supply,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1250 sqft,2,03,03,"Kallyanpur , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/243584/1198-sqft-3-beds-under-construction-apartment-flats-for-sale-at-kallyanpur,Sale
,5 Katha,,,,"Keraniganj , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244611/5-katha-ready-residential-plot-for-sale-at-keraniganj,Sale
"Security,Lift,Fire exit,WASA connection,Self Water supply,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Electronic security,Solar panels,Fire Protection",1028 sqft,3,03,03,"Kalshi , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/238206/1600-sqft-3-beds-handed-over-apartment-flats-for-sale-at-kalshi,Sale
,7 Katha,,,,"Comilla Cantonment , Comilla",33.00 Lac,Residential Plot,https://www.bdhousing.com/details/244970/%E0%A6%85%E0%A6%B6-%E0%A6%95%E0%A6%A4%E0%A6%B2-%E0%A6%AF-7-27-%E0%A6%95-%E0%A6%A0-%E0%A6%9C%E0%A6%AE-%E0%A6%B0-%E0%A6%AE-%E0%A6%B2-%E0%A6%95-%E0%A6%B0-%E0%A6%95-%E0%A6%9B-%E0%A6%A5-%E0%A6%95-%E0%A6%B8%E0%A6%B0-%E0%A6%B8%E0%A6%B0-%E0%A6%95-%E0%A6%A8-%E0%A6%A8,Sale
"Security,Lift,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,Garden,Solar panels",1650 sqft,3,03,04,"West Dhanmondi , Dhaka",1.33 Cr.,Apartment/Flats,https://www.bdhousing.com/details/245398/1650-sft-flat-west-dhanmondi,Sale
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",5009 sqft,5,05,04,"Gulshan 02 , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/243077/5009-sqft-4-beds-ready-apartment-flats-for-sale-at-gulshan-02,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1215 sqft,2,03,03,"Kallyanpur , Dhaka",66.83 Lac,Apartment/Flats,https://www.bdhousing.com/details/244050/1215-sqft-3-beds-apartment-flats-sale-kallyanpur,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2250 sqft,4,05,04,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/239788/2250-sqft-4-beds-under-construction-apartment-flats-for-sale-at-bashundhara-r-a,Sale
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Solar panels,Fire Protection",1775 sqft,2,03,03,"Eskaton , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245641/3-beds-ready-apartment-flats-sale-eskaton,Sale
"Security,Lift,WASA connection,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Servent Room,Servent Toilet,Fire Protection",1350 sqft,3,03,03,"Savar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244373/3600-sqft-apartment-flats-sale-savar,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1450 sqft,3,03,03,"Aftab Nagar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/234424/1450-sqft-3-beds-under-construction-apartment-flats-for-sale-at-aftab-nagar,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2250 sqft,3,03,04,"Bashundhara R/A , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/241328/2250-sqft-4-beds-flats-for-sale-at-bashundhara-r-a,Sale
"Mosque,Play Ground,Lakes,School,Water Supply",3 Katha,,,,"Uttara , Dhaka",,Residential Plot,https://www.bdhousing.com/details/244393/3-katha-ready-residential-plot-for-sale-at-uttara,Sale
,2 Katha,,,,"Sonadanga , Khulna",30.00 Lac,Residential Plot,https://www.bdhousing.com/details/244522/1-5-katha-ready-residential-plot-for-sale-at-sonadanga,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Toilet,Fire Protection",1580 sqft,3,03,03,"Khilgaon , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/243713/1580-sqft-under-construction-apartment-flats-sale-khilgaon,Sale
"Security,Lift,WASA connection,Generator,Garden,Servent Toilet",1580 sqft,3,04,03,"Adabor , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245789/south-face-luxurious-apartment-sale-adabor-mohammadpur,Sale
"Security,Lift,Fire exit,WASA connection,Gas Connection,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Solar panels,Fire Protection",1100 sqft,2,03,02,"Basabo , Dhaka",48.75 Lac,Apartment/Flats,https://www.bdhousing.com/details/244712/1100-sqft-2-beds-ready-apartment-flats-sale-basabo,Sale
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Garden,Servent Room,Servent Toilet",1150 sqft,2,02,03,"Monipur , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244116/3-bed-s-almost-ready-apt-with-loan-60-feet,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Garden,Solar panels,Fire Protection",1500 sqft,3,03,03,"Aftab Nagar , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/238379/1300-sqft-3-beds-under-construction-apartment-flats-for-sale-at-aftab-nagar,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Basila , Dhaka",,Residential Plot,https://www.bdhousing.com/details/245595/3-katha-ready-residential-plot-sale-basila,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Bashundhara R/A , Dhaka",,Residential Plot,https://www.bdhousing.com/details/245129/3-katha-ready-residential-plot-sale-uttara-17,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",5 Katha,6,,,"Bashundhara R/A , Dhaka",,Residential Plot,https://www.bdhousing.com/details/245507/5-katha-residential-plot-sale-Bashundhara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",3110 sqft,4,04,04,"Dhanmondi , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/243375/3110-sqft-4-beds-ready-apartment-flats-for-sale-at-dhanmondi,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Gymnasium,Solar panels,Fire Protection",1150 sqft,2,02,03,"Agargaon , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245393/1150-sqft-3-beds-ready-apartment-flats-for-sale-at-agargaon,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Gymnasium,Garden,Solar panels,Fire Protection",1475 sqft,2,03,03,"Agargaon , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245310/1475-sqft-3-beds-apartment-flats-sale-agargaon,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",5 Katha,,,,"Purbachal , Dhaka",,Residential Plot,https://www.bdhousing.com/details/245792/5-katha-ready-residential-plot-sale-purbachal,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",3 Katha,,,,"Keraniganj , Dhaka",1.50 Cr.,Residential Plot,https://www.bdhousing.com/details/240942/3-katha-ready-residential-plot-for-sale-at-keraniganj,Sale
"Security,Lift,Fire exit,WASA connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity",1075 sqft,2,03,03,"Badda , Dhaka",50.53 Lac,Apartment/Flats,https://www.bdhousing.com/details/244848/1075-sqft-3-beds-ready-apartment-flats-sale-badda,Sale
"Mosque,Play Ground,Security,Parks,School,College,Hospital,Bazaar,Water Supply,Fire Services,Police Box",3 Katha,,,,"Keraniganj , Dhaka",,Residential Plot,https://www.bdhousing.com/details/240568/5-katha-ready-residential-plot-for-sale-at-keraniganj,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",24498 sqft,3,03,03,"Badda , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244259/1310sft-to-1545sft-size-flat-for-sale-at-gupipara-just-beside-gulshan-lake-drive,Sale
,2450 sqft,2,04,04,"Bashundhara R/A , Dhaka",,Land Sharing Flat,https://www.bdhousing.com/details/244103/2450-sqft-4-beds-land-sharing-flat-sale-bashundhara,Sale
"Security,Lift,Fire exit,Electricity,CCTV",1007 sqft,2,02,02,"Mohammadpur , Dhaka",65.00 Lac,Apartment/Flats,https://www.bdhousing.com/details/243941/sqft-2-beds-ready-apartment-flats-sale-mohammadpur,Sale
"Security,Lift,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Inter com,Solar panels,Servent Room,Servent Toilet",1150 sqft,2,02,03,"Monipur , Dhaka",60.00 Lac,Apartment/Flats,https://www.bdhousing.com/details/245686/1150-sqft-3-beds-almost-ready-apartment-sale-60-feet-road-mirpur,Sale
"WASA connection,Gas Connection,Electricity,Telephone line,CCTV,Satellite or cable TV",950 sqft,,02,03,"Mohammadpur , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244531/950-sqft-3-beds-ready-flats-sale-mohammadpur,Sale
"Eid congregation place,Mosque,Graveyard,Play Ground,Security,Lakes,Parks,School,College,Universities,Hospital,Bazaar,Gas,Water Supply,Fire Services,Civil Defense,Police Box,Post Office,Banks",92 Katha,,,,"Kaliakoir , Gazipur",,Residential Plot,https://www.bdhousing.com/details/245791/92-katha-residential-plot-sale-kaliakoir,Sale
"Lakes,Bazaar,Gas,Water Supply,Police Box,Post Office,Banks",30000 Katha,,,,"sadar , Mymensingh",,Agriculture/Farm Land,https://www.bdhousing.com/details/244132/1500-bigha-ready-industrial-agricultural-land-for-sale-at-sadar,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Gymnasium,Garden,Servent Room,Servent Toilet",1250 sqft,2,03,03,"Kallyanpur , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245773/3-bedroom-almost-ready-flat-sale,Sale
"Eid congregation place,Mosque,Graveyard",10 Katha,,,,"Dakshin khan , Dhaka",4.00 Lac,Residential Plot,https://www.bdhousing.com/details/245562/10-katha-ready-residential-plot-for-sale-at-dakshin-khan,Sale
"Security,Lift,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Garden,Solar panels,Guest Parking,Servent Toilet",1375 sqft,3,03,03,"Uttara , Dhaka",82.63 Lac,Apartment/Flats,https://www.bdhousing.com/details/241633/1375-sqft-3-beds-under-construction-apartment-flats-for-sale-at-uttara,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",2340 sqft,4,04,04,"Uttara , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245377/ready-apartment-flats-sale-uttara,Sale
"Security,WASA connection,Hot water and heating,Gas Connection,Electricity,Generator,Inter com",1440 sqft,3,03,03,"Mirpur 1 , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/244520/1440-sqft-3-beds-ready-apartment-flats-for-sale-at-mirpur-1,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Security Alarm System,Satellite or cable TV,Electronic security,Pool,Gymnasium,Garden,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1088 sqft,3,03,03,"Badda , Dhaka",62.58 Lac,Apartment/Flats,https://www.bdhousing.com/details/244371/3-beds-apartment-flats-sale-badda,Sale
"Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Gas Connection,Electricity,Generator,Inter com,CCTV,Satellite or cable TV,Solar panels,Guest Parking,Servent Room,Servent Toilet,Fire Protection",1454 sqft,2,03,03,"Uttara , Dhaka",45.62 Lac,Land Sharing Flat,https://www.bdhousing.com/details/243844/1454-sqft-3-beds-almost-ready-land-sharing-flat-for-sale-at-uttara,Sale
"Security,Lift,WASA connection,Cylinder Gas,Electricity,Generator,Telephone line,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Electronic security,Garden,Solar panels,Servent Room",1200 sqft,3,03,03,"Basabo , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/245045/1200-sqft-3-beds-ready-apartment-flats-for-sale-at-haq-residential-society-basabo,Sale
"Mosque/Prayer Room,Security,Lift,Fire exit,WASA connection,Self Water supply,Hot water and heating,Cylinder Gas,Electricity,Generator,Inter com,CCTV,Wi-Fi connectivity,Satellite or cable TV,Servent Room,Servent Toilet,Fire Protection",1200 sqft,3,03,03,"Malibag , Dhaka",,Apartment/Flats,https://www.bdhousing.com/details/240215/1200-sqft-3-beds-under-construction-apartment-flats-for-sale-at-malibag,Sale
